Percentile,Lost,Won,success
0,8,2,0.2
1,16,2,0.1111111111111111
2,12,7,0.3684210526315789
3,17,2,0.10526315789473684
4,12,6,0.3333333333333333
5,14,5,0.2631578947368421
6,17,2,0.10526315789473684
7,12,6,0.3333333333333333
8,15,4,0.21052631578947367
9,11,7,0.3888888888888889
10,11,8,0.42105263157894735
11,12,7,0.3684210526315789
12,10,8,0.4444444444444444
13,11,8,0.42105263157894735
14,10,8,0.4444444444444444
15,12,7,0.3684210526315789
16,16,3,0.15789473684210525
17,9,9,0.5
18,13,6,0.3157894736842105
19,14,5,0.2631578947368421
20,11,7,0.3888888888888889
21,12,7,0.3684210526315789
22,13,5,0.2777777777777778
23,13,6,0.3157894736842105
24,9,10,0.5263157894736842
25,9,9,0.5
26,13,6,0.3157894736842105
27,12,7,0.3684210526315789
28,10,8,0.4444444444444444
29,7,12,0.631578947368421
30,8,10,0.5555555555555556
31,12,7,0.3684210526315789
32,8,11,0.5789473684210527
33,8,10,0.5555555555555556
34,12,7,0.3684210526315789
35,14,5,0.2631578947368421
36,10,8,0.4444444444444444
37,14,5,0.2631578947368421
38,7,11,0.6111111111111112
39,8,11,0.5789473684210527
40,5,14,0.7368421052631579
41,11,7,0.3888888888888889
42,7,12,0.631578947368421
43,7,11,0.6111111111111112
44,8,11,0.5789473684210527
45,10,9,0.47368421052631576
46,7,11,0.6111111111111112
47,5,14,0.7368421052631579
48,9,10,0.5263157894736842
49,10,8,0.4444444444444444
50,7,12,0.631578947368421
51,10,8,0.4444444444444444
52,6,13,0.6842105263157895
53,2,17,0.8947368421052632
54,5,13,0.7222222222222222
55,11,8,0.42105263157894735
56,5,14,0.7368421052631579
57,7,11,0.6111111111111112
58,7,12,0.631578947368421
59,6,12,0.6666666666666666
60,9,10,0.5263157894736842
61,6,13,0.6842105263157895
62,9,9,0.5
63,6,13,0.6842105263157895
64,2,16,0.8888888888888888
65,8,11,0.5789473684210527
66,8,11,0.5789473684210527
67,8,10,0.5555555555555556
68,8,11,0.5789473684210527
69,7,12,0.631578947368421
70,4,14,0.7777777777777778
71,6,13,0.6842105263157895
72,7,11,0.6111111111111112
73,8,11,0.5789473684210527
74,7,12,0.631578947368421
75,4,14,0.7777777777777778
76,6,13,0.6842105263157895
77,7,12,0.631578947368421
78,6,12,0.6666666666666666
79,8,11,0.5789473684210527
80,4,14,0.7777777777777778
81,6,13,0.6842105263157895
82,7,12,0.631578947368421
83,3,15,0.8333333333333334
84,7,12,0.631578947368421
85,6,13,0.6842105263157895
86,7,11,0.6111111111111112
87,3,16,0.8421052631578947
88,1,17,0.9444444444444444
89,5,14,0.7368421052631579
90,4,15,0.7894736842105263
91,6,12,0.6666666666666666
92,3,16,0.8421052631578947
93,3,15,0.8333333333333334
94,3,16,0.8421052631578947
95,7,12,0.631578947368421
96,1,17,0.9444444444444444
97,2,17,0.8947368421052632
98,4,15,0.7894736842105263
99,5,13,0.7222222222222222
100,1,8,0.8888888888888888
