Bin,Lost,Won
0,58.0,15.0
1,54.0,18.0
2,28.0,16.0
3,28.0,18.0
4,19.0,15.0
5,19.0,10.0
6,18.0,7.0
7,10.0,8.0
8,15.0,3.0
9,15.0,9.0
10,11.0,7.0
11,14.0,5.0
12,11.0,6.0
13,3.0,3.0
14,5.0,7.0
15,7.0,4.0
16,5.0,6.0
17,11.0,3.0
18,4.0,6.0
19,7.0,2.0
20,6.0,3.0
21,3.0,5.0
22,8.0,8.0
23,5.0,5.0
24,5.0,8.0
25,3.0,4.0
26,5.0,4.0
27,5.0,2.0
28,4.0,6.0
29,2.0,3.0
30,2.0,3.0
31,4.0,6.0
32,3.0,4.0
33,3.0,4.0
34,11.0,3.0
35,4.0,1.0
36,7.0,2.0
37,9.0,4.0
38,3.0,4.0
39,6.0,4.0
40,9.0,2.0
41,3.0,2.0
42,0.0,4.0
43,2.0,3.0
44,1.0,7.0
45,3.0,3.0
46,4.0,3.0
47,2.0,5.0
48,1.0,3.0
49,2.0,5.0
50,5.0,1.0
51,4.0,2.0
52,1.0,4.0
53,3.0,3.0
54,5.0,5.0
55,4.0,6.0
56,0.0,2.0
57,5.0,9.0
58,5.0,3.0
59,2.0,7.0
60,3.0,3.0
61,4.0,2.0
62,2.0,1.0
63,2.0,4.0
64,3.0,6.0
65,3.0,4.0
66,2.0,8.0
67,6.0,7.0
68,4.0,4.0
69,3.0,7.0
70,8.0,5.0
71,2.0,6.0
72,5.0,5.0
73,2.0,4.0
74,7.0,5.0
75,3.0,5.0
76,2.0,4.0
77,3.0,5.0
78,0.0,7.0
79,2.0,10.0
80,1.0,8.0
81,9.0,6.0
82,4.0,4.0
83,4.0,9.0
84,5.0,7.0
85,4.0,11.0
86,4.0,11.0
87,7.0,9.0
88,10.0,13.0
89,7.0,11.0
90,8.0,10.0
91,7.0,13.0
92,2.0,14.0
93,8.0,14.0
94,13.0,18.0
95,13.0,19.0
96,9.0,27.0
97,28.0,44.0
98,27.0,53.0
99,39.0,88.0
100,53.0,212.0
