game_id,label,score
200910180nor,1,0.7076262136039597
201012260kan,1,0.9270053395294648
201109180was,1,0.7026431393983534
201212300was,1,0.6194891391940128
201310200car,1,0.8464151122250356
201510250kan,1,0.9484734217565791
200712020was,0,0.8357333295746918
200811160sfo,1,0.3789588163885268
201010100clt,1,0.9815321888807519
201010310det,1,0.7551870835443483
201611130car,0,0.8260895305162645
200709090jax,0,0.9795553119083749
200712090oti,0,0.35193759210465264
200810120nor,1,0.811802095862082
200812140mia,1,0.3860923506825924
201309080clt,1,0.9997546715637562
201510260crd,1,0.9815452669920891
201711120chi,0,0.965995163172856
200810050nyg,1,0.9115362039736954
200811170buf,0,0.9960556954012497
201012120car,0,0.0027578551064627588
201509130sdg,1,0.950034647571959
201609250tam,0,0.9181963987160605
201109110crd,1,0.3025691381811427
201401120den,1,0.28532670000638743
201512060rai,0,0.09231626520299716
200811270det,0,0.001579608484874851
201010240rav,1,0.9996897465534799
201411090nor,0,0.962627056993469
201712240nwe,1,0.9999233674419223
200809210sea,1,0.9866039239719105
201210220chi,1,0.8741132813193035
201212090buf,0,0.9223168550584815
201510120sdg,0,0.7607963275239882
201611060sdg,1,0.5982050086634141
201310060dal,0,0.0022063293890319945
200811230jax,0,0.7197179416860786
200912060crd,1,0.9156997988824709
201010310ram,1,0.28125242066140965
201112170tam,0,0.03717551320539392
201209160pit,1,0.9922207359399916
201309090sdg,0,0.005296081947411653
201312290nwe,1,0.9963592587202573
201411300atl,1,0.7024932474745438
201010170tam,0,0.1675563208099865
201201140sfo,1,0.34690633426740736
201212160cle,0,0.9460850167629987
201301050htx,1,0.9045536319079995
201410120min,0,0.8876849246506742
201509270sea,1,0.9998127233314891
200812070gnb,0,0.9593691279904184
201311240cle,0,0.9200833480197707
201411300htx,1,0.9754921741783813
201412150chi,0,0.018136356673598687
200812280nor,0,0.9058965120519784
201212100nwe,1,0.996882067777967
201212300det,0,0.2402922469424522
201309290oti,1,0.75957590849534
201609250buf,1,0.10986235173343348
200909270tam,0,0.05436546905919363
200912130htx,1,0.9945685679062043
201409070tam,0,0.9209958936019684
201411020min,1,0.6793343809516413
201612040atl,0,0.9843935231157052
201209090chi,1,0.9991590688425234
201612110tam,1,0.9440652060653943
201710220min,1,0.9574939660894065
201712240chi,1,0.9815423215187684
201612240chi,0,0.08034875726649995
201701070htx,1,0.5949064171877357
201712100kan,1,0.612355654052499
201712170nyg,0,0.05396367609991547
200910110crd,1,0.8400526409390728
201512130phi,1,0.2741000560951036
200911080nyg,0,0.9629005659019614
200910180rai,1,0.003155837224820285
201212230den,1,0.999694937516147
201312220det,0,0.9915446458572921
201509270car,1,0.9887892954046671
201610160nwe,1,0.9970073767497009
200801130clt,0,0.8165315889721252
200912270mia,0,0.5715805904326293
201112040nor,1,0.9988514454486529
201411020pit,1,0.8962809163901633
201609250dal,1,0.9986658610280884
201212090min,1,0.44733835014939655
201312290min,1,0.6800264716008189
201509200car,1,0.7544133682178378
201511080nwe,1,0.999778489948113
200811020buf,0,0.7247755222160468
201312290sea,1,0.9995178163412813
201610090clt,1,0.7670686762729472
201611240clt,0,0.0007792118936041241
201110020jax,0,0.37421783746416193
201312220gnb,0,0.7690046396475738
201512200min,1,0.9529165686019817
201601030sfo,1,0.020862214020577374
201312020sea,1,0.8066775408455741
201409290kan,1,0.9084945007051262
201712160det,1,0.9443306718338473
200712300phi,1,0.9994662162238142
200910250mia,0,0.4863447147841143
200912210was,0,0.7198417897029054
201110160atl,1,0.9962778206538038
201211250nor,0,0.5594879010206729
201309150buf,1,0.809045068537458
201309220mia,1,0.5576556303249695
201410120atl,0,0.35424543341703174
201411200rai,1,0.09170126373713035
201512270kan,1,0.9997855115650508
201601030htx,1,0.9881331924361987
201611270htx,0,0.8092913621779854
201411160crd,1,0.8920958743311924
201412280htx,1,0.9789956588055546
201601030kan,1,0.9969316882054204
200711250sdg,1,0.9672344721382214
201011070sea,0,0.07607952161466185
201110090buf,1,0.13621788746202088
201510180min,1,0.9548337417672946
200811020chi,1,0.9996310352632515
201011280sea,0,0.8365753893087304
200810050dal,1,0.9969311901740777
201110160was,0,0.05139331010019308
201609180car,1,0.9814046034092657
201710080phi,1,0.7660677736855773
200710070nor,0,0.26088711165310485
201010240gnb,1,0.8058492491453626
