Bin,Did Not Cover,Covered
0,3.0,0.0
1,27.0,5.0
2,17.0,9.0
3,30.0,11.0
4,14.0,10.0
5,21.0,9.0
6,28.0,8.0
7,16.0,10.0
8,19.0,8.0
9,14.0,12.0
10,14.0,11.0
11,16.0,7.0
12,15.0,9.0
13,18.0,7.0
14,9.0,8.0
15,17.0,9.0
16,7.0,11.0
17,15.0,8.0
18,12.0,8.0
19,13.0,15.0
20,11.0,9.0
21,10.0,11.0
22,15.0,5.0
23,15.0,9.0
24,18.0,11.0
25,14.0,6.0
26,14.0,9.0
27,15.0,11.0
28,5.0,10.0
29,9.0,14.0
30,11.0,14.0
31,15.0,8.0
32,11.0,7.0
33,8.0,9.0
34,8.0,13.0
35,7.0,8.0
36,7.0,6.0
37,9.0,6.0
38,9.0,8.0
39,15.0,11.0
40,7.0,9.0
41,10.0,9.0
42,6.0,3.0
43,11.0,12.0
44,18.0,14.0
45,5.0,10.0
46,9.0,13.0
47,9.0,16.0
48,9.0,18.0
49,5.0,8.0
50,9.0,8.0
51,14.0,14.0
52,9.0,8.0
53,14.0,7.0
54,11.0,11.0
55,8.0,12.0
56,6.0,13.0
57,11.0,16.0
58,7.0,5.0
59,9.0,9.0
60,8.0,10.0
61,5.0,18.0
62,11.0,14.0
63,10.0,8.0
64,6.0,17.0
65,4.0,8.0
66,10.0,15.0
67,16.0,12.0
68,6.0,11.0
69,12.0,12.0
70,10.0,18.0
71,13.0,6.0
72,11.0,14.0
73,9.0,21.0
74,16.0,9.0
75,6.0,15.0
76,11.0,14.0
77,5.0,14.0
78,6.0,11.0
79,5.0,21.0
80,18.0,15.0
81,9.0,15.0
82,9.0,23.0
83,11.0,20.0
84,9.0,25.0
85,11.0,32.0
86,12.0,30.0
87,10.0,24.0
88,13.0,30.0
89,12.0,27.0
90,12.0,45.0
91,20.0,30.0
92,12.0,42.0
93,14.0,28.0
94,17.0,27.0
95,13.0,39.0
96,14.0,51.0
97,19.0,63.0
98,19.0,75.0
99,23.0,80.0
100,6.0,34.0
