game_id,label,score
200910180nor,1,0.5644749331897053
201012260kan,1,0.6140060942274949
201310200car,1,0.9748373601820879
201510250kan,1,0.934892496489613
200712090oti,0,0.31562282455651947
200812140mia,1,0.7997241083401327
201510260crd,1,0.9984661881843891
201711120chi,0,0.144618769193553
200712020was,0,0.9466473978129395
200811160sfo,1,0.28569746706468907
201010100clt,1,0.7946424500654077
201010310det,1,0.46976361351244
201611130car,0,0.6136076938277651
200810050nyg,1,0.9035299445374543
200811170buf,0,0.5549469264946332
201012120car,0,0.004222734223822486
201312150jax,0,0.04802838586315556
200710210det,1,0.3668494895002614
201512060rai,0,0.5346634982152729
201411090nor,0,0.9174838481783473
201712240nwe,1,0.9968838654327801
201411230sfo,1,0.9915375048059443
201210220chi,1,0.9536552896850075
201212090buf,0,0.9758074575712529
201510120sdg,0,0.8540889056400084
201510180oti,0,0.4501797836813239
201611060sdg,1,0.10734849086932581
200811230jax,0,0.6891744143768586
200912060crd,1,0.8055630754630351
201010310ram,1,0.08251437147615973
201112170tam,0,0.048634870839718645
201410260nwe,1,0.7292668666043344
201411300atl,1,0.6137068845032891
200711180min,1,0.683650891884026
201010170tam,0,0.23377306604385942
201212160cle,0,0.530945529513356
201410120min,0,0.11498148033075564
200812070gnb,0,0.8060426418457161
201311240cle,0,0.8495298595929809
201411300htx,1,0.6603262514965849
201612110tam,1,0.9615069543576958
201710220min,1,0.9127628998852498
201712240chi,1,0.8311825926941206
200912130htx,1,0.9471133086068398
201411020min,1,0.6636206544366281
201510290nwe,1,0.9869118580041901
201612040atl,0,0.9983870089557465
201412150chi,0,0.04765767250024974
201212100nwe,1,0.9502423172036738
201511150ram,0,0.967519804181844
201612240chi,0,0.6625321801838481
201712100kan,1,0.4670055622179182
201712170nyg,0,0.022144126791201015
200910110crd,1,0.4444815850228097
201512130phi,1,0.48255029524827925
200910180rai,1,0.009362613064127225
201312220det,0,0.9964573254377599
201610160nwe,1,0.8715937005818866
201612180htx,1,0.790277929543631
200912270mia,0,0.6570340157668637
201112040nor,1,0.9994863645805029
201411020pit,1,0.9767859677383071
201610090clt,1,0.5820179004376074
201611240clt,0,0.0019558978337027625
200910250mia,0,0.011458097172351354
200912210was,0,0.2605887651916943
201110160atl,1,0.33530222418184763
201211250nor,0,0.699178852104566
201410120atl,0,0.9039334319119869
