Importance,Feature
0.09875116926750456,rankings___h__estim_winrate
0.06471167388605367,rankings___v__dave_or_wtddvoa
0.048899689922741414,rankings___v__offensedvoa
0.048746613482072716,rankings___h__offensedvoa
0.04717681955786123,rankings___v__defensedvoa
0.042226437849749214,travel___v_travel_from_last_game_decay
0.04036537803665591,rankings___h__s_t_dvoa
0.038218995184430476,rankings___h__dave_or_wtddvoa
0.03776926269832768,rankings___h__defensedvoa
0.036127975603390615,travel___h_travel_from_last_game_decay
0.035833912498127535,team_history___h_ovr_wr_past_2_seasons
0.03532881609829759,rankings___v__s_t_dvoa
0.034499913959898584,team_history___v_ovr_wr_past_2_seasons
0.032330711847456964,team_history___h_ovr_wr_past_3_seasons
0.02999204208282498,rankings___v__estim_winrate
0.029387801427381843,team_history___v_ovr_wr_past_3_seasons
0.028571497394784186,weather___wind_mph
0.026456923063845342,weather___humidity_pct
0.024067017333011052,home_field___v_visitor__ovr_wr_ytd
0.02221359744989847,home_field___h_home__ovr_wr_last_8_games
0.021699220208133158,weather___wind_chill
0.02083564663197896,time_date___week_id
0.02021273110329962,travel___v_home_body_time
0.01963744217917755,team_history___h_ovr_wr_ytd
0.018089173564173024,weather___temperature
0.0163278779781999,home_field___v_visitor__ovr_wr_last_8_games
0.015926694841775727,team_history___v_ovr_wr_ytd
0.013426965100158339,home_field___h_home__ovr_wr_ytd
0.012795017824173251,travel___v_days_since_last_game
0.012248025148449046,home_field___v_visitor__ovr_wr_last_4_games
0.010091134990512974,matchup___h_wr_past_3_seasons
0.009706335692962795,travel___v_tz_change_last_10_days
0.0073274860926917625,travel___h_days_since_last_game
