Importance,Feature
0.09388591453495163,rankings___h__estim_winrate
0.06309011289474672,rankings___h__dave_or_wtddvoa
0.05675986736998747,rankings___v__offensedvoa
0.04380453870585527,rankings___h__s_t_dvoa
0.04352645238701773,team_history___h_ovr_wr_past_3_seasons
0.04309718069305904,rankings___h__offensedvoa
0.041910026916426674,rankings___h__defensedvoa
0.041087582643839014,travel___v_travel_from_last_game_decay
0.03840034915869757,travel___h_travel_from_last_game_decay
0.037655662982825036,team_history___v_ovr_wr_past_3_seasons
0.03486106553340732,rankings___v__s_t_dvoa
0.03219048392859311,team_history___v_ovr_wr_past_2_seasons
0.03108834248290054,rankings___v__defensedvoa
0.030864612438406634,weather___humidity_pct
0.029779737052432576,weather___wind_mph
0.02952936213453415,rankings___v__dave_or_wtddvoa
0.02871525095572857,rankings___v__estim_winrate
0.02794103132138594,team_history___h_ovr_wr_past_2_seasons
0.02667073539677142,time_date___week_id
0.02616965312100011,home_field___v_visitor__ovr_wr_last_8_games
0.019997270174061346,home_field___v_visitor__ovr_wr_ytd
0.01914781667014845,team_history___v_ovr_wr_ytd
0.017789829461519843,weather___wind_chill
0.01692213796914676,home_field___h_home__ovr_wr_last_8_games
0.016733985739614113,home_field___v_visitor__ovr_wr_last_4_games
0.015164185690104007,matchup___h_wr_past_3_seasons
0.015147099489191894,travel___v_tz_change_last_10_days
0.014417460166555969,travel___v_home_body_time
0.014385805537840189,weather___temperature
0.013780922196622483,home_field___h_home__ovr_wr_ytd
0.013507972911205228,team_history___h_ovr_wr_ytd
0.012613726708485703,travel___h_days_since_last_game
0.009363824632937608,travel___v_days_since_last_game
