,label,Score
0,Won,0.92726755
1,Won,0.35506302
2,Won,0.9525950999999999
3,Lost,0.65030307
4,Won,0.77575873
5,Lost,0.35398620000000003
6,Won,0.29547787
7,Lost,0.271705255
8,Won,0.54655886
9,Lost,0.16740882
10,Won,0.61471198
11,Lost,0.665142655
12,Lost,0.29837742
13,Won,0.5065079
14,Lost,0.49907643
15,Won,0.4880616
16,Won,0.2176709
17,Won,0.74574038
18,Won,0.82892925
19,Lost,0.31230992
20,Won,0.50867447
21,Lost,0.18651283
22,Lost,0.40154573000000005
23,Won,0.6878650399999999
24,Won,0.7938932
25,Lost,0.9185324
26,Won,0.7336427
27,Won,0.5646750200000001
28,Lost,0.7293881999999999
29,Won,0.71134686
30,Won,0.5810043
31,Won,0.44586040000000005
32,Won,0.8099221
33,Won,0.5985590000000001
34,Won,0.8372746499999999
35,Won,0.8060640299999999
36,Lost,0.65190354
37,Won,0.8717094000000001
38,Won,0.7767564
39,Lost,0.6863451
41,Won,0.9811127000000001
42,Won,0.93150127
43,Won,0.6582142
44,Won,0.43879017
45,Won,0.58838594
46,Won,0.865280745
47,Won,0.8255769000000001
48,Lost,0.41766496
49,Won,1.0500614000000001
50,Won,0.916064
51,Lost,0.60111046
52,Won,0.8441622
53,Won,0.7103536
54,Lost,0.58170277
55,Won,0.82674986
56,Lost,0.41150890000000007
57,Won,0.8507985
58,Lost,0.2302953
59,Won,0.58411358
60,Lost,0.264974095
61,Lost,0.39849433
62,Lost,0.15008381
63,Lost,0.1726144
64,Won,0.40346222499999995
65,Won,0.709522035
66,Won,0.8150408
67,Lost,1.0003345000000001
68,Won,0.49295135999999995
69,Lost,0.8803550150000001
70,Won,1.0063467
71,Lost,0.73177313
72,Won,0.812282135
73,Won,0.8787782
74,Won,0.6210904
75,Lost,0.22056479499999998
76,Won,0.89915985
77,Won,0.6997452
78,Lost,0.45607354
79,Won,0.5323268
80,Won,0.5793340999999999
81,Won,0.31569278
82,Won,0.46559423
83,Lost,0.4580411
84,Won,0.6747991999999999
85,Won,0.7381414000000001
86,Won,0.33160377
87,Won,0.8625805950000001
88,Won,0.583113
89,Won,0.776483
91,Won,0.6109792
92,Lost,0.62019557
93,Won,0.44230741500000004
94,Lost,0.73161024
95,Lost,0.78052413
96,Won,0.73131776
97,Lost,0.632208345
98,Won,0.9418363000000001
100,Lost,0.6930654
101,Won,0.83953631
102,Lost,0.52329747
103,Won,0.4130098
104,Won,0.5535875
105,Won,0.8790740800000001
106,Won,0.7536464
107,Won,0.38211796
108,Lost,0.341150255
109,Won,0.68470045
110,Won,0.68895614
111,Won,1.1006596000000002
112,Lost,0.7894734
113,Won,0.8241666350000001
114,Won,0.62884147
115,Won,0.28451622
116,Lost,0.32338724
117,Lost,0.32505482
119,Won,0.20423722
120,Lost,0.75464725
121,Won,0.585856535
122,Lost,0.7766298
123,Lost,0.427249185
124,Won,0.382891335
125,Lost,0.8340460999999999
126,Won,0.8321204
127,Lost,0.27673763
128,Won,0.9104771700000001
129,Won,0.7674911
130,Lost,0.7741958000000001
131,Won,0.18942118
132,Won,0.6004016
133,Lost,0.5338809
134,Won,0.7098836
135,Lost,0.8027631
136,Lost,0.52403647
137,Lost,0.15143238
138,Won,0.38230187
139,Won,0.775331715
140,Won,0.8181194
141,Won,0.586847305
142,Won,0.8945251000000001
143,Lost,0.917035585
144,Won,0.7359076
145,Won,0.7801826
146,Won,0.444256275
147,Won,1.0088675
148,Won,0.9033986199999999
149,Lost,0.26998602000000005
150,Won,0.54636955
151,Won,0.22426152
152,Lost,0.4865353
153,Won,0.86351025
154,Lost,0.698979265
156,Lost,0.43939975
157,Won,0.2279054
158,Won,0.17697465
159,Lost,0.296704205
160,Lost,0.20343867
161,Lost,0.431856335
162,Lost,0.373206765
163,Won,0.41714480000000004
164,Lost,0.405532235
165,Won,0.20284033
166,Lost,0.10460077
167,Won,0.15726255
168,Won,0.42313346
169,Lost,0.53977
170,Lost,0.422462465
171,Lost,0.28371727
172,Won,0.50514785
173,Won,0.7752192
174,Won,0.71231794
175,Won,0.8468547
176,Won,0.87169678
177,Won,0.9893731
178,Won,0.844528925
179,Won,0.80955154
180,Won,0.76183045
181,Lost,0.65994112
182,Won,0.44236939000000003
183,Won,0.54990885
184,Lost,0.490188875
185,Lost,0.5822109999999999
186,Won,0.7352033
187,Won,0.74459016
189,Won,0.69260323
190,Lost,0.82936675
191,Lost,0.51135585
192,Won,0.8165958
193,Lost,0.94472986
194,Won,0.751673585
195,Won,0.21947870000000003
196,Won,0.8543274
197,Won,0.67192554
198,Lost,0.47914227499999995
199,Lost,0.71967825
200,Lost,0.43873265
201,Lost,0.5229812
202,Won,0.31927094
203,Won,0.6051470999999999
204,Won,0.776476325
205,Lost,0.16492036
206,Won,0.84409712
207,Won,0.6761915350000001
208,Won,0.9085687
209,Won,0.8347735999999999
210,Lost,0.6393538000000001
211,Won,0.9366101000000001
212,Won,0.78399074
213,Won,0.8296343
214,Won,0.7747476
215,Lost,0.80600077
