Model Score Threshold,Accuracy
0.0,0.5715567519066846
0.01,0.5715567519066846
0.02,0.5715567519066846
0.03,0.5715567519066846
0.04,0.5720053835800808
0.05,0.5724540152534769
0.06,0.5724540152534769
0.07,0.5737999102736653
0.08,0.5737999102736653
0.09,0.5724540152534769
0.1,0.572902646926873
0.11,0.5742485419470614
0.12,0.5764917003140422
0.13,0.5773889636608345
0.14,0.5787348586810229
0.15,0.5818752803947959
0.16,0.5836698070883805
0.17,0.5859129654553612
0.18,0.585464333781965
0.19,0.5863615971287572
0.2,0.5895020188425303
0.21,0.591745177209511
0.22,0.5930910722296994
0.23,0.591745177209511
0.24,0.594885598923284
0.25,0.594885598923284
0.26,0.598026020637057
0.27,0.6002691790040376
0.28,0.6034096007178107
0.29,0.6069986541049798
0.3,0.6137281292059219
0.31,0.6123822341857336
0.32,0.614176760879318
0.33,0.6177658142664872
0.34,0.6191117092866757
0.35000000000000003,0.6213548676536563
0.36,0.6218034993270525
0.37,0.6258411843876177
0.38,0.6294302377747869
0.39,0.6280843427545985
0.4,0.6307761327949754
0.41000000000000003,0.6303275011215792
0.42,0.6312247644683715
0.43,0.6312247644683715
0.44,0.6316733961417677
0.45,0.6289816061013908
0.46,0.6289816061013908
0.47000000000000003,0.629878869448183
0.48,0.6316733961417677
0.49,0.6339165545087483
0.5,0.6312247644683715
0.51,0.6303275011215792
0.52,0.633019291161956
0.53,0.6316733961417677
0.54,0.6285329744279946
0.55,0.6227007626738448
0.56,0.6191117092866757
0.5700000000000001,0.6195603409600717
0.58,0.6164199192462988
0.59,0.6083445491251682
0.6,0.6065500224315836
0.61,0.6011664423508299
0.62,0.5971287572902647
0.63,0.5966801256168686
0.64,0.5944369672498878
0.65,0.5926424405563033
0.66,0.5899506505159264
0.67,0.5841184387617766
0.68,0.5832211754149843
0.6900000000000001,0.5800807537012113
0.7000000000000001,0.5733512786002691
0.71,0.5697622252131
0.72,0.5693135935397039
0.73,0.566621803499327
0.74,0.5563032750112158
0.75,0.5509196949304621
0.76,0.5468820098698968
0.77,0.5432929564827277
0.78,0.537909376401974
0.79,0.5352175863615971
0.8,0.531628532974428
0.81,0.5244504262000897
0.8200000000000001,0.5145805293853746
0.8300000000000001,0.5091969493046209
0.84,0.5011215791834903
0.85,0.4948407357559444
0.86,0.4908030506953791
0.87,0.48631673396141767
0.88,0.4768954688200987
0.89,0.47240915208613726
0.9,0.4670255720053836
0.91,0.46433378196500674
0.92,0.462090623598026
0.93,0.45939883355764916
0.9400000000000001,0.4535666218034993
0.9500000000000001,0.4508748317631225
0.96,0.4486316733961418
0.97,0.4459398833557649
0.98,0.4459398833557649
0.99,0.4427994616419919
1.0,0.44190219829519967
