Model Score Threshold,F1
0.0,0.7265960492413397
0.01,0.7265960492413397
0.02,0.7265960492413397
0.03,0.7265960492413397
0.04,0.7268041237113402
0.05,0.7268558326167956
0.06,0.7268558326167956
0.07,0.727324913892078
0.08,0.7270114942528736
0.09,0.7257553956834533
0.1,0.7256484149855909
0.11,0.726118326118326
0.12,0.7271676300578035
0.13,0.7274305555555555
0.14,0.7279049550854824
0.15,0.7292271934921557
0.16,0.7297612114152592
0.17,0.7301958491669103
0.18,0.7288732394366197
0.19,0.7281839622641509
0.2,0.7295300029559563
0.21,0.7294887039239001
0.22,0.728849028400598
0.23,0.7270545890821836
0.24,0.7280939476061428
0.25,0.7267776096822995
0.26,0.727659574468085
0.27,0.7279389312977099
0.28,0.7285012285012284
0.29,0.7292954264524103
0.3,0.7313572542901717
0.31,0.7286432160804021
0.32,0.7285353535353535
0.33,0.7286624203821656
0.34,0.7269218398198778
0.35000000000000003,0.7266839378238342
0.36,0.7247796278158669
0.37,0.724934036939314
0.38,0.7255813953488373
0.39,0.7219054008721905
0.4,0.7211114876313115
0.41000000000000003,0.7180013689253936
0.42,0.7161602209944751
0.43,0.7137883008356547
0.44,0.7114235500878735
0.45,0.7055891776432894
0.46,0.701981981981982
0.47000000000000003,0.6990149580445093
0.48,0.6971597196606418
0.49,0.6955223880597016
0.5,0.6895770392749245
0.51,0.6845329249617151
0.52,0.682699767261443
0.53,0.6774066797642436
0.54,0.6690647482014388
0.55,0.6602020202020202
0.56,0.6519065190651907
0.5700000000000001,0.6481327800829876
0.58,0.6409071818563629
0.59,0.6270824434002562
0.6,0.6188613646240765
0.61,0.6081974438078448
0.62,0.5973094170403587
0.63,0.5919201089423514
0.64,0.583793738489871
0.65,0.5757009345794392
0.66,0.5651760228353949
0.67,0.5532530120481927
0.68,0.5452765540871267
0.6900000000000001,0.5338645418326694
0.7000000000000001,0.519454269833249
0.71,0.5094629156010231
0.72,0.5005202913631634
0.73,0.4888888888888888
0.74,0.4662709120345386
0.75,0.45090510148107515
0.76,0.4370122630992197
0.77,0.4235560588901472
0.78,0.40462427745664736
0.79,0.39273153575615477
0.8,0.38004750593824227
0.81,0.3591293833131801
0.8200000000000001,0.3304455445544554
0.8300000000000001,0.3102143757881463
0.84,0.2862644415917843
0.85,0.26501305483028725
0.86,0.24383744170552968
0.87,0.22477995937711578
0.88,0.19696969696969693
0.89,0.181058495821727
0.9,0.16338028169014082
0.91,0.15198863636363635
0.92,0.14050179211469535
0.93,0.1274438812454743
0.9400000000000001,0.10176991150442478
0.9500000000000001,0.09063893016344725
0.96,0.08215085884988799
0.97,0.07212622088655146
0.98,0.0693293142426526
0.99,0.057663125948406675
1.0,0.054711246200607896
