Bin,Lost,Won
0,7.0,1.0
1,34.0,13.0
2,83.0,54.0
3,138.0,79.0
4,148.0,131.0
5,160.0,174.0
6,134.0,201.0
7,112.0,205.0
8,83.0,208.0
9,44.0,142.0
10,11.0,49.0
