game_id,label,score
201401110nwe,1,0.9332643
201411020htx,0,0.4405888
201501100sea,1,0.72301495
201601090cin,0,0.3357315
201610160oti,0,0.32223165
201612240rai,1,0.16656162
201101230chi,0,0.37590197
201111060oti,0,0.8409277
201512060mia,0,0.7036248
201512200rav,0,0.5870991
201601100was,0,0.22453044
201609120was,0,0.14551847
200810190buf,1,0.404966
200909130atl,1,0.40681404
201012050cin,1,0.91644484
201411030nyg,0,0.43845734
201511160cin,0,0.75613487
200710070clt,1,0.46383765
201112050jax,0,0.58011925
201112110cin,0,0.77045155
201212300clt,1,0.78578204
201412140nyg,1,0.33700475
201411090det,1,0.50736976
201001030det,0,0.33700296
201209100rai,0,0.36917755
201710080dal,0,0.40485477
200709160crd,1,0.1824097
200910180jax,0,0.47781792
201211040oti,0,0.25426945
201412070rai,1,0.88672966
201312290atl,1,0.5889323
200710140sea,0,0.96770936
201310270phi,0,0.70095557
201411020cle,0,0.17019369
200711110nyg,0,0.16604374
200811300ram,1,0.6812393
200810120clt,1,0.6970542
201010170sfo,1,0.8189366
201212160mia,1,0.54534125
201612040sdg,0,0.15763123
201709110min,1,0.13490151
201710290det,0,0.71125174
200709300cle,1,0.4141397
200911010crd,0,0.8919161
200911290nyj,1,0.9118888
200909270ram,0,0.3201189
200911080clt,0,0.73215646
201210280det,1,0.34266427
201409210cle,0,0.26609913
200710210htx,0,0.9801138
200912270cin,0,0.4968376
201310270nor,1,0.46236536
200709090htx,1,0.70170677
201012050oti,0,0.075039975
201311030nyj,1,0.23318598
201511260dal,0,0.8996434
201610020was,1,0.55430496
200711050pit,1,0.19621152
201212090pit,0,0.44263497
201311170htx,0,0.5587417
201712100sdg,1,0.23843606
200709090min,1,0.631968
200910250nyg,0,0.38616398
201112120sea,1,0.3315883
200711110pit,0,0.66897935
201210140sea,1,0.30348673
201212020gnb,1,0.6839766
201311170den,1,0.413848
201409140oti,0,0.47766966
201201010nor,1,0.12231712
201211250kan,1,0.30002764
201409220nyj,0,0.6509677
201411020mia,1,0.47916448
201711050nyg,0,0.16408548
200711180cin,0,0.2696662
201212230sea,1,0.8707136
200709160nwe,1,0.79290724
200711110rav,0,0.38005453
201712170min,1,0.51955426
200711040det,1,0.40389156
201112240buf,1,0.2937124
201211040gnb,1,0.6420758
