,Season,Week #,RMSE
0,2007,1,16.127829647128774
1,2007,2,13.802519921297106
2,2007,3,16.75599718989969
3,2007,4,15.071923369661294
4,2007,5,16.324803588882208
5,2007,6,13.715156920563938
6,2007,7,8.7997038834642
7,2007,8,13.220280487406002
8,2007,9,15.38736466117691
9,2007,10,13.20887015425554
10,2007,11,14.256566439021919
11,2007,12,13.80512111424801
12,2007,13,13.091076369337477
13,2007,14,13.573362812735185
14,2007,15,12.409187463069573
15,2007,16,15.365820942199164
16,2007,17,9.582349089041026
17,2007,18,11.204706607836464
18,2007,19,9.718702151300128
19,2007,20,10.369690082499151
20,2008,1,16.006592604105684
21,2008,2,12.45991762274791
22,2008,3,15.929694130322662
23,2008,4,12.31898298537567
24,2008,5,16.32881887798908
25,2008,6,15.795969767806094
26,2008,7,15.753940376385165
27,2008,8,14.021158268578537
28,2008,9,12.814687155223726
29,2008,10,15.77233382805022
30,2008,11,10.595935793214647
31,2008,12,18.05739377359981
32,2008,13,16.986634172235348
33,2008,14,10.123423241065126
34,2008,15,11.845934406575397
35,2008,16,16.964835942749673
36,2008,17,15.055471423604699
37,2008,18,5.873124450729285
38,2008,19,19.12925100259436
39,2008,20,6.968849065587696
40,2009,1,13.364849133111981
41,2009,2,14.91796430798519
42,2009,3,11.862522331873043
43,2009,4,16.968629635114805
44,2009,5,17.257683344535938
45,2009,6,17.764410365467523
46,2009,7,20.541094070279698
47,2009,8,16.318884293210242
48,2009,9,11.268467542437058
49,2009,10,10.957195450137476
50,2009,11,10.5677454881266
51,2009,12,14.978697067706348
52,2009,13,11.594930910140445
53,2009,14,17.18163287076041
54,2009,15,15.915985444135108
55,2009,16,19.357005909052834
56,2009,17,17.594956147374955
57,2009,18,18.42470510545448
58,2009,19,20.181163589418265
59,2009,20,9.068682554563296
60,2010,1,10.872359627617486
61,2010,2,15.170523298263229
62,2010,3,14.596258655296603
63,2010,4,14.271224838783548
64,2010,5,14.138822026324958
65,2010,6,8.433628971349933
66,2010,7,16.881742504790974
67,2010,8,9.224512488202775
68,2010,9,16.517997513413725
69,2010,10,17.051739036904113
70,2010,11,15.922358704836183
71,2010,12,12.846852186803007
72,2010,13,13.938241292792902
73,2010,14,14.509981071483896
74,2010,15,10.948921118343963
75,2010,16,12.909640507576102
76,2010,17,18.246767929484346
77,2010,18,11.99402809086984
78,2010,19,15.883709728501119
79,2010,20,1.8617380086358086
80,2011,1,16.859258432812894
81,2011,2,12.990480551379479
82,2011,3,10.717176871914246
83,2011,4,9.005676233136231
84,2011,5,17.340598775928203
85,2011,6,13.121555728008376
86,2011,7,22.24591670557246
87,2011,8,16.71257844362614
88,2011,9,12.36899608807715
89,2011,10,17.31050112981882
90,2011,11,13.470553254424425
91,2011,12,9.337424489656534
92,2011,13,15.603189165284178
93,2011,14,12.845442930025781
94,2011,15,19.78233670421963
95,2011,16,17.82305027245539
96,2011,17,8.578736909116492
97,2011,18,14.012765995382763
98,2011,19,15.618074805701367
99,2011,20,9.979008931182351
100,2012,1,12.952006789559956
101,2012,2,15.279094561430261
102,2012,3,15.651630389723538
103,2012,4,14.491672037066397
104,2012,5,13.659869415838479
105,2012,6,17.676536358813856
106,2012,7,7.576524133462121
107,2012,8,13.187316356418984
108,2012,9,9.615367362357448
109,2012,10,18.362765002679268
110,2012,11,13.561768326205708
111,2012,12,13.539499402903424
112,2012,13,9.684819433293283
113,2012,14,17.034938102321686
114,2012,15,19.818416383628033
115,2012,16,16.430002573610636
116,2012,17,12.557196623190267
117,2012,18,5.438481472607788
118,2012,19,10.141067256246481
119,2012,20,35.3128215
120,2013,1,8.496154762788406
121,2013,2,10.842285379148336
122,2013,3,19.29135111505508
123,2013,4,17.5781708661305
124,2013,5,13.95033344447474
125,2013,6,12.555692589281977
126,2013,7,9.664089868605062
127,2013,8,14.224193622077824
128,2013,9,16.36495594656445
129,2013,10,16.598467377917768
130,2013,11,10.788215884029565
131,2013,12,15.050456128580526
132,2013,13,11.439110245829601
133,2013,14,14.467576803152118
134,2013,15,15.565951189007665
135,2013,16,20.475502640705514
136,2013,17,7.1227256380697
137,2013,18,17.099663757051125
138,2013,19,7.894171828129164
139,2013,20,3.3770519528975456
140,2014,1,14.24455380289795
141,2014,2,15.959418148698706
142,2014,3,15.46408243046406
143,2014,4,20.4254940419899
144,2014,5,12.962956938402183
145,2014,6,15.131559683345943
146,2014,7,13.19649588076333
147,2014,8,13.425739200501269
148,2014,9,16.4094825064682
149,2014,10,16.31470937315594
150,2014,11,19.062238080130587
151,2014,12,8.731227622211609
152,2014,13,15.568385721306415
153,2014,14,16.792699398868354
154,2014,15,12.389039517301157
155,2014,16,14.34334016369474
156,2014,17,14.658144653997004
157,2014,18,9.940261874508549
158,2014,19,15.962709839387689
159,2014,20,20.128695917921462
160,2015,1,12.109749059302205
161,2015,2,12.762491774734132
162,2015,3,15.52201827482626
163,2015,4,11.047966054539033
164,2015,5,10.683857578803963
165,2015,6,12.666879784811973
166,2015,7,9.22501391563294
167,2015,8,13.783548819105143
168,2015,9,8.352499334121681
169,2015,10,16.917165540069917
170,2015,11,18.064363980903114
171,2015,12,14.060135031060517
172,2015,13,15.253476381631739
173,2015,14,16.12585348211381
174,2015,15,11.008971218417797
175,2015,16,14.646221370220731
176,2015,17,14.414725172025141
177,2015,18,14.98403418130357
178,2015,19,7.515476920775966
179,2015,20,19.944449695767705
