,label,Score
0,Won,0.8715058611361587
1,Won,0.6253381424706943
2,Won,0.6442741208295762
3,Lost,0.3408476104598738
4,Won,0.7619477006311993
5,Lost,0.32146077547339946
6,Won,0.009918845807033363
7,Lost,0.029756537421100092
8,Won,0.7055906221821461
9,Lost,0.07619477006311992
10,Won,0.630297565374211
11,Lost,0.4860234445446348
12,Lost,0.1375112714156898
13,Won,0.02479711451758341
14,Lost,0.0829576194770063
15,Won,0.44679891794409377
16,Won,0.26420198376916143
17,Won,0.975653742110009
18,Won,0.7831379621280433
19,Lost,0.19431920649233544
20,Won,0.4409377817853922
21,Lost,0.2060414788097385
22,Lost,0.3318304779080252
23,Won,0.6045987376014428
24,Won,0.566726780883679
25,Lost,0.9080252479711451
26,Won,0.9711451758340848
27,Won,0.5166816952209198
28,Lost,0.49368800721370604
29,Won,0.8349864743011722
30,Won,0.7385031559963932
31,Won,0.3313796212804328
32,Won,0.7732191163210099
33,Won,0.3674481514878269
34,Won,0.866546438232642
35,Won,0.972497745716862
36,Lost,0.7705139765554554
37,Won,0.8223624887285843
38,Won,0.6379621280432822
39,Lost,0.7164111812443643
40,Won,0.9914337240757439
41,Won,0.8701532912533815
42,Won,0.9477006311992786
43,Won,0.5622182146077548
44,Won,0.2799819657348963
45,Won,0.3958521190261497
46,Won,0.7966636609558161
47,Won,0.654643823264202
48,Lost,0.3358881875563571
50,Won,0.690712353471596
51,Lost,0.6388638412984671
52,Won,0.4571686203787196
53,Won,0.8165013525698828
54,Lost,0.2822362488728584
55,Won,0.8800721370604148
56,Lost,0.06357078449053201
57,Won,0.7461677186654644
58,Lost,0.6564472497745717
59,Won,0.2777276825969342
60,Lost,0.1496844003606853
61,Lost,0.33047790802524796
62,Lost,0.22993688007213706
63,Lost,0.3255184851217313
64,Won,0.0405770964833183
65,Won,0.6659152389540126
66,Won,0.8629395852119026
67,Lost,0.7060414788097386
68,Won,0.38683498647430115
69,Lost,0.9851217312894499
70,Won,0.8669972948602345
71,Lost,0.3593327321911632
72,Won,0.9400360685302074
73,Won,0.7673579801623084
74,Won,0.5315599639314698
75,Lost,0.0351668169522092
76,Won,0.8214607754733995
77,Won,0.6731289449954915
78,Lost,0.8584310189359784
79,Won,0.581605049594229
80,Won,0.5193868349864743
81,Won,0.4558160504959423
82,Won,0.6248872858431019
83,Lost,0.18440036068530208
84,Won,0.6830477908025248
85,Won,0.5870153291253382
86,Won,0.38097385031559966
87,Won,0.7078449053201082
88,Won,0.4684400360685302
89,Won,0.5811541929666366
90,Won,0.5333633904418394
91,Won,0.31424706943192066
92,Lost,0.2146077547339946
93,Won,0.3291253381424707
94,Lost,0.78809738503156
95,Lost,0.5843101893597836
96,Won,0.5266005410279531
97,Lost,0.6041478809738503
98,Won,0.9869251577998197
99,Won,0.4837691614066727
100,Lost,0.6871055004508566
101,Won,0.8606853020739405
102,Lost,0.4359783588818756
103,Won,0.34986474301172227
104,Won,0.33724075743913434
105,Won,0.9598737601442742
106,Won,0.8345356176735798
108,Lost,0.25788999098286747
110,Won,0.48692515779981965
111,Won,0.9129846708746618
112,Lost,0.8854824165915239
113,Won,0.9035166816952209
114,Won,0.23669972948602344
115,Won,0.324165915238954
116,Lost,0.012623985572587917
117,Lost,0.11316501352569883
118,Lost,0.1690712353471596
119,Won,0.15013525698827773
120,Lost,0.7903516681695221
121,Won,0.6857529305680794
122,Lost,0.7258791704238052
123,Lost,0.36158701532912535
124,Won,0.6478809738503156
125,Lost,0.6163210099188458
126,Won,0.9517583408476105
127,Lost,0.02164111812443643
128,Won,0.5414788097385032
129,Won,0.8034265103697025
130,Lost,0.9427412082957619
131,Won,0.07709648331830478
132,Won,0.7578899909828675
133,Lost,0.4932371505861136
134,Won,0.6844003606853021
135,Lost,0.19251577998196573
136,Lost,0.6082055906221822
137,Lost,0.16275924256086566
138,Won,0.0509467989179441
139,Won,0.6623083859332732
140,Won,0.6668169522091975
141,Won,0.6767357980162308
143,Lost,0.5554553651938684
144,Won,0.6496844003606853
145,Won,0.4621280432822362
146,Won,0.5987376014427412
147,Won,0.9341749323715058
148,Won,0.9621280432822362
149,Lost,0.40396753832281335
150,Won,0.6469792605951308
151,Won,0.04824165915238954
152,Lost,0.05004508566275924
153,Won,0.7813345356176736
154,Lost,0.7443642921550947
155,Won,0.9733994589720469
156,Lost,0.1740306582506763
157,Won,0.260595130748422
158,Won,0.11767357980162309
159,Lost,0.11541929666366095
160,Lost,0.05725879170423805
162,Lost,0.6330027051397655
163,Won,0.33994589720468893
164,Lost,0.19296663660955815
165,Won,0.027953110910730387
