,Actual,Predicted
-46,0.0004508566275924256,0.0
-45,0.0004508566275924256,0.0
-38,0.001352569882777277,0.0
-37,0.0004508566275924256,0.0
-36,0.0004508566275924256,0.0
-35,0.0018034265103697023,0.0
-34,0.0036068530207394047,0.0
-33,0.0009017132551848512,0.0
-32,0.0009017132551848512,0.0
-31,0.005410279531109108,0.0
-30,0.0036068530207394047,0.0
-29,0.002254283137962128,0.0
-28,0.006762849413886384,0.0
-27,0.004959422903516681,0.0
-26,0.0018034265103697023,0.0
-25,0.004959422903516681,0.0
-24,0.012173128944995492,0.0
-23,0.005410279531109108,0.0
-22,0.004959422903516681,0.0
-21,0.011722272317403066,0.0
-20,0.007213706041478809,0.0004508566275924256
-19,0.004508566275924256,0.0004508566275924256
-18,0.009017132551848512,0.001352569882777277
-17,0.013976555455365193,0.002705139765554554
-16,0.010820559062218215,0.002254283137962128
-15,0.006762849413886384,0.0040577096483318306
-14,0.01848512173128945,0.0036068530207394047
-13,0.015779981965734897,0.006762849413886384
-12,0.005861136158701533,0.01127141568981064
-11,0.012623985572587917,0.013976555455365193
-10,0.02028854824165915,0.017132551848512173
-9,0.005861136158701533,0.016681695220919748
-8,0.016681695220919748,0.02254283137962128
-7,0.04733994589720469,0.023444544634806132
-6,0.026149684400360685,0.031109107303877368
-5,0.013525698827772768,0.033363390441839495
-4,0.027953110910730387,0.04192966636609558
-3,0.06176735798016231,0.032010820559062216
-2,0.018034265103697024,0.0387736699729486
-1,0.016230838593327322,0.03787195671776375
0,0.0,0.0545536519386835
1,0.018935978358881875,0.04328223624887286
2,0.020739404869251576,0.05184851217312895
3,0.07078449053201082,0.05229936880072137
4,0.030207394048692517,0.04238052299368801
5,0.016681695220919748,0.056807935076645624
6,0.03381424706943192,0.04914337240757439
7,0.04508566275924256,0.032912533814247066
8,0.016681695220919748,0.0387736699729486
9,0.009467989179440937,0.03787195671776375
10,0.03832281334535618,0.03742110009017133
11,0.012173128944995492,0.027051397655545536
12,0.008566275924256087,0.027953110910730387
13,0.014878268710550046,0.02254283137962128
14,0.028403967538322812,0.02028854824165915
15,0.006762849413886384,0.012173128944995492
16,0.009467989179440937,0.017132551848512173
17,0.01848512173128945,0.009467989179440937
18,0.013525698827772768,0.005410279531109108
19,0.007213706041478809,0.005410279531109108
20,0.015329125338142471,0.005410279531109108
21,0.022993688007213707,0.002254283137962128
22,0.0063119927862939585,0.0031559963931469793
23,0.005861136158701533,0.0009017132551848512
24,0.014878268710550046,0.001352569882777277
25,0.0063119927862939585,0.0004508566275924256
26,0.005410279531109108,0.0
27,0.008566275924256087,0.0
28,0.011722272317403066,0.0
29,0.004508566275924256,0.0
30,0.002254283137962128,0.0
31,0.010820559062218215,0.0
32,0.0036068530207394047,0.0
33,0.001352569882777277,0.0
34,0.004508566275924256,0.0
35,0.005410279531109108,0.0
37,0.0031559963931469793,0.0
38,0.004508566275924256,0.0
40,0.0018034265103697023,0.0
41,0.001352569882777277,0.0
42,0.001352569882777277,0.0
43,0.0004508566275924256,0.0
44,0.0004508566275924256,0.0
45,0.0018034265103697023,0.0
48,0.0004508566275924256,0.0
55,0.0004508566275924256,0.0
58,0.0004508566275924256,0.0
59,0.0004508566275924256,0.0
