Bin,Did Not Cover,Covered
0,74.0,26.0
1,70.0,30.0
2,49.0,20.0
3,23.0,17.0
4,25.0,11.0
5,25.0,9.0
6,18.0,10.0
7,16.0,13.0
8,13.0,17.0
9,17.0,11.0
10,11.0,10.0
11,16.0,13.0
12,4.0,8.0
13,11.0,10.0
14,9.0,6.0
15,6.0,9.0
16,9.0,11.0
17,10.0,5.0
18,11.0,4.0
19,8.0,9.0
20,14.0,8.0
21,8.0,7.0
22,7.0,4.0
23,6.0,3.0
24,13.0,5.0
25,5.0,3.0
26,6.0,9.0
27,6.0,11.0
28,6.0,11.0
29,9.0,7.0
30,4.0,6.0
31,7.0,3.0
32,1.0,8.0
33,4.0,8.0
34,8.0,8.0
35,15.0,8.0
36,4.0,3.0
37,9.0,3.0
38,3.0,9.0
39,6.0,6.0
40,4.0,3.0
41,8.0,4.0
42,4.0,5.0
43,8.0,6.0
44,5.0,5.0
45,5.0,4.0
46,6.0,7.0
47,5.0,8.0
48,4.0,8.0
49,5.0,7.0
50,3.0,2.0
51,1.0,3.0
52,4.0,6.0
53,3.0,0.0
54,6.0,4.0
55,8.0,5.0
56,5.0,3.0
57,6.0,8.0
58,4.0,4.0
59,2.0,5.0
60,5.0,7.0
61,6.0,7.0
62,1.0,6.0
63,3.0,7.0
64,3.0,8.0
65,7.0,2.0
66,5.0,6.0
67,6.0,7.0
68,1.0,8.0
69,2.0,11.0
70,6.0,6.0
71,6.0,10.0
72,9.0,7.0
73,11.0,9.0
74,1.0,8.0
75,6.0,9.0
76,4.0,9.0
77,12.0,12.0
78,7.0,3.0
79,5.0,16.0
80,9.0,7.0
81,11.0,15.0
82,13.0,20.0
83,6.0,9.0
84,14.0,16.0
85,6.0,17.0
86,6.0,10.0
87,10.0,10.0
88,12.0,21.0
89,19.0,15.0
90,8.0,15.0
91,11.0,23.0
92,14.0,32.0
93,11.0,19.0
94,15.0,26.0
95,31.0,29.0
96,20.0,50.0
97,28.0,45.0
98,41.0,94.0
99,55.0,160.0
100,93.0,331.0
