Model Score Threshold,F1
0.0,
0.01,0.7198275862068967
0.02,0.7237181851715234
0.03,0.7303497555471982
0.04,0.7308567096285065
0.05,0.7316513761467891
0.06,0.7338740826573966
0.07,0.7349163098481899
0.08,0.7332023575638508
0.09,0.7323052589956505
0.1,0.7319013524264121
0.11,0.7325069972011196
0.12,0.7347266881028939
0.13,0.7335220380105136
0.14,0.7317073170731707
0.15,0.7312091503267975
0.16,0.7286184210526315
0.17,0.7264462809917356
0.18,0.7260671363447991
0.19,0.7271214642262894
0.2,0.7266666666666666
0.21,0.7255230125523011
0.22,0.7252839713925116
0.23,0.7237452551665964
0.24,0.723890063424947
0.25,0.7241086587436334
0.26,0.7243289305496379
0.27,0.7240051347881901
0.28,0.7226528854435832
0.29,0.7210708117443869
0.3,0.7217654694937256
0.31,0.7225358228397742
0.32,0.7212543554006968
0.33,0.7235345581802274
0.34,0.7203166226912928
0.35,0.7175639894086496
0.36,0.7170645446507515
0.37,0.7145390070921986
0.38,0.7137777777777778
0.39,0.7142220240748998
0.4,0.7142857142857142
0.41,0.7139013452914797
0.42,0.7133872416891285
0.43,0.7126126126126126
0.44,0.7133182844243793
0.45,0.7116953762466002
0.46,0.7125912408759124
0.47,0.7070151306740028
0.48,0.7059364933271974
0.49,0.702127659574468
0.5,0.6985601486298187
0.51,0.6983240223463687
0.52,0.6950819672131148
0.53,0.6914743287800282
0.54,0.6896877956480606
0.55,0.686935866983373
0.56,0.6886027658559847
0.57,0.6854954523695548
0.58,0.6839577329490875
0.59,0.6805019305019305
0.6,0.6779825412221144
0.61,0.6764132553606237
0.62,0.6728606356968215
0.63,0.6686332350049164
0.64,0.6676528599605522
0.65,0.6679861454725383
0.66,0.6676631788739412
0.67,0.6653306613226454
0.68,0.6643180674383492
0.69,0.6612740141557127
0.7,0.6595419847328244
0.71,0.6574783052577845
0.72,0.6567317574511818
0.73,0.6542443064182194
0.74,0.651380927566441
0.75,0.6492146596858639
0.76,0.6452631578947369
0.77,0.6433862433862434
0.78,0.640807651434644
0.79,0.6385927505330491
0.8,0.630048465266559
0.81,0.6282608695652173
0.82,0.6276653909240022
0.83,0.6218302094818081
0.84,0.6189683860232945
0.85,0.6177951874650252
0.86,0.6174647887323944
0.87,0.6100342075256556
0.88,0.6034482758620688
0.89,0.5973271353864033
0.9,0.5888563049853374
0.91,0.5801072066706374
0.92,0.5709112854556427
0.93,0.5649786455155582
0.94,0.5561035758323057
0.95,0.5431789737171465
0.96,0.5277246653919694
0.97,0.5101373446697187
0.98,0.4895482130815913
0.99,0.4294917680744452
1.0,
