Model Score Threshold,Accuracy
0.0,0.5547798066595059
0.01,0.5810955961331902
0.02,0.5977443609022557
0.03,0.6149301825993555
0.04,0.6186895810955961
0.05,0.6229860365198711
0.06,0.6299677765843179
0.07,0.6342642320085929
0.08,0.6353383458646616
0.09,0.6364124597207304
0.1,0.6380236305048335
0.11,0.6407089151450054
0.12,0.6455424274973147
0.13,0.6460794844253491
0.14,0.6455424274973147
0.15,0.6466165413533834
0.16,0.6455424274973147
0.17,0.644468313641246
0.18,0.6450053705692803
0.19,0.6476906552094522
0.2,0.6476906552094522
0.21,0.6476906552094522
0.22,0.6493018259935553
0.23,0.6482277121374865
0.24,0.6493018259935553
0.25,0.6509129967776585
0.26,0.6525241675617616
0.27,0.6535982814178303
0.28,0.6541353383458647
0.29,0.6530612244897959
0.3,0.6546723952738991
0.31,0.6568206229860365
0.32,0.6562835660580022
0.33,0.6605800214822771
0.34,0.6584317937701396
0.35,0.6562835660580022
0.36,0.6562835660580022
0.37,0.6541353383458647
0.38,0.6541353383458647
0.39,0.6557465091299678
0.4,0.6562835660580022
0.41,0.6573576799140709
0.42,0.6573576799140709
0.43,0.6573576799140709
0.44,0.658968850698174
0.45,0.6584317937701396
0.46,0.6616541353383458
0.47,0.6568206229860365
0.48,0.6568206229860365
0.49,0.6541353383458647
0.5,0.6514500537056928
0.51,0.6519871106337272
0.52,0.650375939849624
0.53,0.6482277121374865
0.54,0.6476906552094522
0.55,0.6460794844253491
0.56,0.6493018259935553
0.57,0.6471535982814178
0.58,0.6466165413533834
0.59,0.644468313641246
0.6,0.6433941997851772
0.61,0.6433941997851772
0.62,0.6407089151450054
0.63,0.6380236305048335
0.64,0.6380236305048335
0.65,0.6396348012889366
0.66,0.6417830290010741
0.67,0.6412459720730398
0.68,0.6417830290010741
0.69,0.640171858216971
0.7,0.6407089151450054
0.71,0.6396348012889366
0.72,0.6412459720730398
0.73,0.6412459720730398
0.74,0.6407089151450054
0.75,0.640171858216971
0.76,0.6380236305048335
0.77,0.6380236305048335
0.78,0.6369495166487648
0.79,0.635875402792696
0.8,0.6310418904403867
0.81,0.6326530612244898
0.82,0.6342642320085929
0.83,0.631578947368421
0.84,0.6310418904403867
0.85,0.6331901181525241
0.86,0.6353383458646616
0.87,0.6326530612244898
0.88,0.6294307196562836
0.89,0.6278195488721805
0.9,0.6235230934479055
0.91,0.621374865735768
0.92,0.6181525241675617
0.93,0.617078410311493
0.94,0.6133190118152524
0.95,0.6079484425349087
0.96,0.6020408163265306
0.97,0.5977443609022557
0.98,0.5934479054779807
0.99,0.5719656283566058
1.0,0.4452201933404941
