dataset,did_cover_sbr,did_win,final_margin,fold,game_id,home_field___h_consecutive_home,home_field___h_home__close_wr_last_4_games,home_field___h_home__close_wr_last_8_games,home_field___h_home__close_wr_ytd,home_field___h_home__open_wr_last_4_games,home_field___h_home__open_wr_last_8_games,home_field___h_home__open_wr_ytd,home_field___h_home__ovr_wr_last_4_games,home_field___h_home__ovr_wr_last_8_games,home_field___h_home__ovr_wr_ytd,home_field___h_home__pfr_wr_last_4_games,home_field___h_home__pfr_wr_last_8_games,home_field___h_home__pfr_wr_ytd,home_field___h_is_home,home_field___v_consecutive_visitor,home_field___v_is_home,home_field___v_visitor__close_wr_last_4_games,home_field___v_visitor__close_wr_last_8_games,home_field___v_visitor__close_wr_ytd,home_field___v_visitor__open_wr_last_4_games,home_field___v_visitor__open_wr_last_8_games,home_field___v_visitor__open_wr_ytd,home_field___v_visitor__ovr_wr_last_4_games,home_field___v_visitor__ovr_wr_last_8_games,home_field___v_visitor__ovr_wr_ytd,home_field___v_visitor__pfr_wr_last_4_games,home_field___v_visitor__pfr_wr_last_8_games,home_field___v_visitor__pfr_wr_ytd,label,line___close_ou,line___h_close_line,line___h_ml,line___h_open_line,line___h_pfr_line,line___open_ou,line___pfr_ou,line___v_ml,matchup___h_wr_past_2_seasons,matchup___h_wr_past_3_seasons,matchup___h_wr_past_5_games,matchup___h_wr_ytd,matchup___is_same_conf,matchup___is_same_division,rankings___h__dave_or_wtddvoa,rankings___h__def_rank,rankings___h__defensedvoa,rankings___h__estim_winrate,rankings___h__off_rank,rankings___h__offensedvoa,rankings___h__s_t_dvoa,rankings___h__s_t_rank,rankings___h__totaldvoa,rankings___v__dave_or_wtddvoa,rankings___v__def_rank,rankings___v__defensedvoa,rankings___v__estim_winrate,rankings___v__off_rank,rankings___v__offensedvoa,rankings___v__s_t_dvoa,rankings___v__s_t_rank,rankings___v__totaldvoa,sbr_spread,season,team_history___h_close_wr_past_2_seasons,team_history___h_close_wr_past_3_seasons,team_history___h_close_wr_past_5_games,team_history___h_close_wr_ytd,team_history___h_open_wr_past_2_seasons,team_history___h_open_wr_past_3_seasons,team_history___h_open_wr_past_5_games,team_history___h_open_wr_ytd,team_history___h_ovr_wr_past_2_seasons,team_history___h_ovr_wr_past_3_seasons,team_history___h_ovr_wr_past_5_games,team_history___h_ovr_wr_ytd,team_history___h_pfr_wr_past_2_seasons,team_history___h_pfr_wr_past_3_seasons,team_history___h_pfr_wr_past_5_games,team_history___h_pfr_wr_ytd,team_history___v_close_wr_past_2_seasons,team_history___v_close_wr_past_3_seasons,team_history___v_close_wr_past_5_games,team_history___v_close_wr_ytd,team_history___v_open_wr_past_2_seasons,team_history___v_open_wr_past_3_seasons,team_history___v_open_wr_past_5_games,team_history___v_open_wr_ytd,team_history___v_ovr_wr_past_2_seasons,team_history___v_ovr_wr_past_3_seasons,team_history___v_ovr_wr_past_5_games,team_history___v_ovr_wr_ytd,team_history___v_pfr_wr_past_2_seasons,team_history___v_pfr_wr_past_3_seasons,team_history___v_pfr_wr_past_5_games,team_history___v_pfr_wr_ytd,time_date___day_of_week,time_date___game_time_eastern,time_date___game_time_local,time_date___is_playoffs,time_date___is_sunday,time_date___is_superbowl,time_date___week_id,travel___h_body_clock_from_last_wk,travel___h_days_since_last_game,travel___h_same_stadium_last_game,travel___h_travel_from_last_10_days,travel___h_travel_from_last_game,travel___h_travel_from_last_game_decay,travel___h_tz_change_last_10_days,travel___h_tz_change_last_game,travel___v_body_clock_from_last_wk,travel___v_days_since_last_game,travel___v_dist_from_home,travel___v_home_body_time,travel___v_same_stadium_last_game,travel___v_travel_from_last_10_days,travel___v_travel_from_last_game,travel___v_travel_from_last_game_decay,travel___v_tz_change_last_10_days,travel___v_tz_change_last_game,weather___humidity_pct,weather___is_dome,weather___is_grass,weather___temperature,weather___wind_chill,weather___wind_mph,week_id
training,1,1,44,0.0,200811090nyj,1,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.625,0.5,0.5,0.5,1.0,1,0.0,0.375,0.375,0.3125,0.375,0.375,0.3125,0.25,0.25,0.25,0.5,0.5,0.375,1,43.0,-9.5,-400,-9.0,-9.5,45.0,43.5,320,0.5,0.5,0.5,0.5,0.0,0.0,-2.9,13.0,0.9,0.55,22.0,-1.5,0.7,15.0,-1.7,-36.7,31.0,24.3,0.225,29.0,-15.7,1.3,14.0,-38.7,9.5,2008,0.4375,0.4375,0.6,0.5,0.4375,0.4375,0.6,0.5,0.375,0.375,0.8,0.625,0.4375,0.4375,0.6,0.5,0.3125,0.3125,0.5,0.3125,0.25,0.25,0.5,0.3125,0.20833333333333331,0.20833333333333331,0.4,0.25,0.3333333333333333,0.3333333333333333,0.6,0.375,6.0,13.0,13.0,0.0,1.0,0.0,10.0,13.0,7.0,0,5.102278507882513,5.102278507882513,5.102278507882513,0.0,0.0,12.0,7.0,16.25840917502385,12.0,0,16.25840917502385,16.25840917502385,16.25840917502385,1.0,1.0,46.0,1,0,53.0,53.0,14.0,10
training,1,1,21,3.0,200910180nor,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,1.0,1.0,0.9,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,0.9,1,47.5,-3.0,-180,-3.5,-3.0,49.0,47.5,160,0.5,0.5,0.5,0.5,1.0,0.0,32.7,2.0,-28.8,1.25,2.0,33.0,-2.5,20.0,59.3,37.2,3.0,-26.9,0.78,8.0,21.7,-3.2,23.0,45.3,3.0,2009,0.725,0.5694444444444444,0.8,1.0,0.775,0.5972222222222222,1.0,1.0,0.6,0.5277777777777778,0.8,1.0,0.725,0.5694444444444444,0.8,1.0,0.75,0.7261904761904762,0.9,0.9,0.7045454545454546,0.7023809523809523,0.9,0.9,0.7727272727272727,0.7380952380952381,1.0,1.0,0.75,0.7261904761904762,0.9,0.9,6.0,13.0,12.0,0.0,1.0,0.0,6.0,12.0,14.0,1,0.0,0.0,0.0,0.0,0.0,13.0,7.0,19.341748889927192,13.0,0,19.341748889927192,19.341748889927192,19.341748889927192,-1.0,-1.0,0.0,1,0,68.0,68.0,0.0,6
training,-1,-1,-27,3.0,200912060atl,2,0.75,0.8,0.6363636363636364,0.75,0.8,0.6363636363636364,1.0,1.0,0.5454545454545454,0.75,0.8,0.6363636363636364,1.0,1,0.0,0.5,0.6,0.5454545454545454,0.5,0.6,0.5454545454545454,0.5,0.6,0.6363636363636364,0.5,0.6,0.5454545454545454,0,43.5,4.0,190,3.0,4.0,44.5,43.5,-230,0.0,0.0,0.0,0.5,1.0,0.0,-2.8,25.0,11.1,0.5,17.0,9.8,0.0,19.0,-1.3,28.6,3.0,-11.0,0.6818181818181818,12.0,14.0,5.7,4.0,30.6,4.0,2009,0.5714285714285714,0.5340909090909091,0.6,0.6363636363636364,0.6071428571428571,0.5681818181818182,0.6,0.6363636363636364,0.6071428571428571,0.4772727272727273,0.4,0.5454545454545454,0.5714285714285714,0.5454545454545454,0.6,0.6363636363636364,0.6,0.5652173913043478,0.4,0.5454545454545454,0.6,0.5652173913043478,0.4,0.5454545454545454,0.6166666666666667,0.5760869565217391,0.6,0.6363636363636364,0.6,0.5652173913043478,0.4,0.5454545454545454,6.0,13.0,13.0,0.0,1.0,0.0,13.0,13.0,7.0,1,0.0,0.0,0.0,0.0,0.0,13.0,7.0,11.090170542372197,13.0,0,11.090170542372197,11.090170542372197,11.090170542372197,0.0,0.0,0.0,1,0,68.0,68.0,0.0,13
training,1,1,14,0.0,200912270cle,1,0.5,0.5,0.5714285714285714,0.5,0.5,0.5714285714285714,0.25,0.16666666666666666,0.21428571428571427,0.5,0.5,0.5714285714285714,1.0,2,0.0,0.75,0.5714285714285714,0.5,0.75,0.5714285714285714,0.5,0.5,0.42857142857142855,0.35714285714285715,0.75,0.5714285714285714,0.5,1,37.0,-3.0,-180,-3.0,-3.0,37.5,37.0,160,0.5,0.0,0.0,0.5,1.0,0.0,-23.2,32.0,21.9,0.3,25.0,-14.8,8.9,1.0,-27.8,-28.8,26.0,10.5,0.2857142857142857,29.0,-21.7,1.2,13.0,-31.1,3.0,2009,0.5,0.5869565217391305,1.0,0.5714285714285714,0.5,0.5543478260869565,1.0,0.5714285714285714,0.2333333333333333,0.3695652173913043,0.4,0.21428571428571427,0.4833333333333333,0.5760869565217391,1.0,0.5714285714285714,0.4666666666666667,0.43478260869565216,0.6,0.5,0.4666666666666667,0.43478260869565216,0.6,0.5,0.3333333333333333,0.3043478260869565,0.6,0.35714285714285715,0.4666666666666667,0.43478260869565216,0.6,0.5,6.0,13.0,13.0,0.0,1.0,0.0,16.0,12.0,7.0,0,13.018451979052664,13.018451979052664,13.018451979052664,1.0,1.0,11.0,7.0,40.674765407657866,10.0,0,23.387046372767983,23.387046372767983,23.387046372767983,2.0,2.0,84.0,1,1,34.0,30.0,6.0,16
training,-1,1,1,0.0,201109180was,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,1,45.0,-4.5,-220,-4.0,-4.5,42.5,45.0,180,0.5,0.5,1.0,0.5,1.0,0.0,-6.7,15.0,-5.0,0.5190258251586375,7.0,24.8,-2.5,18.0,27.3,-14.2,26.0,29.1,0.5294328528952108,13.0,17.4,14.0,5.0,2.2,4.5,2011,0.6176470588235294,0.5303030303030303,0.9,1.0,0.6470588235294118,0.5606060606060606,0.9,1.0,0.4117647058823529,0.3333333333333333,0.4,1.0,0.6470588235294118,0.5454545454545454,1.0,1.0,0.35294117647058826,0.4571428571428571,0.6,1.0,0.35294117647058826,0.42857142857142855,0.6,1.0,0.35294117647058826,0.4857142857142857,0.6,1.0,0.3235294117647059,0.4142857142857143,0.5,0.5,6.0,13.0,13.0,0.0,1.0,0.0,2.0,13.0,7.0,1,0.0,0.0,0.0,0.0,0.0,11.0,7.0,35.804609544610315,11.0,0,35.804609544610315,35.804609544610315,35.804609544610315,2.0,2.0,71.0,1,1,66.0,66.0,7.0,2
training,-1,-1,-6,1.0,201111270sea,1,0.75,0.75,0.65,0.75,0.75,0.65,0.5,0.5,0.4,0.75,0.75,0.65,1.0,1,0.0,0.25,0.4,0.4,0.25,0.4,0.4,0.25,0.2,0.3,0.25,0.4,0.4,0,37.0,-3.0,-155,-4.5,-3.0,37.5,37.5,135,0.5,0.5,0.5,0.5,1.0,0.0,-11.6,13.0,0.4,0.42,26.0,-13.1,-0.4,19.0,-13.9,-14.0,9.0,-2.3,0.41,27.0,-13.9,0.1,17.0,-11.5,3.0,2011,0.5178571428571429,0.4659090909090909,0.7,0.65,0.5178571428571429,0.4659090909090909,0.7,0.65,0.42857142857142855,0.3863636363636364,0.4,0.4,0.5178571428571429,0.4659090909090909,0.7,0.65,0.5192307692307693,0.4880952380952381,0.2,0.4,0.5384615384615384,0.5119047619047619,0.2,0.4,0.3461538461538461,0.30952380952380953,0.0,0.3,0.5384615384615384,0.5,0.2,0.4,6.0,16.0,13.0,0.0,1.0,0.0,12.0,15.0,7.0,0,33.36909915470449,33.36909915470449,33.36909915470449,-2.0,-2.0,16.0,7.0,46.28967384549171,16.0,0,46.28967384549171,46.28967384549171,46.28967384549171,-3.0,-3.0,0.0,1,0,52.0,52.0,13.0,12
training,1,1,10,3.0,201212300was,1,0.75,0.5714285714285714,0.6666666666666666,0.75,0.5714285714285714,0.6666666666666666,0.75,0.5714285714285714,0.6,0.75,0.5714285714285714,0.6666666666666666,1.0,1,0.0,0.75,0.7142857142857143,0.4,0.75,0.7142857142857143,0.4,0.75,0.5714285714285714,0.5333333333333333,0.75,0.7142857142857143,0.4,1,49.0,-3.0,-175,-3.5,-3.0,50.0,49.0,155,0.33333333333333337,0.4,0.4,1.0,1.0,1.0,13.1,21.0,3.9,0.5933333333333334,6.0,14.3,-2.9,25.0,7.5,1.1,23.0,6.1,0.5133333333333333,11.0,7.1,-0.7,19.0,0.3,3.0,2012,0.5483870967741935,0.5638297872340425,1.0,0.6666666666666666,0.5483870967741935,0.5744680851063829,1.0,0.6666666666666666,0.4516129032258064,0.425531914893617,1.0,0.6,0.5483870967741935,0.5744680851063829,1.0,0.6666666666666666,0.3709677419354839,0.3723404255319149,0.4,0.4,0.3709677419354839,0.3723404255319149,0.4,0.4,0.5161290322580645,0.4680851063829787,0.6,0.5333333333333333,0.3709677419354839,0.39361702127659576,0.4,0.4,6.0,21.0,21.0,0.0,1.0,0.0,17.0,21.0,7.0,0,1.9661519946586024,1.9661519946586024,1.9661519946586024,0.0,0.0,20.0,7.0,21.14548034818789,20.0,0,21.14548034818789,21.14548034818789,21.14548034818789,1.0,1.0,53.0,1,1,37.0,30.0,9.0,17
training,-1,-1,-21,2.0,201411060cin,3,0.625,0.7,0.5625,0.375,0.5,0.4375,0.875,0.9,0.6875,0.625,0.7,0.5625,1.0,1,0.0,0.5,0.5,0.5625,0.6666666666666666,0.6666666666666666,0.625,0.3333333333333333,0.3333333333333333,0.625,0.6666666666666666,0.6666666666666666,0.6875,0,46.5,-6.0,-260,-6.0,-6.5,44.0,46.0,215,0.5,0.5,0.6,0.5,1.0,1.0,4.4,14.0,1.1,0.6375,15.0,3.6,3.5,8.0,6.1,-5.1,21.0,4.5,0.55,16.0,-1.9,1.8,14.0,-4.6,6.0,2014,0.6,0.5833333333333334,0.3,0.5625,0.6,0.5833333333333334,0.1,0.4375,0.66,0.6309523809523809,0.5,0.6875,0.6,0.5833333333333334,0.3,0.5625,0.4375,0.475,0.5,0.5625,0.4583333333333333,0.4875,0.6,0.625,0.375,0.35,0.8,0.625,0.4791666666666667,0.5,0.6,0.6875,3.0,20.0,20.0,0.0,0.0,0.0,10.0,20.0,4.0,1,0.0,0.0,0.0,0.0,0.0,20.0,4.0,3.7076221039501935,20.0,0,3.7076221039501935,3.7076221039501935,3.7076221039501935,0.0,0.0,86.0,1,0,42.0,42.0,17.0,10
training,1,1,5,3.0,201509200cin,1,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1,0.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,1,48.0,-3.0,-180,-3.5,-3.0,45.5,47.0,160,0.5,0.5,0.6,0.5,1.0,0.0,11.3,7.0,-24.3,0.5190258251586375,6.0,38.6,-4.6,22.0,58.3,7.2,9.0,-16.1,0.5294328528952108,11.0,17.6,-10.3,25.0,23.4,3.0,2015,0.5277777777777778,0.5714285714285714,0.6,1.0,0.4722222222222222,0.5714285714285714,0.6,1.0,0.6388888888888888,0.6428571428571429,0.6,1.0,0.5277777777777778,0.5714285714285714,0.6,1.0,0.4705882352941176,0.5571428571428572,0.4,1.0,0.4705882352941176,0.5571428571428572,0.4,1.0,0.5882352941176471,0.5714285714285714,0.4,1.0,0.4705882352941176,0.5571428571428572,0.4,1.0,6.0,13.0,13.0,0.0,1.0,0.0,2.0,10.0,7.0,0,37.708495036032666,37.708495036032666,37.708495036032666,3.0,3.0,10.0,7.0,33.20880736186109,10.0,0,33.20880736186109,33.20880736186109,33.20880736186109,3.0,3.0,47.0,1,0,69.0,69.0,6.0,2
training,1,1,7,1.0,200810050mia,1,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,1.0,2,0.0,0.75,0.75,0.625,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.625,1,44.5,6.0,210,7.5,6.0,45.5,44.5,-250,0.5,0.5,0.5,0.5,1.0,0.0,-11.2,15.0,0.5,0.5,10.0,9.5,-7.8,32.0,1.1,19.7,17.0,3.5,0.65,6.0,18.3,0.3,15.0,15.1,6.0,2008,0.3684210526315789,0.3684210526315789,0.4,0.3333333333333333,0.4473684210526316,0.4473684210526316,0.4,0.3333333333333333,0.10526315789473684,0.10526315789473684,0.2,0.3333333333333333,0.3684210526315789,0.3684210526315789,0.4,0.3333333333333333,0.7173913043478259,0.7173913043478259,0.7,0.625,0.6956521739130435,0.6956521739130435,0.6,0.5,0.6521739130434783,0.6521739130434783,0.4,0.5,0.7173913043478259,0.7173913043478259,0.7,0.625,6.0,13.0,13.0,0.0,1.0,0.0,5.0,13.0,14.0,0,0.0,18.461105811685353,1.790209731115845,0.0,0.0,10.0,7.0,37.50674063821729,10.0,0,43.58750951845037,43.58750951845037,43.58750951845037,3.0,3.0,74.0,1,1,86.0,86.0,16.0,5
