Percentile,Lost,Won,success
0,9,1,0.1
1,16,2,0.1111111111111111
2,15,4,0.21052631578947367
3,12,7,0.3684210526315789
4,13,5,0.2777777777777778
5,12,7,0.3684210526315789
6,13,6,0.3157894736842105
7,11,7,0.3888888888888889
8,10,9,0.47368421052631576
9,9,9,0.5
10,15,4,0.21052631578947367
11,12,7,0.3684210526315789
12,14,4,0.2222222222222222
13,14,5,0.2631578947368421
14,10,8,0.4444444444444444
15,12,7,0.3684210526315789
16,11,8,0.42105263157894735
17,11,7,0.3888888888888889
18,12,7,0.3684210526315789
19,14,5,0.2631578947368421
20,9,9,0.5
21,9,10,0.5263157894736842
22,8,10,0.5555555555555556
23,9,10,0.5263157894736842
24,7,12,0.631578947368421
25,11,7,0.3888888888888889
26,11,8,0.42105263157894735
27,11,8,0.42105263157894735
28,13,5,0.2777777777777778
29,11,8,0.42105263157894735
30,13,5,0.2777777777777778
31,12,7,0.3684210526315789
32,10,9,0.47368421052631576
33,12,6,0.3333333333333333
34,13,6,0.3157894736842105
35,11,8,0.42105263157894735
36,7,11,0.6111111111111112
37,8,11,0.5789473684210527
38,11,7,0.3888888888888889
39,9,10,0.5263157894736842
40,9,10,0.5263157894736842
41,14,4,0.2222222222222222
42,9,10,0.5263157894736842
43,10,8,0.4444444444444444
44,8,11,0.5789473684210527
45,10,9,0.47368421052631576
46,4,14,0.7777777777777778
47,4,15,0.7894736842105263
48,6,13,0.6842105263157895
49,7,11,0.6111111111111112
50,12,7,0.3684210526315789
51,8,10,0.5555555555555556
52,7,12,0.631578947368421
53,8,11,0.5789473684210527
54,7,11,0.6111111111111112
55,11,8,0.42105263157894735
56,9,10,0.5263157894736842
57,8,10,0.5555555555555556
58,9,10,0.5263157894736842
59,9,9,0.5
60,8,11,0.5789473684210527
61,8,11,0.5789473684210527
62,5,13,0.7222222222222222
63,4,15,0.7894736842105263
64,5,13,0.7222222222222222
65,5,14,0.7368421052631579
66,12,7,0.3684210526315789
67,6,12,0.6666666666666666
68,6,13,0.6842105263157895
69,8,11,0.5789473684210527
70,8,10,0.5555555555555556
71,6,13,0.6842105263157895
72,4,14,0.7777777777777778
73,7,12,0.631578947368421
74,6,13,0.6842105263157895
75,5,13,0.7222222222222222
76,8,11,0.5789473684210527
77,6,13,0.6842105263157895
78,2,16,0.8888888888888888
79,4,15,0.7894736842105263
80,2,16,0.8888888888888888
81,5,14,0.7368421052631579
82,5,14,0.7368421052631579
83,7,11,0.6111111111111112
84,7,12,0.631578947368421
85,3,16,0.8421052631578947
86,5,13,0.7222222222222222
87,4,15,0.7894736842105263
88,4,14,0.7777777777777778
89,5,14,0.7368421052631579
90,3,16,0.8421052631578947
91,4,14,0.7777777777777778
92,4,15,0.7894736842105263
93,4,14,0.7777777777777778
94,4,15,0.7894736842105263
95,4,15,0.7894736842105263
96,3,15,0.8333333333333334
97,3,16,0.8421052631578947
98,8,11,0.5789473684210527
99,2,16,0.8888888888888888
100,1,8,0.8888888888888888
