Bin,Lost,Won
0,50.0,12.0
1,56.0,32.0
2,28.0,17.0
3,28.0,12.0
4,22.0,7.0
5,15.0,13.0
6,13.0,10.0
7,18.0,11.0
8,17.0,5.0
9,9.0,9.0
10,7.0,10.0
11,8.0,10.0
12,6.0,8.0
13,4.0,6.0
14,5.0,7.0
15,9.0,7.0
16,5.0,1.0
17,7.0,5.0
18,6.0,8.0
19,7.0,3.0
20,10.0,4.0
21,8.0,2.0
22,6.0,7.0
23,6.0,2.0
24,5.0,3.0
25,8.0,2.0
26,7.0,6.0
27,7.0,3.0
28,4.0,8.0
29,6.0,3.0
30,7.0,1.0
31,8.0,3.0
32,6.0,3.0
33,6.0,5.0
34,4.0,4.0
35,1.0,4.0
36,3.0,3.0
37,2.0,6.0
38,3.0,3.0
39,4.0,4.0
40,5.0,2.0
41,4.0,5.0
42,3.0,1.0
43,4.0,4.0
44,4.0,6.0
45,3.0,4.0
46,4.0,2.0
47,5.0,5.0
48,6.0,2.0
49,4.0,0.0
50,4.0,3.0
51,4.0,5.0
52,4.0,6.0
53,6.0,3.0
54,2.0,2.0
55,6.0,9.0
56,3.0,4.0
57,2.0,2.0
58,6.0,5.0
59,2.0,5.0
60,2.0,3.0
61,0.0,2.0
62,0.0,4.0
63,3.0,8.0
64,3.0,6.0
65,2.0,2.0
66,1.0,5.0
67,1.0,8.0
68,3.0,8.0
69,7.0,1.0
70,7.0,6.0
71,4.0,6.0
72,3.0,3.0
73,7.0,10.0
74,3.0,5.0
75,2.0,4.0
76,5.0,6.0
77,5.0,5.0
78,2.0,5.0
79,8.0,3.0
80,4.0,6.0
81,3.0,7.0
82,7.0,5.0
83,6.0,8.0
84,3.0,2.0
85,6.0,6.0
86,6.0,3.0
87,8.0,8.0
88,4.0,7.0
89,8.0,15.0
90,5.0,13.0
91,5.0,22.0
92,9.0,18.0
93,15.0,16.0
94,6.0,13.0
95,11.0,15.0
96,14.0,24.0
97,16.0,35.0
98,23.0,60.0
99,36.0,108.0
100,54.0,198.0
