Feature,full,1,0,3,2,4,Importance,StdDev
travel___h_same_stadium_last_game,1.6809116264571429,0.9942730227272726,0.45652317985,0.6408552660666668,0.6815097181666667,1.5868709067857143,0.8720064187192641,0.44393877078644056
team_history___v_close_wr_ytd,1.5842377697650605,0.7179578223438356,1.161381738366197,1.247349684761096,1.065699369735135,1.4569772760980002,1.1298731782608527,0.27183779534044117
travel___h_days_since_last_game,1.4860936956340658,0.9926690124265168,0.9338964393202532,1.1008900840216218,1.1161320642666668,0.9468051505352116,1.0180785501140541,0.08556344379540881
travel___h_tz_change_last_10_days,1.4131826129803282,1.0660349023627909,1.1281809563612903,1.1210686421232146,1.406724265845283,0.8918005612159093,1.1227618655816975,0.1852214558200534
travel___h_tz_change_last_game,1.3162294796787883,1.2417115021939396,1.3428857318636362,1.306660580458333,1.015962894940625,0.9353537215964288,1.1685148862105925,0.1819913514215901
line___h_pfr_line,1.3118347347151735,0.8063623599890107,1.1377562409578352,0.9015489641431914,1.0761422193975907,1.1879760976594196,1.0219571764294095,0.16193130248305193
line___v_ml,1.305593201218079,0.8759009972172599,1.3933922681816804,1.2003977407854671,1.0299372168773724,0.9067358934090226,1.0812728232941606,0.2161512000720062
matchup___h_wr_ytd,1.289059615025,1.2639445310269233,1.2740214856999998,1.3782969312807691,1.0994919932233334,0.9290053317043478,1.1889520545870744,0.17627220660053153
team_history___v_close_wr_past_2_seasons,1.2876867616910088,1.1303224358198816,1.0832714262959038,1.0170195358657697,1.1543030015925293,1.2417442216192296,1.1253321242386627,0.08354147244384191
home_field___h_home__close_wr_ytd,1.2853925105248851,1.1243110303642383,1.2374432061086489,1.144952267083929,1.1815792370710756,1.1025135838853326,1.158159864902645,0.053035384453113434
line___h_ml,1.2618377047960343,1.211437376858888,1.258007695539915,1.0725186308990706,1.1998240149362926,1.104030927718217,1.1691637291904766,0.07778644100562858
home_field___v_visitor__close_wr_last_8_games,1.257045960573706,1.2164286523231995,1.212268810384521,0.9997629272113402,1.3169485107269834,1.1148296252055008,1.172047705170309,0.11993706955841874
travel___v_tz_change_last_10_days,1.2494802360067792,0.9451441416096154,1.108948650901695,1.2322812665819671,1.1584356099300002,1.2102192460223906,1.1310057830091336,0.11436231735246179
travel___v_home_body_time,1.237172719526635,0.9231982900052634,0.9651592747225354,0.8530176023354649,0.991888281713187,1.0661811195966415,0.9598889136746184,0.0792424260620683
travel___v_travel_from_last_game,1.2280233394798004,0.9347791534195429,1.042569975424473,0.9898042138340752,1.0649574510627613,0.9703861388109242,1.0004993865103553,0.05306863475848112
team_history___h_close_wr_past_5_games,1.216675074796307,0.9530039958716516,1.3689997541126466,1.0660223720615385,1.0171728658186738,0.9630596553835641,1.0736517286496148,0.17121989316904906
team_history___v_open_wr_past_5_games,1.2165671509157894,1.0155540856874998,1.1409805285719294,0.7509487158345395,1.0757625144204306,0.7918318954124096,0.9550155479853617,0.17399705091327639
home_field___v_visitor__ovr_wr_last_8_games,1.2149913792935063,0.7350208515358558,0.9415405284076964,1.0239106705504897,0.9231669690315794,1.1732418748499325,0.9593761788751106,0.1595836510589253
home_field___h_home__ovr_wr_ytd,1.207591402870411,1.3260104890898052,1.0659189932337931,1.0970449366447212,1.1593869494387568,1.1185025264145119,1.1533727789643176,0.10231919929287042
team_history___h_ovr_wr_past_2_seasons,1.2057384191704923,1.0478444237631015,1.0074256727773323,1.1914658754548564,1.1079872472846983,1.0079812021679024,1.072540884289578,0.07813043047000874
weather___wind_chill,1.2009345647894734,1.4687540998000002,1.2600553697857144,1.4853027750799999,1.9596586021999995,0.90885604328125,1.4165253780293927,0.3823162584314868
weather___is_grass,1.1933039049988106,1.0310960037274193,0.9334291072042252,1.0338383094041266,1.2365709141778565,1.4413512304516132,1.1352571129930482,0.20360989009549632
team_history___h_close_wr_past_3_seasons,1.1867444940875969,1.1735555180578074,1.1304399298139876,1.236132516073256,1.012716264162708,1.1332739896901645,1.1372236435595846,0.0816496727314759
team_history___h_pfr_wr_past_3_seasons,1.182675660441032,1.0612342916255435,0.9224923848114632,1.2056093289218397,1.028463882979512,1.0612254499656648,1.0558050676608048,0.1012669559844427
team_history___h_close_wr_past_2_seasons,1.171444722652096,1.108650841840507,1.237904713101666,0.9600503218895184,1.0331617747083022,1.1336624943439113,1.0946860291767808,0.10504496634712822
time_date___week_id,1.1688291971660514,1.0295582505924177,1.1048892208715602,0.8040621649595012,0.8893812679655759,1.0025426141350204,0.9660867037048151,0.11912124544870566
matchup___is_same_conf,1.164387040380488,1.3932926387794873,1.0522699444775,1.0448907785531247,1.1616436286399998,0.7421683339774192,1.0788530648855061,0.2350229937089217
team_history___h_ovr_wr_ytd,1.1630184275182351,1.1513512514380273,0.8747309035116879,1.1589218491564517,1.2587134467833332,1.0649649140867463,1.1017364729952492,0.14427165340721515
travel___h_travel_from_last_10_days,1.161904983814622,1.1818681425818125,1.1962135553487858,1.0489294757939651,0.9747325464678512,1.0830328162936158,1.0969553072972063,0.09287237064166616
time_date___day_of_week,1.1614406513666664,1.3116247902409093,0.7493674520961539,1.0506609022169286,1.4888602112499998,1.4235762104739127,1.2048179132555807,0.3046073026233445
home_field___h_home__pfr_wr_ytd,1.1599527583090523,0.7938944129367274,1.332415911532323,1.0193456301683164,0.8390537763209879,0.9079318116360242,0.9785283085188758,0.21530744019600612
team_history___v_close_wr_past_3_seasons,1.1540592306161483,0.996147560414302,0.9162443950173876,0.9945652871181248,1.074347547651811,1.0233278882702348,1.000926535694372,0.05728619954206992
home_field___v_visitor__pfr_wr_last_4_games,1.1518826069105264,0.8364401678999999,1.2705078991333327,1.1743771255233328,1.0775235290653848,1.0326417710531248,1.078298098535035,0.16336779492996442
travel___v_dist_from_home,1.1518482589243155,1.010002203745384,0.9861893479879912,1.0098570596505705,1.0433242056815797,1.1307381417775229,1.0360221917686097,0.05672168198322166
team_history___v_ovr_wr_ytd,1.1456769908177782,1.0654181879600002,0.9746148504253728,1.137975105697468,0.830553723992683,1.1002779041466668,1.0217679544444382,0.12284090751500888
time_date___game_time_local,1.1422395491900983,0.9437464555533326,1.37442514119853,0.8852467363606746,1.1900069064506025,1.232206877655165,1.1251264234436609,0.20510150441336716
home_field___v_visitor__pfr_wr_last_8_games,1.135284136894286,0.7215854896759646,1.0621067776608697,0.9816515070591836,1.0074293994514707,0.6739102486921875,0.8893366845079352,0.1780915729963854
travel___v_days_since_last_game,1.134754567278463,1.5087494266555228,0.9895012585075468,1.1892832788516128,0.9841403931090908,1.1634233816820891,1.1670195477611727,0.21345107430479066
team_history___v_pfr_wr_past_2_seasons,1.1272619949031883,1.0793902566192892,1.0291182778067798,0.9996462526024508,1.182078436968977,1.195035420022557,1.0970537288040108,0.08838135123480419
home_field___h_home__ovr_wr_last_8_games,1.1244080629780535,1.0870231550325309,0.9996715664095482,0.8995352893122901,0.9729373570562502,1.327325860029931,1.05729864556811,0.16517053826404682
team_history___v_open_wr_past_3_seasons,1.1087875707305397,1.0761679440203853,0.942900429071568,1.0628190136321038,1.1597249151537965,1.0600107978815985,1.0603246199518905,0.07734046594730909
travel___v_travel_from_last_10_days,1.1075987388933628,0.9867518405248557,1.0095557481639914,0.9098633593156198,1.0531338528504033,1.058626428713198,1.0035862459136136,0.060389151985155785
travel___h_travel_from_last_game,1.101825630793937,0.950226719396652,0.9548654638321084,1.0598984474840654,1.0594810333233493,1.055100912772699,1.0159145153617748,0.057900938562576006
home_field___v_visitor__open_wr_ytd,1.1003501520904984,0.8880338650428481,0.9807000122281432,1.2940797751309,1.0589669136759996,0.93387164567685,1.0311304423509482,0.15999715075229462
