Model Score Threshold,F1
0.0,
0.01,0.6606031594064146
0.02,0.66044061302682
0.03,0.6596306068601583
0.04,0.6586596204660101
0.05,0.6579961464354527
0.06,0.6563482466747279
0.07,0.6558488738193267
0.08,0.653499146549622
0.09,0.6506378802747792
0.1,0.6518518518518518
0.11,0.6512667660208644
0.12,0.6471617904476119
0.13,0.6443493581676314
0.14,0.64168143833882
0.15,0.6377329588971151
0.16,0.6354515050167224
0.17,0.6329442282749677
0.18,0.6290956749672345
0.19,0.6280116494572412
0.2,0.6242650988776055
0.21,0.6223060344827586
0.22,0.620108695652174
0.23,0.6165248421630525
0.24,0.6137244050913115
0.25,0.609375
0.26,0.6071025930101467
0.27,0.6033646991730824
0.28,0.5987334484743811
0.29,0.5980278422273781
0.3,0.5903083700440528
0.31,0.5848439821693907
0.32,0.5814792543595911
0.33,0.5803707079914919
0.34,0.5691407453033569
0.35,0.5620915032679739
0.36,0.5590452261306532
0.37,0.5596707818930041
0.38,0.5558042852574352
0.39,0.5526401036605119
0.4,0.5477748691099477
0.41,0.5448504983388703
0.42,0.5358465163244699
0.43,0.5285326086956522
0.44,0.52382584847446
0.45,0.5133541449878598
0.46,0.5061425061425061
0.47,0.49787234042553186
0.48,0.49389806173725775
0.49,0.48887267420649394
0.5,0.4807121661721069
0.51,0.47174076865109277
0.52,0.46529366895499624
0.53,0.4584460765365288
0.54,0.44956997654417513
0.55,0.4376489277204131
0.56,0.4286865431103949
0.57,0.4212678936605317
0.58,0.4124223602484472
0.59,0.4058823529411764
0.6,0.39862837548221175
0.61,0.3897569444444445
0.62,0.38383838383838376
0.63,0.37080161218092256
0.64,0.36355394378966466
0.65,0.3546164446485989
0.66,0.3506493506493506
0.67,0.33569071192833566
0.68,0.3277431720172497
0.69,0.31414634146341464
0.7,0.2999501743896362
0.71,0.28745556119857796
0.72,0.27300930713547056
0.73,0.26401257202723943
0.74,0.25638297872340426
0.75,0.24838709677419357
0.76,0.2418300653594771
0.77,0.23242944106253458
0.78,0.218978102189781
0.79,0.20854700854700856
0.8,0.20011567379988435
0.81,0.18790369935408102
0.82,0.17323775388291515
0.83,0.15853658536585366
0.84,0.1412639405204461
0.85,0.13667711598746082
0.86,0.12460267005721551
0.87,0.11946050096339111
0.88,0.1004566210045662
0.89,0.09397749834546658
0.9,0.08080808080808081
0.91,0.06429548563611491
0.92,0.04996530187369882
0.93,0.03373155305692199
0.94,0.026836158192090395
0.95,0.014255167498218105
0.96,0.007194244604316546
0.97,0.0028922631959508315
0.98,0.0
0.99,
1.0,
