game_id,label,score
200910180nor,1,0.08972284649768751
201012260kan,1,0.2458641296250462
201310200car,1,0.9915617474045512
201510250kan,1,0.921369402784419
200712090oti,0,0.06634399380526455
200812140mia,1,0.9355507714753624
201510260crd,1,0.9987826341584188
201711120chi,0,0.032111304260023905
200712020was,0,0.9571876954710437
200811160sfo,1,0.3999704877651331
201010100clt,1,0.9898290085589511
201010310det,1,0.12575482826011888
201611130car,0,0.7216419796318866
200810050nyg,1,0.9953221057267408
200811170buf,0,0.6927330303562654
201012120car,0,0.027638148140071678
201312150jax,0,0.2270688493772236
200710210det,1,0.5372194235693855
201512060rai,0,0.5746748163785069
201411090nor,0,0.975457953199569
201712240nwe,1,0.993309608440084
201411230sfo,1,0.95340857170688
201210220chi,1,0.9838227363457418
201212090buf,0,0.8788520294263208
201510120sdg,0,0.2905866916130363
201510180oti,0,0.3977802225752376
201611060sdg,1,0.044431440929161674
200811230jax,0,0.5950227501841439
200912060crd,1,0.9870563622463062
201010310ram,1,0.8222229384229159
201112170tam,0,0.482725506787336
201410260nwe,1,0.5551869574971713
201411300atl,1,0.3091188178585565
200711180min,1,0.9970659901862334
201010170tam,0,0.03970072252082432
201212160cle,0,0.671205027499664
201410120min,0,0.2006225862180408
200812070gnb,0,0.9925627286309817
201311240cle,0,0.8559961464430718
201411300htx,1,0.8594319845727126
201612110tam,1,0.9759981870632002
201710220min,1,0.9256416949533793
201712240chi,1,0.10085754910990066
200912130htx,1,0.9383096668499628
201411020min,1,0.021017826266206966
201510290nwe,1,0.9971476624593367
201612040atl,0,0.996967085416751
201412150chi,0,0.11801350982302172
201212100nwe,1,0.2629800512735932
201511150ram,0,0.9844092162350166
201612240chi,0,0.1581832091601537
201712100kan,1,0.9402277708053435
201712170nyg,0,0.018336185408651725
200910110crd,1,0.5710894450018315
201512130phi,1,0.1407470714352368
200910180rai,1,0.016508436331855458
201312220det,0,0.996797636656804
201610160nwe,1,0.957209284083448
201612180htx,1,0.6028559519104879
200912270mia,0,0.6021549506291504
201112040nor,1,0.9965996463439882
201411020pit,1,0.9794901240958738
201610090clt,1,0.43375976916721076
201611240clt,0,0.20987403304017757
200910250mia,0,0.05723279298488869
200912210was,0,0.3229791590544925
201110160atl,1,0.9396895645515965
201211250nor,0,0.5937885574151689
201410120atl,0,0.9860517097878804
201212090min,1,0.7958742669964148
201511080nwe,1,0.9981064192363527
201312220gnb,0,0.9119156792881015
201512200min,1,0.9440031113395136
201312020sea,1,0.7818498884017979
201712160det,1,0.8388681446442561
200711250sdg,1,0.9984251486180805
201011070sea,0,0.13987254872675792
200811020chi,1,0.999635647604255
201011280sea,0,0.5763805297195116
200911010gnb,0,0.998969888397495
200912200sea,0,0.9909557579588234
201110090buf,1,0.9868082225643303
201510180min,1,0.40801378808794664
200810050dal,1,0.989656710453128
201110160was,0,0.17116503315983533
201710080phi,1,0.9255313910426889
200710070nor,0,0.0954625659005466
201010240gnb,1,0.7125404339341879
201011140tam,1,0.9706374010010639
201111200chi,1,0.9882954582253061
200812140dal,1,0.04945158702482783
201310130min,0,0.7655898004094951
201611060cle,0,0.012609864028516044
201711260ram,1,0.4193312201127414
201411200rai,1,0.014432901917110058
201512270kan,1,0.9994230663509965
201611270htx,0,0.794382343224554
201411160crd,1,0.8901864230397124
200810050gnb,0,0.9730987122359044
201710080cle,0,0.005002298346314371
201111060nwe,0,0.9410352456752613
201111200det,1,0.9591519360989669
201210210nyg,1,0.8103632343545841
201311240ram,1,0.8895706047461538
201410120mia,0,0.45460723093676714
201111070phi,0,0.25462752717364723
201112110car,0,0.04522093394398109
201710290nor,1,0.9945128490598725
200911010rav,1,0.17843298226934695
201210140atl,1,0.9994862439880667
201610090dal,1,0.7911672706340341
201711260atl,1,0.9747413443054638
200910180pit,1,0.9889778502312089
200912130tam,0,0.5950330703791906
201212020mia,0,0.04974544790541318
201311210atl,0,0.6306491999576497
201711260nwe,1,0.9958918724538187
201012260rai,0,0.12908956582272824
201210210tam,0,0.5866423574254025
200711180sea,1,0.992622828059886
200812210det,0,0.016674167949252444
200910110det,0,0.13985664986059412
200910260was,0,0.03280867463847142
201012120pit,1,0.999581396354928
201011070atl,1,0.8383768090941274
201410050nor,1,0.9922527837976366
201711120clt,0,0.08568125161762043
201410190chi,0,0.988526004369259
201411090rai,0,0.005769646521478628
201410050sdg,1,0.9254406679484939
201511150tam,1,0.0681470683254364
201312080cin,1,0.9398720259430072
201612040cin,1,0.41359725799750735
201212160crd,1,0.4172066590783861
201111130tam,0,0.7663810587898906
201412210car,1,0.853650459206674
201512270min,1,0.9398520968375377
201711260phi,1,0.9859047127417663
200712230cin,1,0.2688011627999259
200811090det,0,0.6618834371745203
201112040mia,1,0.0039027626090871294
201012250crd,1,0.3061003395897587
200810190buf,1,0.14756960380825315
201012050cin,0,0.0005166426537953497
201411030nyg,0,0.050691354121806025
201511160cin,0,0.9996792853395562
201512060mia,1,0.582212547938372
201512200rav,0,0.036393561409191436
201610160oti,1,0.9016429596969033
201612240rai,1,0.4319263386524802
201710080dal,0,0.4220537099077232
200711110nyg,0,0.040800535693038854
200811300ram,0,0.7892784724675683
200911150clt,1,0.873799325248334
200710070clt,1,0.9468096722532564
201112050jax,0,0.8791599271067896
201112110cin,0,0.0703927227406342
200910180jax,1,0.99922777444065
201211040oti,0,0.42205862351088835
201412070rai,1,0.11254030243844815
201412140nyg,1,0.8914961798568696
201610270oti,1,0.9866391573245641
200810190rai,1,0.38256589273518854
201010170sfo,1,0.9308326467460192
201212160mia,1,0.9884633856286426
