,game_id,did_cover_sbr,did_win,week_id,season,final_margin,sbr_spread,0_score,1_score,2_score,3_score,4_score,label,score
1233,201201080den,1,1,18,2011,6,7.5,0.28295237,,,0.12545133,,1,0.20420185000000002
1234,201209090cle,1,-1,1,2012,-1,9.0,-0.007926524,,,,,0,-0.007926524
1235,201211180was,1,1,11,2012,25,3.5,0.5523329,,0.5697051,0.8030871,0.49909934,1,0.5610189999999999
1236,201209230crd,1,1,3,2012,21,3.0,,0.8478934000000001,,0.5785524000000001,,1,0.7132229000000001
1237,201210070pit,-1,1,5,2012,2,4.0,0.45275779999999993,,0.63096607,,,1,0.541861935
1238,201212090tam,-1,-1,14,2012,-2,7.0,0.8585035,0.78155994,,,0.84893996,0,0.84893996
1239,201212020dal,-1,1,13,2012,5,10.5,1.0188448,0.93562603,,,0.7098304,1,0.93562603
1240,201212300nyg,1,1,17,2012,35,6.5,,0.41032597,0.87362194,0.89353365,,1,0.87362194
1241,201211050nor,1,1,9,2012,15,2.5,,,,0.8046701999999999,,1,0.8046701999999999
1242,201209230cle,-1,-1,3,2012,-10,3.0,0.32668728,,,,0.7787050999999999,0,0.55269619
1243,201211040htx,1,1,9,2012,12,11.0,0.8758434000000002,0.9693021999999999,0.8258344999999999,0.7629415,,1,0.85083895
1244,201210140crd,-1,-1,6,2012,-3,5.5,0.7558676999999999,0.68589354,,,0.65442884,0,0.68589354
1245,201211110nwe,-1,1,10,2012,6,13.5,,0.9377999,,1.0082065,,1,0.9730032
1246,201211250clt,1,1,12,2012,7,2.0,,0.5198375,0.59688604,,,1,0.55836177
1247,201210070sfo,1,1,5,2012,42,10.0,0.7654707,0.8824816999999999,0.8533226,0.88989997,0.86487305,1,0.86487305
1248,201212230mia,1,1,16,2012,14,5.0,,0.56885296,,,0.6739576999999999,1,0.62140533
1250,201210140cle,1,1,6,2012,10,1.5,,,0.29911350000000003,0.62709665,0.56429166,1,0.56429166
1251,201301050htx,1,1,18,2012,6,4.0,0.9634014999999999,0.6376419,0.86921877,0.5465858,,1,0.753430335
1252,201212020sdg,-1,-1,13,2012,-7,1.0,,0.4114231,0.44018924,,0.45451949999999997,0,0.44018924
1253,201209230was,-1,-1,3,2012,-7,3.0,,,0.47578532,0.77944744,0.37403584,0,0.47578532
1254,201212230pit,-1,-1,16,2012,-3,3.0,,,0.6244393,,,0,0.6244393
1255,201209100rav,1,1,1,2012,31,7.0,0.8589051,,0.84661436,1.1087146,1.0074177,1,0.9331613999999999
1256,201212130phi,-1,-1,15,2012,-21,5.0,0.5042332,0.3581404,,0.29796565,0.49349390000000004,0,0.42581715000000003
1257,201211180kan,-1,-1,11,2012,-22,3.0,0.337345,,,,0.52333236,0,0.43033868000000003
1258,201209300jax,-1,-1,4,2012,-17,0.0,0.81542623,0.5689316,,,0.49656206,0,0.5689316
1259,201210280cle,1,1,8,2012,1,3.0,0.7041611999999999,,,,0.13464466,1,0.41940292999999995
1260,201212090pit,-1,-1,14,2012,-10,7.5,0.7740425999999999,0.85236174,,0.9351690999999999,0.628996,0,0.81320217
