game_id,label,score
201411160chi,1,0.81422716
201612040cin,1,0.44652432
200812210det,0,0.25763956
200910110det,1,0.36831996
200910260was,0,0.83417815
201012120pit,1,0.49374446
201501030pit,0,0.2355484
201510220sfo,0,0.30795956
201709140cin,0,0.7989434
201512270min,1,0.6669512
201711260phi,1,0.7651324
200901100oti,0,0.15064618
201212160crd,1,0.67382514
201412210mia,0,0.25090334
201012250crd,1,0.8225602
201412280nyg,0,0.38517508
201111130tam,0,0.44802532
201412210car,0,0.34672529
201601030gnb,0,0.829355
201310270phi,0,0.60612506
201410120cin,0,0.43393332
201411020cle,0,0.053237863
201712100htx,0,0.6701307
200712230cin,1,0.30234528
201610030min,1,0.4990269
201010310cin,0,0.74817896
201601090cin,0,0.25364825
201610160oti,0,0.3131041
201612240rai,1,0.2769037
201101230chi,0,0.40546823
201111060oti,0,0.7511888
201312010sfo,1,0.8665553
201512060mia,0,0.6764329
201601100was,0,0.21644312
201609120was,0,0.18615317
200709160jax,0,0.49938124
201412070min,1,0.44744745
201012050cin,1,0.9126781
201411030nyg,0,0.3733936
201112050jax,0,0.40704674
201112110cin,0,0.56868184
201112180nyg,0,0.8772336
200712020rai,1,0.029501026
201212300clt,1,0.8297819
201312010buf,0,0.80895954
201411090det,1,0.25390407
200711180clt,0,0.8517792
200910180was,0,0.3187723
201001030det,0,0.21756423
201209100rai,0,0.2841643
201710080dal,0,0.33622006
200810060nor,0,0.62108004
201211040oti,0,0.24057986
201412070rai,1,0.6231303
201210210ram,0,0.61463416
200811300ram,1,0.7192583
200810190nyg,1,0.8220846
201410230den,1,0.27698806
201010170sfo,1,0.72655797
201212160mia,1,0.18983443
201509200was,1,0.43147555
201612040sdg,0,0.1833274
201710290det,0,0.49817598
200911010crd,0,0.96559215
200911290nyj,1,0.8924314
201310130htx,0,0.27138385
200909270ram,0,0.17395853
201011070det,1,0.6112566
201210280det,1,0.40468615
201409210cle,0,0.6486977
201310270nor,1,0.10493288
201412070crd,1,0.27245277
201511080min,1,0.64824533
200711110mia,0,0.26788202
201209300buf,0,0.28928104
201311030nyj,1,0.387309
201511260dal,0,0.92859554
201610020was,1,0.82878315
201212090pit,0,0.68622845
201512240rai,0,0.34053838
201712100sdg,1,0.6142984
200711220dal,1,0.7146159
201112120sea,1,0.58046013
201511020car,0,0.6215678
200711110pit,0,0.76578635
201210140sea,1,0.3139295
200809210phi,1,0.63224256
201409140oti,0,0.29384574
201509200buf,0,0.69900596
201711050nyg,0,0.33894977
200711180cin,0,0.56188184
201411300min,1,0.74074817
200811160nyg,1,0.868298
200909100pit,0,0.51183176
200909200jax,0,0.3448619
200911220nyg,0,0.50956327
201211040gnb,1,0.40544882
201511080nyj,0,0.060148235
201609180rai,0,0.2638577
200711040buf,1,0.54717284
200911220dal,0,0.7481399
201210280nyj,0,0.9156959
201112110oti,0,0.3940043
201412070mia,0,0.68722147
201611130was,1,0.14757054
200712160kan,0,0.6037148
200912130nyg,0,0.3379776
201212090was,1,0.15070848
201212230pit,0,0.84988344
201512060chi,0,0.5036491
201610020pit,1,0.10378033
200709160ram,0,0.5244562
201411090nyj,1,0.61058915
201412210rai,1,0.61458945
201601160nwe,1,0.85653853
201711120buf,0,0.46660864
200709090rai,0,0.8744841
201512060tam,1,0.02882293
201612190was,0,0.23221111
200912100cle,1,0.7512142
201309290den,1,0.36718762
201010100cle,0,0.14580394
201012120nor,1,0.28641236
201710300kan,1,0.56341803
200812280buf,0,0.53685445
201212300buf,1,0.43075737
201701010was,0,0.47003335
201112040htx,1,0.44496632
201710290tam,0,0.38945428
201510110atl,0,0.5312064
201712250htx,0,0.68420404
201711230dal,0,0.69201154
201110090den,0,0.8155974
201111130kan,0,0.08217909
200809210nyg,0,0.7468736
201011010clt,1,0.4334569
201312010htx,1,0.8628082
201712250phi,0,0.323377
201801140pit,0,0.27673382
200912030buf,0,0.14610654
201310060cin,1,0.33255756
201411240nor,0,0.5964133
201412110ram,0,0.70210344
201509270rav,0,0.948468
201711120oti,0,0.47985554
200909200sdg,0,0.39928302
200911150car,1,0.89941984
200712090jax,1,0.9274138
201512200was,1,0.72933
200710280oti,0,0.8161332
201409070chi,0,0.08179505
200812280rav,1,0.43921742
201111240rav,1,0.6529624
201201220nwe,0,0.30092818
201209160jax,0,0.3910361
201510040sdg,0,0.42560828
201511090sdg,0,0.105022624
201211250clt,1,0.12691288
201501040clt,1,0.5949783
201611240det,1,0.09256604
201511220phi,0,0.14243715
201710080det,0,0.6871215
201712310pit,0,0.61123693
201110020sdg,1,0.3249576
201611130pit,0,0.49642763
201701010den,1,0.9547917
200710140chi,0,0.6752218
200912060kan,0,0.15470974
201010240chi,0,0.12396457
201311170nyg,1,0.2487533
201612110phi,0,0.7002828
200912200car,1,0.7937112
201212090gnb,1,0.9051209
200711180rav,0,0.32464206
201011210phi,1,0.63600725
201312150cle,0,0.3448045
200912200nyj,0,0.6134193
201211180den,0,0.11676075
201309080nor,1,0.8115561
200712220car,1,0.49528146
201409210jax,0,0.6191773
201712100cin,0,0.7154699
200812280atl,0,0.3297208
201210210buf,0,0.6457359
201309290htx,0,0.45892555
200912130kan,0,0.3656979
201309080cle,0,0.19859739
201111060kan,0,0.21883401
201312220buf,1,0.5014331
201412140sea,1,0.53095573
201712310rav,0,0.4905868
201211180rai,0,0.17587927
201610170crd,1,0.6555885
201709240car,0,0.2522667
200710210phi,0,0.110859126
201211220dal,0,0.65919125
201310130kan,1,0.13169344
201612110mia,1,0.20907216
201710150kan,0,0.44883856
201611200sea,1,0.3225569
201712310det,1,0.52846485
201109110jax,1,0.03946685
201112110rav,0,0.25898352
201309080ram,0,0.10045259
201801140min,0,0.13704604
201211250sdg,0,0.56918454
200812070nyg,0,0.9240518
201609250mia,0,0.4470613
201709240phi,0,0.31541643
200811230det,0,0.8444415
200901040mia,0,0.57798153
201201140nwe,1,0.69728756
201011070min,0,0.52486646
200809150dal,0,0.86694014
201101020nwe,1,0.49734467
201310270kan,0,0.40092942
201611280phi,0,0.45260835
201612040gnb,1,0.45196164
201212020rav,0,0.4054819
201710010cle,0,0.5267895
201212300den,1,0.15946636
201411160sdg,0,0.83518654
201509200phi,0,0.7997766
201012090oti,1,0.36630023
201110090car,1,0.24115834
200912130min,1,0.20403098
201601030car,1,0.59152406
201710010nyj,1,0.25966847
200809280car,1,0.65735495
200912130nwe,0,0.21788293
201010030nor,0,0.21119905
201110020htx,1,0.16385482
201712240nor,1,0.09554197
201709240oti,1,0.4766805
201010310sdg,1,0.18921117
201101020phi,1,0.1517953
201210070car,0,0.21399778
201011070phi,0,0.56399935
201311030was,1,0.677928
201401110sea,0,0.59658796
201411090crd,1,0.29990843
201610090gnb,1,0.39166325
201709240gnb,0,0.72324324
201409070den,0,0.68459934
201510040cin,1,0.8130421
201610230det,1,0.6371538
201012120buf,1,0.71950895
201312010was,0,0.5785405
200712090det,1,0.78679645
201212090car,1,0.21339467
200901030crd,1,0.62740964
201412210nyj,1,0.45147082
201409140nyg,0,0.7683413
201009120chi,0,0.22333968
201309290buf,1,0.82622516
201511150den,0,0.5517429
201212230car,1,0.5059214
200710210nyg,1,0.9047173
201411300ram,1,0.6157185
201610160nor,1,0.7521261
200811090chi,0,0.1993272
201111270clt,0,0.5994953
200812070sfo,1,0.305969
201212160dal,1,0.42979765
200809210rav,1,0.3840863
201311240gnb,0,0.35140514
201711190mia,0,0.636808
201709180nyg,0,0.45541382
201711120sfo,1,0.16381173
201412210nor,0,0.6263567
200812070nor,1,0.43553773
201612120nwe,1,0.24588169
201312290mia,0,0.12470315
201709100was,0,0.13732482
201101160nwe,0,0.29217747
201110020phi,0,0.440791
200810120den,0,0.1400201
201112240det,1,0.62867445
201210280dal,0,0.66244346
201412070phi,0,0.09873543
200812210nyg,1,0.71983516
201610230sfo,0,0.43360397
200910250cin,1,0.6751829
201411230atl,0,0.61044496
201511050cin,1,0.8906632
201610090den,0,0.75846905
200810260jax,0,0.31183487
200811230cle,0,0.40822825
201111060buf,0,0.13044214
201112240car,1,0.120027274
201511010rai,1,0.04653442
201711050car,1,0.45392993
201711260rai,1,0.17857075
201510180clt,1,0.37214103
201711230was,1,0.9455868
201012050sdg,0,0.39467037
201309150rav,1,0.30801854
201409070htx,1,0.23346405
201711200sea,0,0.79975575
201109180buf,0,0.26254123
200711110car,0,0.87234545
200812150phi,1,0.6831051
201201010nwe,1,0.30638206
201310200phi,0,0.23609674
201712240kan,1,0.46930662
200811160car,0,0.4695668
201612040nor,0,0.5098365
201701010clt,0,0.23866329
201612240gnb,1,0.21106197
201612240jax,1,0.21296509
200811090pit,0,0.56173706
201109250nor,1,0.645227
201312080was,0,0.51586473
201409080det,1,0.87128454
201509130buf,1,0.32380128
200712020nor,0,0.146503
201109110rav,1,0.32191148
201310280ram,1,0.539151
201712240oti,1,0.35368413
200909270htx,0,0.278378
201512130jax,1,0.41035056
200911220det,0,0.5460859
201210140was,1,0.16837059
201712100cle,0,0.40912953
201212020sdg,0,0.25609976
201410060was,0,0.56008816
201509130jax,0,0.10960589
200712100atl,0,0.34855777
200809080gnb,1,0.38219255
200810120sdg,1,0.67093116
201310200nyj,1,0.8422713
201511220sdg,0,0.11993932
200911290oti,0,0.5633504
201111140gnb,1,0.60460395
201610090min,1,0.28360993
201111060nor,1,0.7592443
201311100nor,1,0.14825216
201409040sea,1,0.62362856
201701010pit,0,0.42877328
201709170sea,0,0.4526584
200710280sdg,1,0.088872604
200911290cin,0,0.7157909
200709090ram,0,0.8450803
200809140sea,0,0.41226605
201009120was,1,0.8099409
201401040phi,0,0.50513935
200809070atl,1,0.16088037
201110090min,1,0.21042433
200910180atl,1,0.7067017
201001170min,1,0.53326344
201409280nyj,0,0.35208797
201609250clt,1,0.4283187
200711110rai,0,0.09092328
201701070sea,1,0.85836077
201712310tam,1,0.47527364
200909270crd,0,0.7771324
201109180nwe,1,0.6007698
200912060pit,0,0.3799478
201209300tam,0,0.65452844
200712160dal,0,0.4007241
201709100cle,1,0.3786006
201112080pit,0,0.701339
201509200cin,1,0.52972275
201709210sfo,1,0.38927522
201109190nyg,1,0.87397957
201210070sfo,1,0.61854094
201710020kan,1,0.278553
201309080det,1,0.945572
201710150was,0,0.40217268
200911290phi,0,0.45115483
201309220nyj,1,0.8253945
201312150jax,0,0.11264258
201511010chi,0,0.44692576
200710210det,1,0.5886615
200810120sfo,0,0.7195461
201109110crd,1,0.42852357
201212020oti,0,0.8665781
