,game_id,did_cover_sbr,did_win,week_id,season,final_margin,sbr_spread,0_score,1_score,2_score,3_score,4_score,label,score
1371,200711180min,1,1,11,2007,7,4.5,0.67383325,0.6312754,1.0171822,1.0852355,1.0145161,1,0.88440849
1372,200710140sdg,1,1,6,2007,14,9.5,0.6165236999999999,0.7487575,0.32512212,,0.6273434,1,0.5794366799999999
1373,200709160den,-1,1,2,2007,3,9.5,-0.03186196,,0.41782579999999997,0.875592,,1,0.42051861333333335
1374,200709300mia,-1,-1,4,2007,-18,3.5,,0.789504,,,,0,0.789504
1375,200710280oti,-1,1,8,2007,4,6.5,0.80768216,,0.7121459,,,1,0.75991403
1376,200711250kan,-1,-1,12,2007,-3,4.0,,0.8497044,0.4338384,,,0,0.6417714
1377,200712300gnb,1,1,17,2007,21,3.0,0.4969309,,,,0.55035883,1,0.523644865
1378,200712020min,1,1,13,2007,32,5.5,0.9180984000000001,0.75564456,,0.45470768,,1,0.7094835466666667
1379,200709090rai,-1,-1,1,2007,-15,2.5,0.6761213,,0.5666753999999999,,,0,0.62139835
1380,200712160sdg,1,1,15,2007,37,9.5,0.9528924000000001,0.84597796,,1.0435573,,1,0.9474758866666667
1381,200710070was,1,1,5,2007,31,3.5,,0.47488835,0.7042022,,,1,0.589545275
1382,200710280chi,-1,-1,8,2007,-9,6.0,,0.65023595,,0.4048703,,0,0.5275531250000001
1383,200711110crd,1,1,10,2007,10,2.5,0.28714103,0.48379552,,,0.5562229000000001,1,0.44238648333333336
1384,200709230phi,1,1,3,2007,35,4.5,,0.6194181,0.5917541000000001,,0.6820036,1,0.6310586
1385,200809080gnb,1,1,1,2008,5,2.5,0.52703625,0.8704168999999999,0.3491911,,0.64147586,1,0.5970300275
1386,200811230jax,-1,-1,12,2008,-18,2.5,,,,0.65387774,,0,0.65387774
1387,200810190chi,1,1,7,2008,7,3.0,0.454325,0.73087853,0.54029727,0.6884351,,1,0.603483975
