Model Score Threshold,F1
0.0,
0.01,0.7196261682242991
0.02,0.7227941176470589
0.03,0.7238023952095809
0.04,0.7224334600760455
0.05,0.7204921184159939
0.06,0.7226955848179704
0.07,0.7193119624706802
0.08,0.7228346456692912
0.09,0.7206349206349206
0.1,0.7224669603524229
0.11,0.7219983883964545
0.12,0.7199675324675324
0.13,0.718430731507969
0.14,0.7183271832718326
0.15,0.7147568013190436
0.16,0.7132231404958678
0.17,0.7133969307341352
0.18,0.7116104868913858
0.19,0.7092731829573935
0.2,0.7067226890756304
0.21,0.7083157450401013
0.22,0.7092138630600169
0.23,0.7096774193548386
0.24,0.7062339880444064
0.25,0.7044187044187044
0.26,0.7030981067125646
0.27,0.7001298139333622
0.28,0.7000000000000001
0.29,0.6982041173893998
0.3,0.6974900924702775
0.31,0.695536897923111
0.32,0.6944567627494457
0.33,0.6957683741648107
0.34,0.6955357142857144
0.35,0.6961968680089486
0.36,0.6956912028725314
0.37,0.6951823502926611
0.38,0.6925858951175407
0.39,0.6893424036281179
0.4,0.6884947703501593
0.41,0.6876712328767123
0.42,0.6853211009174313
0.43,0.6844771994472594
0.44,0.6836027713625865
0.45,0.6836498378879111
0.46,0.6837209302325581
0.47,0.6819029850746268
0.48,0.6794392523364486
0.49,0.6766776161426561
0.5,0.6760695815702868
0.51,0.6751412429378532
0.52,0.675484175720359
0.53,0.6723565670934092
0.54,0.6726926736441483
0.55,0.6688963210702341
0.56,0.6689124157844081
0.57,0.6692381870781099
0.58,0.6686018384131591
0.59,0.6647230320699709
0.6,0.664714494875549
0.61,0.6634050880626222
0.62,0.6646971935007385
0.63,0.6646913580246914
0.64,0.6633663366336633
0.65,0.6617063492063492
0.66,0.6606965174129352
0.67,0.6603301650825412
0.68,0.6612984398590841
0.69,0.6602725896012116
0.7,0.6582278481012658
0.71,0.6571719226856563
0.72,0.6547497446373851
0.73,0.654042988741044
0.74,0.6508753861997941
0.75,0.6470284237726097
0.76,0.6458982346832814
0.77,0.644723092998955
0.78,0.6439433665443104
0.79,0.6427818756585879
0.8,0.6419098143236075
0.81,0.6386375731772219
0.82,0.6359249329758713
0.83,0.6296495956873316
0.84,0.6255411255411256
0.85,0.6190735694822888
0.86,0.6128500823723229
0.87,0.6048834628190899
0.88,0.5997757847533632
0.89,0.5960339943342776
0.9,0.5850574712643678
0.91,0.5740848343986055
0.92,0.5672169811320755
0.93,0.5565529622980252
0.94,0.5419198055893074
0.95,0.5221183800623053
0.96,0.5063775510204082
0.97,0.47694334650856396
0.98,0.4420041180507893
0.99,0.36818851251840945
1.0,
