Bin,Did Not Cover,Covered
0,37.0,17.0
1,67.0,24.0
2,40.0,16.0
3,29.0,17.0
4,17.0,17.0
5,16.0,7.0
6,11.0,8.0
7,18.0,8.0
8,9.0,7.0
9,12.0,7.0
10,12.0,5.0
11,15.0,11.0
12,8.0,4.0
13,5.0,9.0
14,7.0,5.0
15,1.0,6.0
16,2.0,2.0
17,6.0,4.0
18,4.0,6.0
19,5.0,11.0
20,6.0,3.0
21,8.0,0.0
22,2.0,2.0
23,6.0,3.0
24,8.0,10.0
25,3.0,5.0
26,4.0,5.0
27,6.0,6.0
28,7.0,8.0
29,8.0,6.0
30,5.0,3.0
31,4.0,5.0
32,6.0,3.0
33,5.0,3.0
34,4.0,1.0
35,4.0,3.0
36,4.0,1.0
37,4.0,5.0
38,2.0,8.0
39,2.0,3.0
40,4.0,3.0
41,6.0,7.0
42,5.0,6.0
43,0.0,2.0
44,5.0,1.0
45,5.0,3.0
46,4.0,5.0
47,1.0,4.0
48,3.0,4.0
49,0.0,3.0
50,3.0,3.0
51,2.0,2.0
52,4.0,4.0
53,2.0,4.0
54,5.0,4.0
55,5.0,6.0
56,7.0,3.0
57,4.0,2.0
58,3.0,7.0
59,4.0,3.0
60,5.0,4.0
61,6.0,3.0
62,7.0,3.0
63,3.0,1.0
64,1.0,2.0
65,2.0,6.0
66,6.0,2.0
67,7.0,4.0
68,5.0,2.0
69,3.0,6.0
70,2.0,2.0
71,5.0,5.0
72,4.0,3.0
73,2.0,5.0
74,4.0,6.0
75,2.0,6.0
76,5.0,4.0
77,8.0,3.0
78,4.0,5.0
79,6.0,3.0
80,4.0,4.0
81,5.0,10.0
82,3.0,5.0
83,2.0,9.0
84,2.0,8.0
85,1.0,9.0
86,9.0,12.0
87,5.0,11.0
88,8.0,8.0
89,10.0,13.0
90,7.0,16.0
91,7.0,16.0
92,10.0,15.0
93,9.0,15.0
94,9.0,19.0
95,12.0,31.0
96,18.0,19.0
97,18.0,45.0
98,19.0,50.0
99,35.0,113.0
100,58.0,180.0
