,game_id,did_cover_sbr,did_win,week_id,season,final_margin,sbr_spread,0_regression_score,1_regression_score,2_regression_score,3_regression_score,4_regression_score,regression_label,label,regression_score
532,201010170ram,1,1,6,2010,3,8.5,-4.600902,-8.204699,,-16.276367,,3.0,1,-8.204699
533,201009260sea,1,1,3,2010,7,4.0,,-6.7968845,,-3.8493923999999997,-7.5478190000000005,7.0,1,-6.7968845
534,201012260cin,1,1,16,2010,14,9.0,-5.8094745,,,-0.25892866,-4.089398,14.0,1,-4.089398
535,201101020den,1,-1,17,2010,-5,5.5,-5.581435,,,,,-5.0,0,-5.581435
536,201009130kan,1,1,1,2010,7,4.0,-7.376933999999999,,-10.423244,-3.1587121,-6.0782638,7.0,1,-6.7275989
537,201011280clt,-1,-1,12,2010,-22,1.5,5.3249726,-4.648319,,4.4781065,4.3221940000000005,-22.0,0,4.40015025
538,201010100rai,1,1,5,2010,8,7.0,,,,,-10.737229,8.0,1,-10.737229
539,201011280htx,1,1,12,2010,20,4.5,,1.1602008,,,,20.0,1,1.1602008
540,201010310sdg,1,1,8,2010,8,5.5,0.49713972,,5.03032,0.64039713,2.2005415,8.0,1,1.420469315
541,201012260kan,1,1,16,2010,20,4.0,,,-4.19339,,-1.7530851000000003,20.0,1,-2.9732375500000003
542,201101020clt,-1,1,17,2010,3,9.0,12.320866,12.665083000000001,,8.915396000000001,,3.0,1,12.320866
543,201010100dal,-1,-1,5,2010,-7,7.0,,11.257876,,,,-7.0,0,11.257876
544,201010180jax,-1,-1,6,2010,-27,3.0,0.7865324,,1.0535471,,,-27.0,0,0.92003975
545,201009260nyg,-1,-1,3,2010,-19,3.0,,,-2.3333519,4.7846910000000005,,-19.0,0,1.2256695500000003
546,201011140mia,1,1,10,2010,12,1.5,,-5.0788703,,,,12.0,1,-5.0788703
547,201109110htx,1,1,1,2011,27,8.5,,7.2665076,,9.43113,,27.0,1,8.3488188
548,201110160cin,1,1,6,2011,10,4.5,,18.288586,,,,10.0,1,18.288586
549,201112040nwe,-1,1,13,2011,7,20.5,,13.802841,6.2347884,,,7.0,1,10.0188147
550,201110300oti,1,1,8,2011,17,7.5,12.053685,4.311182,,7.7607875,,17.0,1,7.7607875
551,201112110rav,-1,1,14,2011,14,16.0,,10.544342,,,,14.0,1,10.544342
552,201110030tam,-1,1,4,2011,7,10.0,,3.9535593999999996,,,11.011068,7.0,1,7.4823137
553,201201010jax,1,1,17,2011,6,3.0,9.425839,13.495707000000001,,,,6.0,1,11.460773
554,201110230nor,1,1,7,2011,55,14.0,10.695585000000001,13.377089999999999,6.187327400000001,17.483320000000003,8.926062,55.0,1,10.695585000000001
555,201111060htx,1,1,9,2011,18,11.0,,2.7722461,,14.220604999999999,,18.0,1,8.49642555
556,201111270cin,-1,1,12,2011,3,6.5,,,-2.4607875,,,3.0,1,-2.4607875
557,201112180crd,-1,1,15,2011,3,6.0,4.5268025000000005,11.459522,1.0069766,,,3.0,1,4.5268025000000005
558,201112080pit,-1,1,14,2011,11,14.0,,,16.437092,16.24138,,11.0,1,16.339236
559,201112240rav,-1,1,16,2011,6,11.0,17.879085999999997,12.459994,,13.057328,,6.0,1,13.057328
560,201109180clt,-1,-1,2,2011,-8,1.5,-1.8193495,-0.27291816,,2.3987012,-0.24337846,-8.0,0,-0.25814831
561,201110300sfo,1,1,8,2011,10,9.5,9.506134,13.246185999999998,17.618732,,7.921733000000001,10.0,1,11.376159999999999
562,201110160rai,1,1,6,2011,7,6.5,,,-0.91171813,1.982073,19.169373,7.0,1,1.982073
