Model Score Threshold,F1
0.0,
0.01,
0.02,0.6663539345608068
0.03,0.6640037593984962
0.04,0.6595945308816596
0.05,0.6466738069736999
0.06,0.6288883530262841
0.07,0.6086637298091042
0.08,0.5861725938821188
0.09,0.5504844467108617
0.1,0.5212641435817401
0.11,0.49150743099787686
0.12,0.46197564276048714
0.13,0.4337880666942262
0.14,0.40617110799438993
0.15,0.37986596321117927
0.16,0.35748373101952274
0.17,0.3366046579756848
0.18,0.3143196672608437
0.19,0.29469252743948277
0.2,0.28055808310585384
0.21,0.2670133047866646
0.22,0.2528558196974375
0.23,0.2398506766215586
0.24,0.22914384097667867
0.25,0.2209284028324154
0.26,0.20850523643287844
0.27,0.2029308697037273
0.28,0.19721911459165734
0.29,0.1920051372611976
0.3,0.18609901628769554
0.31,0.18211224324761444
0.32,0.17542717656631407
0.33,0.17208163265306123
0.34,0.1663658736669401
0.35,0.16205533596837945
0.36,0.15799041480746984
0.37,0.15456053067993367
0.38,0.14974153743538435
0.39,0.14563106796116507
0.4,0.1427611689620423
0.41,0.13812901046943601
0.42,0.13396642360522298
0.43,0.13070115724982978
0.44,0.12681592890104257
0.45,0.12289735667696532
0.46,0.11894500948112395
0.47,0.11681354760670468
0.48,0.1140578956491593
0.49,0.10851360781577113
0.5,0.10413744740532958
0.51,0.10230268940059765
0.52,0.09787985865724382
0.53,0.09276701617202772
0.54,0.08858724772280764
0.55,0.08531994981179422
0.56,0.08108108108108109
0.57,0.07642158638174575
0.58,0.07137654770575383
0.59,0.06731296872141943
0.6,0.06388837892417847
0.61,0.06113054686061499
0.62,0.05873660879202069
0.63,0.053923391595388614
0.64,0.051521373903304094
0.65,0.04872563718140929
0.66,0.04626669174346435
0.67,0.04415927533496886
0.68,0.03947618143860315
0.69,0.037354678864112825
0.7,0.03409308561578241
0.71,0.03269859588382382
0.72,0.03167857832721653
0.73,0.028031925248199335
0.74,0.02511281145772023
0.75,0.022173826964957438
0.76,0.02072538860103627
0.77,0.0180940892641737
0.78,0.01701093560145808
0.79,0.014772260976610586
0.8,0.01287108158604941
0.81,0.011796924373288394
0.82,0.0103026400515132
0.83,0.007867132867132868
0.84,0.007606263982102908
0.85,0.005498281786941581
0.86,0.005185010605703512
0.87,0.0034088142196250304
0.88,0.002523340903356043
0.89,0.0015633142261594578
0.9,0.0016308779559662953
0.91,0.0005681818181818183
0.92,0.0
0.93,0.0
0.94,0.0
0.95,0.0
0.96,0.0
0.97,0.0
0.98,0.0
0.99,
1.0,
