Feature,full,1,0,3,2,4,Importance,StdDev
line___h_ml,0.2697288302339235,0.33833001866510715,0.34914495879312296,0.3442026871148097,0.3425161659489886,0.3533769029118498,0.34551414668677566,0.005859292665316065
time_date___day_of_week,0.2429096548978789,0.31109353919595056,0.3010299036973316,0.3028796184001466,0.3113639218615658,0.30235338501070624,0.30574407363314016,0.005052839479392784
time_date___week_id,0.2360237610855529,0.2955426674814757,0.30400718079599204,0.29811399788108073,0.3070047348253223,0.3062044005626309,0.30217459630930027,0.005084261644466537
time_date___game_time_local,0.23575718412652816,0.30437676504907424,0.3083254885937844,0.30285919853124144,0.3132806604193529,0.31603378484920985,0.3089751794885326,0.005642114239563142
line___close_ou,0.2342343989876237,0.3009153688474589,0.3047850063695161,0.2991560665921903,0.30485321358074235,0.3031364711482402,0.3025692253076296,0.0024916334801315175
line___h_close_line,0.22054368097940494,0.2873944046360332,0.29572645092426003,0.2892805491420095,0.2961706171562382,0.2969985157109015,0.29311410751388844,0.00443470368598793
