,accuracy
1,0.7277777777777777
2,0.7298050139275766
3,0.7226415094339622
4,0.7122302158273381
5,0.7040094339622641
6,0.6833166833166833
7,0.6750433275563258
8,0.6618209640397857
9,0.636986301369863
10,0.6267823930564166
11,0.6131593874078276
12,0.5972732039853172
13,0.5861220472440944
14,0.5740393626991566
15,0.569412835685025
