,accuracy
1,0.7777777777777778
3,0.7407407407407407
5,0.8222222222222222
7,0.8253968253968254
9,0.8024691358024691
11,0.7777777777777778
13,0.7692307692307693
15,0.7703703703703704
17,0.7647058823529411
19,0.7426900584795322
21,0.7301587301587301
23,0.7391304347826086
25,0.7555555555555555
27,0.7613168724279835
29,0.7701149425287356
31,0.7706093189964157
33,0.7643097643097643
35,0.7619047619047619
37,0.7597597597597597
39,0.7549857549857549
41,0.7506775067750677
43,0.7571059431524548
45,0.7555555555555555
47,0.7446808510638298
49,0.746031746031746
51,0.7450980392156863
53,0.7379454926624738
55,0.7414141414141414
57,0.7387914230019493
59,0.7419962335216572
61,0.7395264116575592
63,0.7336860670194003
65,0.7316239316239316
67,0.7346600331674958
69,0.7359098228663447
71,0.7323943661971831
73,0.730593607305936
75,0.7318518518518519
77,0.7316017316017316
79,0.7257383966244726
81,0.7215363511659808
83,0.7242302543507363
85,0.722875816993464
87,0.719029374201788
89,0.7191011235955056
91,0.7167277167277167
93,0.7132616487455197
95,0.7111111111111111
97,0.7101947308132875
99,0.7115600448933782
101,0.7117711771177118
103,0.7130528586839266
105,0.707936507936508
107,0.7071651090342679
109,0.7023445463812437
111,0.6986986986986987
113,0.7000983284169124
115,0.6995169082125604
117,0.6999050332383666
119,0.6984126984126984
121,0.6923783287419651
123,0.6874435411020777
125,0.6844444444444444
127,0.678915135608049
129,0.6752799310938846
131,0.6726039016115352
133,0.670843776106934
135,0.6732510288065844
137,0.6707218167072182
139,0.6690647482014388
141,0.6666666666666666
143,0.6651126651126651
145,0.664367816091954
147,0.6628873771730914
149,0.662938105891126
151,0.6607799852832965
153,0.6601307189542484
155,0.6587813620071684
157,0.6574663835810333
159,0.6561844863731656
161,0.6535541752933057
163,0.6503067484662577
165,0.6484848484848484
167,0.6453759148369926
169,0.6443129520052597
171,0.6419753086419753
173,0.6422607578676943
175,0.6419047619047619
177,0.6409290646578782
179,0.6374922408441962
181,0.6353591160220995
183,0.6326654523375835
185,0.6306306306306306
187,0.6286393345216874
189,0.6278659611992945
191,0.6259453170447935
193,0.6234887737478411
195,0.6216524216524216
197,0.6192893401015228
199,0.6192071468453378
201,0.6174682144831398
203,0.6130268199233716
205,0.6092140921409214
207,0.6108427267847558
209,0.6087187666135034
211,0.6066350710900474
213,0.6061554512258738
215,0.6025839793281653
217,0.5995903737839222
219,0.5966514459665144
221,0.5942684766214178
223,0.5924265072247135
225,0.5901234567901235
227,0.5873715124816447
229,0.5861232411450752
231,0.582010582010582
233,0.5789222699093943
235,0.5763593380614658
237,0.5743084857008908
239,0.5732217573221757
241,0.5716920239741816
243,0.5701874714220393
245,0.5667574931880109
247,0.565943992773261
249,0.5650022492127755
251,0.5646900269541779
253,0.5650807899461401
