Model Score Threshold,Accuracy
0.0,0.572968118545128
0.01,0.572968118545128
0.02,0.572968118545128
0.03,0.5734171531207903
0.04,0.572968118545128
0.05,0.5738661876964526
0.06,0.574315222272115
0.07,0.5738661876964526
0.08,0.5738661876964526
0.09,0.5752132914234396
0.1,0.5756623259991019
0.11,0.5774584643017512
0.12,0.5797036371800629
0.13,0.5806017063313875
0.14,0.5814997754827121
0.15,0.5846430175123485
0.16,0.5846430175123485
0.17,0.5891333632689717
0.18,0.5904804669959587
0.19,0.5895823978446341
0.2,0.5918275707229457
0.21,0.5931746744499327
0.22,0.5972159856308936
0.23,0.5972159856308936
0.24,0.5981140547822182
0.25,0.6030534351145038
0.26,0.6057476425684778
0.27,0.6097889537494388
0.28,0.6106870229007634
0.29,0.614279299506062
0.3,0.6133812303547374
0.31,0.615626403233049
0.32,0.6124831612034126
0.33,0.6151773686573866
0.34,0.6174225415356982
0.35000000000000003,0.616973506960036
0.36,0.6178715761113606
0.37,0.615626403233049
0.38,0.6178715761113606
0.39,0.6187696452626852
0.4,0.6174225415356982
0.41000000000000003,0.6178715761113606
0.42,0.6192186798383476
0.43,0.6210148181409969
0.44,0.6205657835653345
0.45,0.6223619218679838
0.46,0.6214638527166592
0.47000000000000003,0.6237090255949708
0.48,0.6232599910193085
0.49,0.6219128872923215
0.5,0.6210148181409969
0.51,0.6214638527166592
0.52,0.6259541984732825
0.53,0.6259541984732825
0.54,0.6237090255949708
0.55,0.6151773686573866
0.56,0.6097889537494388
0.5700000000000001,0.6084418500224518
0.58,0.60619667714414
0.59,0.6044005388414908
0.6,0.5990121239335429
0.61,0.5945217781769196
0.62,0.5918275707229457
0.63,0.5918275707229457
0.64,0.5864391558149977
0.65,0.5850920520880107
0.66,0.5783565334530759
0.67,0.5747642568477773
0.68,0.5747642568477773
0.6900000000000001,0.568926807364167
0.7000000000000001,0.5635383924562192
0.71,0.5550067355186349
0.72,0.552312528064661
0.73,0.5473731477323754
0.74,0.5460260440053885
0.75,0.5419847328244275
0.76,0.5312079030085317
0.77,0.5253704535249214
0.78,0.5199820386169735
0.79,0.5213291423439604
0.8,0.5199820386169735
0.81,0.512348450830714
0.8200000000000001,0.5069600359227661
0.8300000000000001,0.5011225864391559
0.84,0.49303996407723394
0.85,0.48944768747193534
0.86,0.48450830713964976
0.87,0.4782218230803772
0.88,0.4728334081724293
0.89,0.46924113156713065
0.9,0.46654692411315674
0.91,0.46205657835653346
0.92,0.4589133363268972
0.93,0.4539739559946116
0.9400000000000001,0.4508307139649753
0.9500000000000001,0.44544229905702737
0.96,0.44589133363268973
0.97,0.44409519533004044
0.98,0.44364616075437807
0.99,0.4418500224517288
1.0,0.4400538841490795
