Model Score Threshold,F1
0.0,0.7272727272727273
0.01,0.7271162123385939
0.02,0.7269595176571922
0.03,0.7271682940838599
0.04,0.7268026429187014
0.05,0.727063560540696
0.06,0.7272727272727272
0.07,0.7265917602996255
0.08,0.7265917602996255
0.09,0.7270628967109058
0.1,0.7264833574529667
0.11,0.7270089933275312
0.12,0.7280650784427659
0.13,0.728172293364377
0.14,0.7282798833819242
0.15,0.7297692082968156
0.16,0.7289774392030474
0.17,0.7309614819170832
0.18,0.7311320754716982
0.19,0.7299054373522458
0.2,0.7305069670916099
0.21,0.730196545562835
0.22,0.7316781334131021
0.23,0.730711498048634
0.24,0.7303404639951793
0.25,0.732283464566929
0.26,0.7326431181485993
0.27,0.733843797856049
0.28,0.732489972230793
0.29,0.7331469400434918
0.3,0.7310215557638238
0.31,0.7309868007542427
0.32,0.7259447443632899
0.33,0.7261105784595717
0.34,0.725868725868726
0.35000000000000003,0.7233214401556924
0.36,0.7212577792335407
0.37,0.7174917491749175
0.38,0.7158597662771286
0.39,0.7138523761375126
0.4,0.7105978260869565
0.41000000000000003,0.7076605977327378
0.42,0.7055555555555556
0.43,0.7044817927170868
0.44,0.7015188979159307
0.45,0.6991055456171735
0.46,0.6944545125045307
0.47000000000000003,0.693040293040293
0.48,0.6877558615556382
0.49,0.6834586466165414
0.5,0.6788432267884321
0.51,0.6751445086705203
0.52,0.6747364310816087
0.53,0.6706207987346778
0.54,0.6642628205128205
0.55,0.6520503451075923
0.56,0.641057414291615
0.5700000000000001,0.6339210747271201
0.58,0.6272843178920527
0.59,0.619438444924406
0.6,0.6078173034694773
0.61,0.5963343763969602
0.62,0.5866302864938608
0.63,0.5805260729118598
0.64,0.5694249649368864
0.65,0.5633270321361059
0.66,0.5487746275828929
0.67,0.5391727493917274
0.68,0.5328071040947212
0.6900000000000001,0.5175879396984925
0.7000000000000001,0.5040816326530613
0.71,0.4835852006253257
0.72,0.4749868351764087
0.73,0.4615384615384616
0.74,0.45084193373166764
0.75,0.4358407079646018
0.76,0.41414141414141414
0.77,0.3970336565887051
0.78,0.37957051654091695
0.79,0.36923076923076925
0.8,0.35949670461354105
0.81,0.336996336996337
0.8200000000000001,0.32054455445544555
0.8300000000000001,0.2999369880277253
0.84,0.2748876043673732
0.85,0.25344714379514116
0.86,0.23466666666666672
0.87,0.21380243572395127
0.88,0.19589041095890408
0.89,0.18144044321329642
0.9,0.16338028169014082
0.91,0.14793741109530587
0.92,0.1349605168700646
0.93,0.11627906976744186
0.9400000000000001,0.10271460014673514
0.9500000000000001,0.08314773570898291
0.96,0.07496251874062969
0.97,0.0649546827794562
0.98,0.059225512528473814
0.99,0.05331302361005331
1.0,0.045906656465187455
