game_id,dataset,did_cover_sbr,did_win,final_margin,fold,home_field___h_consecutive_home,home_field___h_home__close_wr_last_4_games,home_field___h_home__close_wr_last_8_games,home_field___h_home__close_wr_ytd,home_field___h_home__open_wr_last_4_games,home_field___h_home__open_wr_last_8_games,home_field___h_home__open_wr_ytd,home_field___h_home__ovr_wr_last_4_games,home_field___h_home__ovr_wr_last_8_games,home_field___h_home__ovr_wr_ytd,home_field___h_home__pfr_wr_last_4_games,home_field___h_home__pfr_wr_last_8_games,home_field___h_home__pfr_wr_ytd,home_field___h_is_home,home_field___v_consecutive_visitor,home_field___v_is_home,home_field___v_visitor__close_wr_last_4_games,home_field___v_visitor__close_wr_last_8_games,home_field___v_visitor__close_wr_ytd,home_field___v_visitor__open_wr_last_4_games,home_field___v_visitor__open_wr_last_8_games,home_field___v_visitor__open_wr_ytd,home_field___v_visitor__ovr_wr_last_4_games,home_field___v_visitor__ovr_wr_last_8_games,home_field___v_visitor__ovr_wr_ytd,home_field___v_visitor__pfr_wr_last_4_games,home_field___v_visitor__pfr_wr_last_8_games,home_field___v_visitor__pfr_wr_ytd,label,line___close_ou,line___h_close_line,line___h_ml,line___h_open_line,line___h_pfr_line,line___open_ou,line___pfr_ou,line___v_ml,matchup___h_wr_past_2_seasons,matchup___h_wr_past_3_seasons,matchup___h_wr_past_5_games,matchup___h_wr_ytd,matchup___is_same_conf,matchup___is_same_division,rankings___h__dave_or_wtddvoa,rankings___h__def_rank,rankings___h__defensedvoa,rankings___h__estim_winrate,rankings___h__off_rank,rankings___h__offensedvoa,rankings___h__s_t_dvoa,rankings___h__s_t_rank,rankings___h__totaldvoa,rankings___v__dave_or_wtddvoa,rankings___v__def_rank,rankings___v__defensedvoa,rankings___v__estim_winrate,rankings___v__off_rank,rankings___v__offensedvoa,rankings___v__s_t_dvoa,rankings___v__s_t_rank,rankings___v__totaldvoa,sbr_spread,season,team_history___h_close_wr_past_2_seasons,team_history___h_close_wr_past_3_seasons,team_history___h_close_wr_past_5_games,team_history___h_close_wr_ytd,team_history___h_open_wr_past_2_seasons,team_history___h_open_wr_past_3_seasons,team_history___h_open_wr_past_5_games,team_history___h_open_wr_ytd,team_history___h_ovr_wr_past_2_seasons,team_history___h_ovr_wr_past_3_seasons,team_history___h_ovr_wr_past_5_games,team_history___h_ovr_wr_ytd,team_history___h_pfr_wr_past_2_seasons,team_history___h_pfr_wr_past_3_seasons,team_history___h_pfr_wr_past_5_games,team_history___h_pfr_wr_ytd,team_history___v_close_wr_past_2_seasons,team_history___v_close_wr_past_3_seasons,team_history___v_close_wr_past_5_games,team_history___v_close_wr_ytd,team_history___v_open_wr_past_2_seasons,team_history___v_open_wr_past_3_seasons,team_history___v_open_wr_past_5_games,team_history___v_open_wr_ytd,team_history___v_ovr_wr_past_2_seasons,team_history___v_ovr_wr_past_3_seasons,team_history___v_ovr_wr_past_5_games,team_history___v_ovr_wr_ytd,team_history___v_pfr_wr_past_2_seasons,team_history___v_pfr_wr_past_3_seasons,team_history___v_pfr_wr_past_5_games,team_history___v_pfr_wr_ytd,time_date___day_of_week,time_date___game_time_eastern,time_date___game_time_local,time_date___is_playoffs,time_date___is_sunday,time_date___is_superbowl,time_date___week_id,travel___h_body_clock_from_last_wk,travel___h_days_since_last_game,travel___h_same_stadium_last_game,travel___h_travel_from_last_10_days,travel___h_travel_from_last_game,travel___h_travel_from_last_game_decay,travel___h_tz_change_last_10_days,travel___h_tz_change_last_game,travel___v_body_clock_from_last_wk,travel___v_days_since_last_game,travel___v_dist_from_home,travel___v_home_body_time,travel___v_same_stadium_last_game,travel___v_travel_from_last_10_days,travel___v_travel_from_last_game,travel___v_travel_from_last_game_decay,travel___v_tz_change_last_10_days,travel___v_tz_change_last_game,weather___humidity_pct,weather___is_dome,weather___is_grass,weather___temperature,weather___wind_chill,weather___wind_mph,week_id,score
201109180was,training,-1,1,1,0.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,1,45.0,-4.5,-220,-4.0,-4.5,42.5,45.0,180,0.5,0.5,1.0,0.5,1.0,0.0,-6.7,15.0,-5.0,0.5190258251586375,7.0,24.8,-2.5,18.0,27.3,-14.2,26.0,29.1,0.5294328528952108,13.0,17.4,14.0,5.0,2.2,4.5,2011,0.6176470588235294,0.5303030303030303,0.9,1.0,0.6470588235294118,0.5606060606060606,0.9,1.0,0.4117647058823529,0.3333333333333333,0.4,1.0,0.6470588235294118,0.5454545454545454,1.0,1.0,0.35294117647058826,0.4571428571428571,0.6,1.0,0.35294117647058826,0.42857142857142855,0.6,1.0,0.35294117647058826,0.4857142857142857,0.6,1.0,0.3235294117647059,0.4142857142857143,0.5,0.5,6.0,13.0,13.0,0.0,1.0,0.0,2.0,13.0,7.0,1,0.0,0.0,0.0,0.0,0.0,11.0,7.0,35.804609544610315,11.0,0,35.804609544610315,35.804609544610315,35.804609544610315,2.0,2.0,71.0,1,1,66.0,66.0,7.0,2,0.5600701
200709090jax,training,-1,-1,-3,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,39.5,-7.5,-350,-6.5,-7.0,37.5,38.0,290,0.5,0.5,0.5,0.5,1.0,1.0,0.5583272990586526,16.55503258508327,1.1731354091238233,0.5190258251586375,16.30955829109341,1.3056480811006512,-0.05716871832005794,16.484069514844315,0.07465604634322998,1.3540188269370024,16.03874004344678,0.32541636495293264,0.5294328528952108,16.07313540912382,1.7395365677045609,0.08030412744388128,16.32440260680666,1.493229543808834,7.5,2007,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,6.0,13.0,13.0,0.0,1.0,0.0,1.0,13.0,300.0,0,0.0,0.0,0.0,0.0,0.0,13.0,300.0,7.777636709316006,12.0,0,0.0,0.0,0.0,0.0,0.0,56.0,1,1,86.0,86.0,0.0,1,0.9357704
200712090oti,training,-1,-1,-6,0.0,2,0.5,0.5833333333333334,0.5416666666666666,0.5,0.5,0.5416666666666666,0.75,0.6666666666666666,0.5833333333333334,0.5,0.5,0.5,1.0,2,0.0,0.5,0.3333333333333333,0.5833333333333334,0.5,0.3333333333333333,0.5833333333333334,0.5,0.3333333333333333,0.5833333333333334,0.5,0.3333333333333333,0.5833333333333334,0,40.0,2.0,110,0.0,1.0,41.0,40.0,-130,0.5,0.5,0.5,0.5,1.0,0.0,-6.6,3.0,-11.5,0.4916666666666667,24.0,-10.4,-3.9,28.0,-2.8,18.5,10.0,-4.8,0.5833333333333334,13.0,5.4,6.2,3.0,16.4,2.0,2007,0.5416666666666666,0.5416666666666666,0.4,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.4,0.5416666666666666,0.5833333333333334,0.5833333333333334,0.4,0.5833333333333334,0.5,0.5,0.4,0.5,0.5833333333333334,0.5833333333333334,0.6,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6,0.5833333333333334,6.0,13.0,12.0,0.0,1.0,0.0,14.0,12.0,7.0,1,0.0,0.0,0.0,0.0,0.0,12.0,7.0,30.536061643430706,10.0,0,8.233557098848593,8.233557098848593,8.233557098848593,0.0,0.0,85.0,1,1,69.0,69.0,7.0,14,0.46963823
200812140mia,training,-1,1,5,0.0,1,0.25,0.2857142857142857,0.4615384615384616,0.25,0.2857142857142857,0.4615384615384616,0.75,0.5714285714285714,0.6153846153846154,0.25,0.2857142857142857,0.4615384615384616,1.0,1,0.0,0.5,0.5,0.4615384615384616,0.75,0.6666666666666666,0.5384615384615384,0.25,0.3333333333333333,0.38461538461538464,0.5,0.5,0.4615384615384616,1,41.0,-5.5,-240,-7.0,-5.5,43.0,41.0,200,0.5,0.5,0.5,0.5,0.0,0.0,8.5,12.0,2.4,0.5307692307692308,9.0,14.6,-6.8,31.0,5.3,-19.8,18.0,7.5,0.3692307692307692,28.0,-16.6,5.6,2.0,-18.5,5.5,2008,0.4137931034482759,0.4137931034482759,0.2,0.4615384615384616,0.4655172413793103,0.4655172413793103,0.2,0.4615384615384616,0.3103448275862069,0.3103448275862069,0.8,0.6153846153846154,0.4137931034482759,0.4137931034482759,0.2,0.4615384615384616,0.3793103448275862,0.3793103448275862,0.8,0.4615384615384616,0.4655172413793103,0.4655172413793103,0.8,0.5384615384615384,0.3448275862068966,0.3448275862068966,0.6,0.38461538461538464,0.3965517241379311,0.3965517241379311,0.8,0.4615384615384616,6.0,13.0,13.0,0.0,1.0,0.0,15.0,13.0,7.0,0,17.70373361659342,17.70373361659342,17.70373361659342,0.0,0.0,10.0,7.0,43.755926564648384,10.0,0,43.755926564648384,43.755926564648384,43.755926564648384,3.0,3.0,54.0,1,1,77.0,77.0,17.0,15,0.64208853
201209240sea,training,-1,1,2,0.0,2,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,50.5,-3.0,-155,-7.0,3.5,49.0,45.5,135,0.5,0.5,0.0,0.5,1.0,0.0,-8.2,4.0,-20.7,0.5190258251586375,28.0,-20.1,11.9,2.0,12.4,25.6,5.0,-18.3,0.5294328528952108,16.0,2.6,9.8,5.0,30.7,3.0,2012,0.6388888888888888,0.5416666666666666,0.6,0.5,0.6666666666666666,0.5555555555555556,0.7,0.5,0.4444444444444444,0.4444444444444444,0.4,0.5,0.6388888888888888,0.5416666666666666,0.6,0.5,0.631578947368421,0.6410256410256411,0.6,0.5,0.631578947368421,0.6410256410256411,0.6,0.5,0.8421052631578947,0.7692307692307693,0.6,0.5,0.631578947368421,0.6410256410256411,0.6,0.5,0.0,21.0,18.0,0.0,0.0,0.0,3.0,18.0,8.0,1,0.0,0.0,0.0,0.0,0.0,20.0,11.0,34.40874984506847,20.0,0,0.0,34.40874984506847,9.070047732730316,0.0,-2.0,49.0,1,0,67.0,67.0,3.0,3,0.60618645
201309080det,training,1,1,10,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,47.5,-4.5,-210,-3.5,-4.5,47.0,46.0,177,0.0,0.5,0.6,0.5,1.0,1.0,0.5583272990586526,16.55503258508327,1.1731354091238233,0.5190258251586375,16.30955829109341,1.3056480811006512,-0.05716871832005794,16.484069514844315,0.07465604634322998,1.3540188269370024,16.03874004344678,0.32541636495293264,0.5294328528952108,16.07313540912382,1.7395365677045609,0.08030412744388128,16.32440260680666,1.493229543808834,4.5,2013,0.375,0.4090909090909091,0.2,0.5,0.375,0.42424242424242425,0.2,0.5,0.25,0.42424242424242425,0.0,0.5,0.375,0.4090909090909091,0.2,0.5,0.5294117647058824,0.4848484848484849,0.8,0.5,0.5882352941176471,0.5151515151515151,0.8,0.5,0.5882352941176471,0.3939393939393939,0.8,0.5,0.5294117647058824,0.4848484848484849,0.8,0.5,6.0,13.0,13.0,0.0,1.0,0.0,1.0,13.0,300.0,0,0.0,0.0,0.0,0.0,0.0,13.0,300.0,10.546683496820227,12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,68.0,68.0,0.0,1,1.1018783
201412280pit,training,1,1,10,0.0,2,0.75,0.5714285714285714,0.5333333333333333,0.75,0.5714285714285714,0.5333333333333333,0.75,0.7142857142857143,0.6666666666666666,0.75,0.5714285714285714,0.5333333333333333,1.0,1,0.0,0.75,0.5714285714285714,0.5666666666666667,0.75,0.5714285714285714,0.5,1.0,0.7142857142857143,0.7,0.75,0.5714285714285714,0.5666666666666667,1,48.5,-3.0,-160,-3.0,-3.5,48.0,48.0,140,0.6666666666666667,0.6,0.6,1.0,1.0,1.0,13.4,30.0,12.9,0.5666666666666667,2.0,23.0,-0.3,15.0,9.8,0.9,14.0,-1.8,0.5666666666666667,16.0,-1.4,6.0,5.0,6.4,3.0,2014,0.5483870967741935,0.5,0.6,0.5333333333333333,0.5483870967741935,0.4893617021276596,0.6,0.5333333333333333,0.5806451612903226,0.5531914893617021,0.8,0.6666666666666666,0.5483870967741935,0.5,0.6,0.5333333333333333,0.59375,0.5816326530612245,0.6,0.5666666666666667,0.59375,0.5816326530612245,0.6,0.5,0.671875,0.6428571428571429,0.8,0.7,0.59375,0.5816326530612245,0.6,0.5666666666666667,6.0,21.0,21.0,0.0,1.0,0.0,17.0,21.0,7.0,1,0.0,0.0,0.0,0.0,0.0,21.0,6.0,4.698780886336369,21.0,0,4.698780886336369,4.698780886336369,4.698780886336369,0.0,0.0,68.0,1,1,37.0,37.0,5.0,17,0.4429687
201510040sfo,training,-1,-1,-14,0.0,1,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,48.0,7.0,295,7.0,7.5,47.5,48.0,-360,0.5,1.0,0.8,0.5,1.0,0.0,-22.7,30.0,25.3,0.5190258251586375,29.0,-21.9,-4.1,25.0,-51.4,25.7,9.0,-3.2,0.5294328528952108,1.0,42.8,4.9,6.0,51.0,7.0,2015,0.34210526315789475,0.4868421052631579,0.2,0.3333333333333333,0.34210526315789475,0.5,0.2,0.3333333333333333,0.4736842105263158,0.6052631578947368,0.4,0.3333333333333333,0.3157894736842105,0.5,0.2,0.3333333333333333,0.6428571428571429,0.5394736842105263,0.8,1.0,0.5714285714285714,0.4736842105263158,0.8,1.0,0.7619047619047619,0.6447368421052632,0.8,1.0,0.6190476190476191,0.5263157894736842,0.8,1.0,6.0,16.0,13.0,0.0,1.0,0.0,4.0,14.0,7.0,0,10.452514362582807,10.452514362582807,10.452514362582807,-1.0,-1.0,15.0,6.0,34.64281577932862,15.0,0,34.64281577932862,34.64281577932862,34.64281577932862,-2.0,-2.0,36.0,1,1,74.0,74.0,5.0,4,0.3507552
200710280min,training,-1,-1,-7,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5833333333333334,0.5,0.5,0.3333333333333333,0.5,0.5,0.5,1.0,1,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,37.5,0.0,-110,1.5,1.0,39.5,37.5,-110,0.5,0.5,0.5,0.5,1.0,0.0,2.0,11.0,-4.3,0.6333333333333333,20.0,-4.1,2.5,10.0,2.7,6.2,15.0,-1.2,0.7000000000000001,9.0,10.1,-2.7,22.0,8.6,0.0,2007,0.5,0.5,0.4,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.5,0.5,0.4,0.5,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,6.0,13.0,12.0,0.0,1.0,0.0,8.0,12.0,7.0,0,12.671829275037606,12.671829275037606,12.671829275037606,0.0,0.0,13.0,7.0,18.78840863078084,13.0,0,18.78840863078084,18.78840863078084,18.78840863078084,-1.0,-1.0,0.0,1,0,68.0,68.0,0.0,8,0.39288887
200810120sfo,training,-1,-1,-14,0.0,2,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,0.4,1.0,1,0.0,0.5,0.5,0.6,0.5,0.5,0.6,0.0,0.0,0.4,0.5,0.5,0.6,0,41.5,5.0,190,4.5,5.0,44.0,41.5,-230,0.5,0.5,0.5,0.5,1.0,0.0,-10.6,11.0,-1.6,0.4400000000000001,26.0,-9.7,3.9,9.0,-4.3,32.8,5.0,-16.1,0.7,9.0,13.3,3.2,11.0,32.7,5.0,2008,0.3333333333333333,0.3333333333333333,0.4,0.4,0.4047619047619048,0.4047619047619048,0.4,0.4,0.3333333333333333,0.3333333333333333,0.4,0.4,0.35714285714285715,0.35714285714285715,0.4,0.4,0.5238095238095238,0.5238095238095238,0.6,0.6,0.5238095238095238,0.5238095238095238,0.6,0.6,0.4761904761904762,0.4761904761904762,0.4,0.4,0.5238095238095238,0.5238095238095238,0.6,0.6,6.0,16.0,13.0,0.0,1.0,0.0,6.0,13.0,7.0,1,0.0,0.0,0.0,0.0,0.0,16.0,7.0,47.269240121462715,16.0,0,47.269240121462715,47.269240121462715,47.269240121462715,-3.0,-3.0,24.0,1,1,64.0,64.0,13.0,6,0.5503955
