Model Score Threshold,F1
0.0,0.7221106968741038
0.01,0.7223178427997705
0.02,0.7223657766293425
0.03,0.7224137931034482
0.04,0.7228292121909143
0.05,0.723037100949094
0.06,0.7229262672811061
0.07,0.723600692440854
0.08,0.7234411085450347
0.09,0.7231213872832369
0.1,0.7231703789412787
0.11,0.7244277021153289
0.12,0.7243180499129425
0.13,0.7238871108524877
0.14,0.7246207701283547
0.15,0.7241883591693477
0.16,0.7240164415736935
0.17,0.7242798353909465
0.18,0.7249705535924618
0.19,0.7250737463126844
0.2,0.7253333333333333
0.21,0.7251114413075781
0.22,0.7268920131618307
0.23,0.7275458095524182
0.24,0.7289719626168225
0.25,0.7292046144505161
0.26,0.7301587301587302
0.27,0.7314672408489695
0.28,0.7320987654320987
0.29,0.7314498602918348
0.3,0.7310215557638237
0.31,0.7311557788944724
0.32,0.7319229554783706
0.33,0.7314285714285714
0.34,0.72768
0.35000000000000003,0.7283910650696018
0.36,0.7280444009141365
0.37,0.726076948372246
0.38,0.7269715043074885
0.39,0.7250167672702884
0.4,0.7213003725025398
0.41000000000000003,0.7193702943189597
0.42,0.7172031844929042
0.43,0.7140854940434478
0.44,0.708348134991119
0.45,0.7056277056277056
0.46,0.704
0.47000000000000003,0.6985294117647058
0.48,0.6949404761904763
0.49,0.6897851488880512
0.5,0.6832250668704624
0.51,0.6769945778466305
0.52,0.6705882352941176
0.53,0.6624254473161034
0.54,0.6588897827835881
0.55,0.6538775510204081
0.56,0.6482017362546507
0.5700000000000001,0.6447039199332778
0.58,0.6382079459002535
0.59,0.6288172043010753
0.6,0.6217752514210757
0.61,0.611431103234382
0.62,0.6073345259391771
0.63,0.5980036297640653
0.64,0.591368227731864
0.65,0.5793167992512869
0.66,0.5704761904761905
0.67,0.5570731707317073
0.68,0.544824170381377
0.6900000000000001,0.5340050377833753
0.7000000000000001,0.5267993874425727
0.71,0.5093555093555093
0.72,0.48940677966101687
0.73,0.47186147186147187
0.74,0.45364238410596025
0.75,0.4428251121076233
0.76,0.4244152880775813
0.77,0.4078794901506373
0.78,0.3860684769775679
0.79,0.36319903788334335
0.8,0.33927473878303627
0.81,0.3174404015056462
0.8200000000000001,0.3024888321633695
0.8300000000000001,0.2812702527543746
0.84,0.2646477946017117
0.85,0.25133689839572193
0.86,0.2313937753721245
0.87,0.21780821917808219
0.88,0.20249653259362
0.89,0.17477096546863988
0.9,0.1594306049822064
0.91,0.1443001443001443
0.92,0.12280701754385964
0.93,0.11217712177121772
0.9400000000000001,0.0982874162323157
0.9500000000000001,0.08838951310861422
0.96,0.07541478129713423
0.97,0.06387832699619772
0.98,0.05517241379310345
0.99,0.04324324324324324
1.0,0.034161490683229816
