,game_id,did_cover_sbr,did_win,week_id,season,final_margin,sbr_spread,0_score,1_score,2_score,3_score,4_score,label,score
2526,201010310nwe,1,1,8,2010,10,5.0,0.9421328000000001,,,0.75901127,,1,0.8505720350000001
2527,201012280phi,-1,-1,16,2010,-10,14.5,,,,,0.88487226,0,0.88487226
2528,201010110nyj,1,1,5,2010,9,4.0,,0.99516153,0.7033498,,0.79861534,1,0.8323755566666667
2530,201009260htx,-1,-1,3,2010,-14,2.5,0.42390585,0.529676,0.24222416,,,0,0.3986020033333333
2531,201009120was,1,1,1,2010,6,4.0,,,,0.31137168,0.1831212,1,0.24724644
2532,201012250crd,1,1,16,2010,1,7.5,0.3663235,0.52406675,0.16370824,0.5989091,-0.01119107,1,0.328363304
2533,201010170min,1,1,6,2010,3,1.5,0.22519470000000003,0.41442844,,0.82713026,0.26123923,1,0.4319981575
2534,201101020phi,1,-1,17,2010,-1,2.0,,0.6215008000000001,,0.6227686,,0,0.6221347
2537,201012050gnb,1,1,13,2010,18,9.0,0.98488176,,0.6760151999999999,,,1,0.83044848
2538,201012260ram,1,1,16,2010,8,2.5,,0.3855607,,,0.38236582,1,0.38396326000000003
2539,201012160sdg,1,1,15,2010,27,10.5,0.7142149,0.74872017,0.48986864,,,1,0.65093457
2540,201009120sea,1,1,1,2010,25,3.0,0.2591511,0.15259096,,0.6020933,0.256356,1,0.31754784
2541,201010240car,1,1,7,2010,3,2.5,,,,,0.28339583,1,0.28339583
2542,201011290crd,-1,-1,12,2010,-21,2.0,0.508868,0.8626366,0.4815666,0.23610774,0.68651104,0,0.555137996
2543,201010030atl,-1,1,4,2010,2,7.0,1.070966,,,0.9324899,0.83403087,1,0.9458289233333333
2544,201009260kan,1,1,3,2010,21,3.0,,,0.6491795,0.38301525,0.48414132,1,0.5054453566666667
2545,201012260gnb,1,1,16,2010,28,3.0,0.8087964,0.7453604,0.5019942,0.4304655,,1,0.621654125
2546,201010100htx,-1,-1,5,2010,-24,3.0,,0.56167483,0.5474568,0.55220234,,0,0.5537779899999999
2547,201011070sea,-1,-1,9,2010,-34,7.0,0.28205305,,0.26430658,0.16653743,0.35939685,0,0.2680734775
2548,201101020was,1,-1,17,2010,-3,5.0,,0.10606426,,0.25645518,,0,0.18125972
2549,201011210phi,1,1,11,2010,10,3.5,,,0.71074456,0.6423946,0.37877882,1,0.5773059933333333
2550,201009190clt,1,1,2,2010,24,4.0,0.6372076,,,,0.80565584,1,0.72143172
2551,201010250dal,-1,-1,7,2010,-6,3.5,,0.6589128000000001,0.53631485,0.54183596,,0,0.5790212033333334
2552,201109080gnb,1,1,1,2011,8,5.0,,,,0.9290385,1.0434176,1,0.98622805
2553,201110300ram,1,1,8,2011,10,14.0,0.10969129,,,0.06116292,,1,0.085427105
2554,201110090car,1,-1,5,2011,-3,7.5,,,,,0.15147739999999998,0,0.15147739999999998
2555,201112110oti,-1,-1,14,2011,-5,3.5,0.6507927,0.57470644,0.28611082,0.48265022,0.519033,0,0.502658636
2556,201110160tam,1,1,6,2011,6,6.5,,0.23292127,,0.7568887,0.26574373,1,0.41851790000000005
2557,201111130atl,-1,-1,10,2011,-3,1.0,,,,0.8002727,0.6321078,0,0.7161902499999999
2558,201201140sfo,1,1,19,2011,4,3.5,,,,0.67954713,0.65851235,1,0.66902974
2559,201110020jax,-1,-1,4,2011,-13,9.0,,0.5008441,0.19022909,0.5967958999999999,,0,0.42928969666666666
2560,201112180min,-1,-1,15,2011,-22,7.0,,0.41794620000000005,0.48832792,0.15058479,0.17113397,0,0.30699822000000004
2561,201111140gnb,1,1,10,2011,38,13.0,,,,0.8936565999999999,0.57995725,1,0.736806925
2562,201109110sdg,-1,1,1,2011,7,9.0,,0.8564363000000002,0.9475403,,0.7469712,1,0.8503159333333334
2563,201112240was,-1,-1,16,2011,-7,6.0,1.007731,0.63290215,,0.8427507,0.5558761,0,0.7598149875
2564,201110300car,-1,-1,8,2011,-3,3.0,,0.6746376000000001,0.24515325,0.29135633,,0,0.40371572666666666
2565,201110160chi,1,1,6,2011,29,1.5,,,0.61314625,0.38786492,0.532229,1,0.5110800566666667
2566,201112110det,-1,1,14,2011,6,10.5,0.9357796,0.83053297,,0.84204143,,1,0.8694513333333335
2567,201110020kan,1,1,4,2011,5,3.0,,,,,0.6544806,1,0.6544806
2568,201111200gnb,-1,1,11,2011,9,13.5,,0.9127940999999999,,,0.84226006,1,0.8775270799999999
2569,201112240car,1,1,16,2011,32,7.5,,,,0.5436641,0.6450657,1,0.5943649
2570,201111270oti,1,1,12,2011,6,3.0,0.6808861999999999,0.6545074000000001,,,0.29408282,1,0.5431588066666667
2571,201201010atl,1,1,17,2011,21,10.0,0.9884629,1.0126657,0.72762954,0.9085084999999999,0.76901865,1,0.8812570579999999
2572,201110090sfo,1,1,5,2011,45,2.5,0.7496748000000001,,,,0.27131322,1,0.51049401
2573,201112110jax,1,1,14,2011,27,3.0,,,0.53147423,,,1,0.53147423
2574,201109180min,-1,-1,2,2011,-4,1.0,0.554674,0.7007668,,0.6712167,,0,0.6422191666666667
2575,201111060nor,1,1,9,2011,11,9.0,0.9131599,,0.6360013000000001,,,1,0.7745806000000001
2576,201112250gnb,1,1,16,2011,14,13.0,,0.73806524,0.9652504999999999,0.96855557,,1,0.8906237699999999
2577,201110100det,1,1,5,2011,11,7.0,,0.64754367,0.46440142,,0.6079266,1,0.5732905633333334
2578,201111070phi,-1,-1,9,2011,-6,8.0,0.57555795,0.6478086999999999,0.94859487,0.41117978,,0,0.645785325
2579,201201010min,-1,-1,17,2011,-4,1.5,0.40748212,,,0.41454670000000005,0.5579588000000001,0,0.45999587333333336
2580,201109180nor,1,1,2,2011,17,5.0,0.72697043,0.82714,0.63364184,,0.6241463,1,0.7029746425
2581,201111270rai,1,1,12,2011,5,3.0,,,0.43298674,,,1,0.43298674
2582,201201010gnb,1,1,17,2011,4,6.5,,0.37628537,0.33582184,,,1,0.356053605
2583,201111130chi,1,1,10,2011,24,3.0,0.6725339,,,,0.6888417,1,0.6806878000000001
