,game_id,did_cover_sbr,did_win,week_id,season,final_margin,sbr_spread,0_regression_score,1_regression_score,2_regression_score,3_regression_score,4_regression_score,regression_label,label,regression_score
2322,201509130buf,1,1,1,2015,13,0.0,,,-2.3867445,,5.434569000000001,13.0,1,1.5239122500000004
2323,201511020car,-1,1,8,2015,3,5.0,,,13.708014000000002,6.502717,,3.0,1,10.105365500000001
2324,201512060pit,1,1,13,2015,35,9.5,,13.180094,17.861964999999998,8.931872,15.115215,35.0,1,14.1476545
2325,201511220atl,-1,-1,11,2015,-3,3.5,,,-1.0735645,7.791909700000001,10.510847,-3.0,0,7.791909700000001
2326,201512270mia,-1,-1,16,2015,-6,2.5,1.0092577,8.539012,6.665546000000001,,,-6.0,0,6.665546000000001
2327,201512130jax,1,1,14,2015,35,1.0,,4.043508999999999,,4.0548134,,35.0,1,4.0491611999999995
2328,201510080htx,-1,-1,5,2015,-7,4.0,,,,-2.9961476,,-7.0,0,-2.9961476
2329,201509270oti,1,-1,3,2015,-2,3.5,,-2.699854,,,-6.0384407,-2.0,0,-4.36914735
2330,201509200buf,-1,-1,2,2015,-8,1.0,,,3.4695584999999998,,8.397008999999999,-8.0,0,5.933283749999999
2331,201601030mia,1,1,17,2015,10,10.0,,,-10.472844,-4.4278407,,10.0,1,-7.45034235
2332,201510180clt,1,-1,6,2015,-7,8.5,,-0.7594768,6.9885983,,4.2942066,-7.0,0,4.2942066
2333,201512270nyj,1,1,16,2015,6,2.5,-2.4545074000000002,-2.1617901,,,2.6161442000000004,6.0,1,-2.1617901
2334,201511150nyg,1,-1,10,2015,-1,7.0,,3.0047846000000002,-4.227078,-7.184726700000001,2.5436416,-1.0,0,-0.8417181999999999
2335,201511290den,1,1,12,2015,6,2.5,2.8177022999999997,-2.8708882,-0.75842106,,-4.952514,6.0,1,-1.81465463
2336,201601240den,1,1,20,2015,2,3.0,,-2.9553943,,,,2.0,1,-2.9553943
2337,201510110dal,-1,-1,5,2015,-24,8.0,-7.810181599999999,,,,,-24.0,0,-7.810181599999999
2338,201512130htx,-1,-1,14,2015,-21,4.5,-10.044699000000001,-7.397879,,-5.0897144999999995,-11.317781,-21.0,0,-8.721289
2339,201510040buf,-1,-1,4,2015,-14,6.5,9.419669,6.5541058,5.0870914,13.662415,15.53677,-14.0,0,9.419669
2340,201511290was,1,1,12,2015,6,1.0,,,-4.5423265,1.5857031000000001,-5.0135474,6.0,1,-4.5423265
2341,201511080tam,-1,-1,9,2015,-14,1.5,,0.86721385,-0.0166322,,-1.5521374,-14.0,0,-0.0166322
2342,201510190phi,1,1,6,2015,20,3.5,,11.121483999999999,,,1.0899215,20.0,1,6.105702749999999
2343,201512140mia,-1,-1,14,2015,-7,2.0,0.57168937,-6.113321,-4.4727798,,,-7.0,0,-4.4727798
2344,201512270min,1,1,16,2015,32,7.0,4.145298,,9.151183,8.930471,7.990431299999999,32.0,1,8.46045115
2345,201509130dal,-1,1,1,2015,1,7.0,1.3683712,3.8386587999999997,,,,1.0,1,2.603515
2346,201510180buf,-1,-1,6,2015,-13,3.0,,,1.2655866000000002,1.5118014,,-13.0,0,1.388694
2347,201511220crd,-1,1,11,2015,3,4.0,11.912707000000001,3.710703,,,3.172461,3.0,1,3.710703
2348,201511010pit,-1,-1,8,2015,-6,0.0,,1.8422447,,-8.93069,,-6.0,0,-3.54422265
2349,201509270rav,-1,-1,3,2015,-4,2.5,,0.7031275,,12.855963000000001,7.0223494,-4.0,0,7.0223494
2350,201512280den,-1,1,16,2015,3,3.5,,,11.408224,10.913006,2.5435147000000002,3.0,1,10.913006
2351,201509130rai,-1,-1,1,2015,-20,3.0,-0.06968844,,,,,-20.0,0,-0.06968844
2352,201512060cle,-1,-1,13,2015,-34,7.5,,,,-6.7774076,,-34.0,0,-6.7774076
2353,201512200sfo,-1,-1,15,2015,-10,7.0,-10.703859,,,-7.1912885,,-10.0,0,-8.94757375
2354,201511080buf,1,1,9,2015,16,3.5,8.574014,,,3.3281162,-1.7368013999999998,16.0,1,3.3281162
2355,201512200sdg,1,1,15,2015,16,0.0,,,-0.19076633,3.8734841,,16.0,1,1.841358885
2356,201509130was,-1,-1,1,2015,-7,4.0,,-3.2886394999999995,,,,-7.0,0,-3.2886394999999995
2357,201510290nwe,1,1,8,2015,29,8.0,10.491487,,14.9529,16.081652,13.017621,29.0,1,13.985260499999999
2358,201511150phi,-1,-1,10,2015,-1,5.5,,,9.090164,,14.334214000000001,-1.0,0,11.712189
2359,201509200jax,1,1,2,2015,3,5.0,,-2.9032376,-5.595358,-7.4741497,,3.0,1,-5.595358
2360,201511290nyj,1,1,12,2015,18,4.5,,3.7454498,10.262034,,-0.22822297,18.0,1,3.7454498
2361,201510180oti,-1,-1,6,2015,-28,3.0,,,,,-0.59108233,-28.0,0,-0.59108233
2362,201512060buf,1,1,13,2015,9,3.0,0.10292151599999999,-1.2286701,,-8.825358999999999,,9.0,1,-1.2286701
2364,201509200car,1,1,2,2015,7,3.0,-11.246408,,,,-4.596497,7.0,1,-7.921452500000001
2365,201510040atl,1,1,4,2015,27,4.0,,9.18074,,9.711642999999999,,27.0,1,9.4461915
2366,201510250mia,1,1,7,2015,18,4.5,,-0.65115607,-0.29544598,10.454328,,18.0,1,-0.29544598
2367,201510180jax,-1,-1,6,2015,-11,3.0,,,-5.4150043,-5.1513032999999995,,-11.0,0,-5.283153799999999
2368,201512200clt,-1,-1,15,2015,-6,2.5,1.5006716999999998,,,-2.3169622000000003,,-6.0,0,-0.40814525000000024
2369,201512270oti,-1,-1,16,2015,-28,3.5,,-5.3295703,,,-9.829414,-28.0,0,-7.57949215
2370,201512270buf,1,1,16,2015,10,6.0,10.240604,20.874168,,,7.563397,10.0,1,10.240604
2371,201512130gnb,1,1,14,2015,21,6.5,,,,6.975138,17.295353,21.0,1,12.1352455
2372,201512070was,-1,-1,13,2015,-3,2.0,,6.611260400000001,-8.614219,,,-3.0,0,-1.0014792999999997
2373,201511150tam,1,1,10,2015,4,1.0,-3.1098793,-10.425533999999999,-3.8208346,,,4.0,1,-3.8208346
2374,201509200phi,-1,-1,2,2015,-10,6.5,7.7029380000000005,11.940019,,10.384724,,-10.0,0,10.384724
2375,201511220mia,-1,-1,11,2015,-10,2.5,-5.130965,,4.366584,,,-10.0,0,-0.3821905000000001
2376,201510250nyg,1,1,7,2015,7,3.0,,2.1023232999999997,,8.905984,,7.0,1,5.50415365
2377,201510040nor,1,1,4,2015,6,3.0,,,2.2410822,4.0283603999999995,,6.0,1,3.1347213
2378,201601030buf,1,1,17,2015,5,3.0,-5.884837,,,,,5.0,1,-5.884837
2379,201509210clt,-1,-1,2,2015,-13,6.0,9.495791,13.708603,,,,-13.0,0,11.602197
2380,201511010rai,1,1,8,2015,14,3.0,,,-8.811944,,,14.0,1,-8.811944
2381,201511220htx,1,1,11,2015,7,4.0,,-11.624172999999999,-17.648968,,,7.0,1,-14.6365705
2382,200709090cle,-1,-1,1,2007,-27,5.0,-1.2057561,5.346233,5.211521,,-0.48616729999999997,-27.0,0,2.36267685
2383,200711180nyj,1,1,11,2007,3,9.0,,-11.557836,-11.916664,,-3.2092364,3.0,1,-11.557836
2384,200712200ram,-1,-1,16,2007,-17,8.0,,-4.8380985,-11.656029,-2.9218167999999998,-16.513893,-17.0,0,-8.24706375
2385,200710280cin,-1,-1,8,2007,-11,4.0,-9.29083,,-3.2111256,,-8.765948,-11.0,0,-8.765948
2386,200709300crd,1,1,4,2007,7,5.5,,-9.018213000000001,,,,7.0,1,-9.018213000000001
2387,200712090nwe,1,1,14,2007,21,11.0,,18.025614,,16.417164,,21.0,1,17.221389000000002
2388,200710210den,1,1,7,2007,3,4.0,-7.4120326,-7.1486279999999995,-5.921089599999999,,2.028153,3.0,1,-6.534858799999999
2389,200712300rav,1,1,17,2007,6,3.0,-2.5037055,,,,-8.02712,6.0,1,-5.26541275
2390,200711040cle,1,1,9,2007,3,1.5,,,7.530057000000001,,-2.9297147,3.0,1,2.3001711500000006
2391,200801120gnb,1,1,19,2007,22,7.5,,0.3442083,14.743813500000002,21.780432,-5.339049299999999,22.0,1,7.544010900000001
2392,200711250ram,-1,-1,12,2007,-5,3.0,-2.996656,,,,,-5.0,0,-2.996656
2393,200709300sfo,-1,-1,4,2007,-20,1.5,-1.1313121000000002,-0.783517,,1.8206040000000001,-5.1998906,-20.0,0,-0.9574145500000001
2394,200712160car,1,1,15,2007,3,7.0,-10.149816,-10.112003999999999,,,-5.802795,3.0,1,-10.112003999999999
2395,200709160crd,1,1,2,2007,3,2.5,,-0.86273646,,-0.6986134,-1.9248363999999998,3.0,1,-0.86273646
2396,200710070pit,1,1,5,2007,21,5.0,16.171135,9.459315,-4.678171,9.426383,,21.0,1,9.442848999999999
2397,200712020phi,-1,-1,13,2007,-4,3.0,6.777896000000001,,,-1.0460258,-3.5405345,-4.0,0,-1.0460258
2398,200712300atl,1,1,17,2007,3,2.0,2.1223369,,,,-3.0048152999999997,3.0,1,-0.44123919999999983
2399,200712160cle,1,1,15,2007,8,4.0,,10.408692,,13.022826,,8.0,1,11.715759
2400,200711250jax,1,1,12,2007,22,8.5,,,12.68896,10.33973,,22.0,1,11.514344999999999
2401,200710280nyj,-1,-1,8,2007,-10,3.0,2.1005547000000004,2.615854,,,,-10.0,0,2.3582043500000003
2402,200712020was,-1,-1,13,2007,-1,6.5,,,,,3.122466,-1.0,0,3.122466
2403,200709230nwe,1,1,3,2007,31,16.5,,,19.392623999999998,16.915031,,31.0,1,18.1538275
2404,200711110mia,-1,-1,10,2007,-3,2.5,-8.404411,-6.051133,,-3.6871480000000005,-9.295425999999999,-3.0,0,-7.227772
2405,200709160pit,1,1,2,2007,23,10.0,15.865815,15.207182999999999,19.692152,,,23.0,1,15.865815
2407,200712300cle,1,1,17,2007,13,11.5,,,,,13.707932000000001,13.0,1,13.707932000000001
2408,200710210nyg,1,1,7,2007,18,9.5,,-5.3044066,2.563329,,14.473692000000002,18.0,1,2.563329
2409,200709160ram,-1,-1,2,2007,-1,3.0,7.5448523000000005,,,4.565181,,-1.0,0,6.055016650000001
2410,200711120sea,1,1,10,2007,24,8.5,,12.962002,9.017325,3.711212,,24.0,1,9.017325
2411,200712020car,1,1,13,2007,17,3.0,-0.24676424,-1.0963098999999998,,,-14.172668,17.0,1,-1.0963098999999998
2412,200711250crd,-1,-1,12,2007,-6,10.0,,,14.068376999999998,13.393982000000001,,-6.0,0,13.7311795
