,game_id,did_cover_sbr,did_win,week_id,season,final_margin,sbr_spread,0_regression_score,1_regression_score,2_regression_score,3_regression_score,4_regression_score,regression_label,label,regression_score
600,201309080pit,-1,-1,1,2013,-7,6.0,4.54999,,9.3432,,7.862629400000001,-7.0,0,7.2519398
601,201312010clt,1,1,13,2013,8,3.5,,,,11.78403,,8.0,1,11.78403
602,201312080den,1,1,14,2013,23,12.5,22.356232000000002,15.478622,,,21.098454,23.0,1,19.644436
603,201311240rai,-1,-1,12,2013,-4,3.0,-7.306807000000001,,,,,-4.0,0,-7.306807000000001
604,201310130sea,-1,1,6,2013,7,11.5,23.285857999999998,,15.25419,8.268939999999999,11.7097845,7.0,1,14.629693125
605,201309290htx,-1,-1,4,2013,-3,2.0,-4.0250154,,,-2.4132562,3.8303475,-3.0,0,-0.8693080333333335
606,201310280ram,1,-1,8,2013,-5,13.0,-18.607704000000002,,-4.5175285,,-17.442299,-5.0,0,-13.522510500000001
607,201309080car,-1,-1,1,2013,-5,3.5,,-0.2765684,,,,-5.0,0,-0.2765684
608,201310170crd,-1,-1,7,2013,-12,4.5,-13.227995000000002,-7.4320593,,,,-12.0,0,-10.330027150000001
609,201311100atl,-1,-1,10,2013,-23,3.0,-2.4426212000000005,-3.7860384,,,2.1493783,-23.0,0,-1.3597604333333333
610,201310060clt,1,1,5,2013,6,3.0,,2.7276487,,,,6.0,1,2.7276487
611,201312080sfo,-1,1,14,2013,2,2.5,2.2518606,3.8957489,-4.6896889999999996,,,2.0,1,0.48597350000000006
612,201312150nyg,-1,-1,15,2013,-23,8.5,,,,5.809267,,-23.0,0,5.809267
613,201310130htx,-1,-1,6,2013,-25,9.0,,-0.8463185999999999,,,,-25.0,0,-0.8463185999999999
614,201310200car,1,1,7,2013,15,7.5,,1.7582715,0.41808918,,14.634454999999999,15.0,1,5.603605226666666
615,201312080crd,1,1,14,2013,20,4.5,6.226485299999999,,,,-1.6118497999999999,20.0,1,2.3073177499999997
616,201309150atl,1,1,2,2013,7,5.5,14.276743,15.3136835,9.168873,,,7.0,1,12.9197665
617,201311100clt,-1,-1,10,2013,-30,7.0,13.614601,9.752781,10.208649000000001,,10.245981,-30.0,0,10.955503
