game_id,dataset,did_cover_sbr,did_win,final_margin,fold,home_field___h_consecutive_home,home_field___h_home__close_wr_last_4_games,home_field___h_home__close_wr_last_8_games,home_field___h_home__close_wr_ytd,home_field___h_home__open_wr_last_4_games,home_field___h_home__open_wr_last_8_games,home_field___h_home__open_wr_ytd,home_field___h_home__ovr_wr_last_4_games,home_field___h_home__ovr_wr_last_8_games,home_field___h_home__ovr_wr_ytd,home_field___h_home__pfr_wr_last_4_games,home_field___h_home__pfr_wr_last_8_games,home_field___h_home__pfr_wr_ytd,home_field___h_is_home,home_field___v_consecutive_visitor,home_field___v_is_home,home_field___v_visitor__close_wr_last_4_games,home_field___v_visitor__close_wr_last_8_games,home_field___v_visitor__close_wr_ytd,home_field___v_visitor__open_wr_last_4_games,home_field___v_visitor__open_wr_last_8_games,home_field___v_visitor__open_wr_ytd,home_field___v_visitor__ovr_wr_last_4_games,home_field___v_visitor__ovr_wr_last_8_games,home_field___v_visitor__ovr_wr_ytd,home_field___v_visitor__pfr_wr_last_4_games,home_field___v_visitor__pfr_wr_last_8_games,home_field___v_visitor__pfr_wr_ytd,regression_label,line___close_ou,line___h_close_line,line___h_ml,line___h_open_line,line___h_pfr_line,line___open_ou,line___pfr_ou,line___v_ml,matchup___h_wr_past_2_seasons,matchup___h_wr_past_3_seasons,matchup___h_wr_past_5_games,matchup___h_wr_ytd,matchup___is_same_conf,matchup___is_same_division,rankings___h__dave_or_wtddvoa,rankings___h__def_rank,rankings___h__defensedvoa,rankings___h__estim_winrate,rankings___h__off_rank,rankings___h__offensedvoa,rankings___h__s_t_dvoa,rankings___h__s_t_rank,rankings___h__totaldvoa,rankings___v__dave_or_wtddvoa,rankings___v__def_rank,rankings___v__defensedvoa,rankings___v__estim_winrate,rankings___v__off_rank,rankings___v__offensedvoa,rankings___v__s_t_dvoa,rankings___v__s_t_rank,rankings___v__totaldvoa,sbr_spread,season,team_history___h_close_wr_past_2_seasons,team_history___h_close_wr_past_3_seasons,team_history___h_close_wr_past_5_games,team_history___h_close_wr_ytd,team_history___h_open_wr_past_2_seasons,team_history___h_open_wr_past_3_seasons,team_history___h_open_wr_past_5_games,team_history___h_open_wr_ytd,team_history___h_ovr_wr_past_2_seasons,team_history___h_ovr_wr_past_3_seasons,team_history___h_ovr_wr_past_5_games,team_history___h_ovr_wr_ytd,team_history___h_pfr_wr_past_2_seasons,team_history___h_pfr_wr_past_3_seasons,team_history___h_pfr_wr_past_5_games,team_history___h_pfr_wr_ytd,team_history___v_close_wr_past_2_seasons,team_history___v_close_wr_past_3_seasons,team_history___v_close_wr_past_5_games,team_history___v_close_wr_ytd,team_history___v_open_wr_past_2_seasons,team_history___v_open_wr_past_3_seasons,team_history___v_open_wr_past_5_games,team_history___v_open_wr_ytd,team_history___v_ovr_wr_past_2_seasons,team_history___v_ovr_wr_past_3_seasons,team_history___v_ovr_wr_past_5_games,team_history___v_ovr_wr_ytd,team_history___v_pfr_wr_past_2_seasons,team_history___v_pfr_wr_past_3_seasons,team_history___v_pfr_wr_past_5_games,team_history___v_pfr_wr_ytd,time_date___day_of_week,time_date___game_time_eastern,time_date___game_time_local,time_date___is_playoffs,time_date___is_sunday,time_date___is_superbowl,time_date___week_id,travel___h_body_clock_from_last_wk,travel___h_days_since_last_game,travel___h_same_stadium_last_game,travel___h_travel_from_last_10_days,travel___h_travel_from_last_game,travel___h_travel_from_last_game_decay,travel___h_tz_change_last_10_days,travel___h_tz_change_last_game,travel___v_body_clock_from_last_wk,travel___v_days_since_last_game,travel___v_dist_from_home,travel___v_home_body_time,travel___v_same_stadium_last_game,travel___v_travel_from_last_10_days,travel___v_travel_from_last_game,travel___v_travel_from_last_game_decay,travel___v_tz_change_last_10_days,travel___v_tz_change_last_game,weather___humidity_pct,weather___is_dome,weather___is_grass,weather___temperature,weather___wind_chill,weather___wind_mph,week_id,regression_score
201212300was,training,1,1,10,0.0,1,0.75,0.5714285714285714,0.6666666666666666,0.75,0.5714285714285714,0.6666666666666666,0.75,0.5714285714285714,0.6,0.75,0.5714285714285714,0.6666666666666666,1.0,1,0.0,0.75,0.7142857142857143,0.4,0.75,0.7142857142857143,0.4,0.75,0.5714285714285714,0.5333333333333333,0.75,0.7142857142857143,0.4,10.0,49.0,-3.0,-175,-3.5,-3.0,50.0,49.0,155,0.33333333333333337,0.4,0.4,1.0,1.0,1.0,13.1,21.0,3.9,0.5933333333333334,6.0,14.3,-2.9,25.0,7.5,1.1,23.0,6.1,0.5133333333333333,11.0,7.1,-0.7,19.0,0.3,3.0,2012,0.5483870967741935,0.5638297872340425,1.0,0.6666666666666666,0.5483870967741935,0.5744680851063829,1.0,0.6666666666666666,0.4516129032258064,0.425531914893617,1.0,0.6,0.5483870967741935,0.5744680851063829,1.0,0.6666666666666666,0.3709677419354839,0.3723404255319149,0.4,0.4,0.3709677419354839,0.3723404255319149,0.4,0.4,0.5161290322580645,0.4680851063829787,0.6,0.5333333333333333,0.3709677419354839,0.39361702127659576,0.4,0.4,6.0,21.0,21.0,0.0,1.0,0.0,17.0,21.0,7.0,0,1.9661519946586024,1.9661519946586024,1.9661519946586024,0.0,0.0,20.0,7.0,21.14548034818789,20.0,0,21.14548034818789,21.14548034818789,21.14548034818789,1.0,1.0,53.0,1,1,37.0,30.0,9.0,17,-1.1269828
201309290sdg,training,1,1,9,0.0,1,1.0,1.0,0.8333333333333334,1.0,1.0,0.8333333333333334,0.0,0.0,0.3333333333333333,1.0,1.0,0.8333333333333334,1.0,1,0.0,1.0,1.0,1.0,0.5,0.5,0.8333333333333334,0.0,0.0,0.6666666666666666,1.0,1.0,1.0,9.0,48.0,1.5,105,1.0,1.5,45.5,47.0,-125,0.5,0.5,1.0,0.5,0.0,0.0,-4.0,31.0,27.3,0.5190258251586375,3.0,28.1,-1.1,19.0,-0.2,0.2,11.0,-8.5,0.5294328528952108,17.0,-0.4,0.4,15.0,8.5,1.5,2013,0.5,0.4428571428571429,0.7,0.8333333333333334,0.4736842105263158,0.4,0.7,0.8333333333333334,0.42105263157894735,0.4571428571428571,0.6,0.3333333333333333,0.5,0.4428571428571429,0.7,0.8333333333333334,0.4736842105263158,0.4142857142857143,0.6,1.0,0.4473684210526316,0.4,0.5,0.8333333333333334,0.5263157894736842,0.5142857142857142,0.4,0.6666666666666666,0.4736842105263158,0.4142857142857143,0.6,1.0,6.0,16.0,13.0,0.0,1.0,0.0,4.0,15.0,7.0,0,30.536061643430706,30.536061643430706,30.536061643430706,-2.0,-2.0,15.0,7.0,20.026691075512193,15.0,0,20.026691075512193,20.026691075512193,20.026691075512193,-2.0,-2.0,27.0,1,1,80.0,80.0,7.0,4,-1.3071696
201510260crd,training,-1,1,8,0.0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,2,0.0,0.125,0.125,0.08333333333333333,0.25,0.25,0.16666666666666666,0.25,0.25,0.16666666666666666,0.25,0.25,0.16666666666666666,8.0,49.0,-10.0,-475,-7.0,-8.0,49.0,49.0,380,0.5,0.5,0.0,0.5,0.0,0.0,35.4,4.0,-19.9,0.8166666666666668,3.0,23.6,1.8,13.0,45.3,0.7,18.0,5.2,0.5166666666666667,16.0,-1.6,6.3,4.0,-0.5,10.0,2015,0.6521739130434783,0.6538461538461539,0.6,0.6666666666666666,0.6521739130434783,0.6538461538461539,0.6,0.6666666666666666,0.6521739130434783,0.6410256410256411,0.6,0.6666666666666666,0.6521739130434783,0.6538461538461539,0.6,0.6666666666666666,0.4375,0.45,0.1,0.08333333333333333,0.5208333333333334,0.5,0.2,0.16666666666666666,0.5,0.5,0.2,0.16666666666666666,0.4375,0.45,0.2,0.16666666666666666,0.0,21.0,19.0,0.0,0.0,0.0,7.0,21.0,8.0,0,32.98064037549605,32.98064037549605,23.63166232053211,-2.0,-2.0,18.0,8.0,36.1006728745047,21.0,0,10.452514362582807,10.452514362582807,7.4895540839950625,1.0,1.0,0.0,1,1,68.0,68.0,0.0,7,4.600757
201012260cle,training,-1,-1,-10,0.0,1,0.25,0.3333333333333333,0.35714285714285715,0.25,0.3333333333333333,0.35714285714285715,0.5,0.5,0.35714285714285715,0.25,0.3333333333333333,0.35714285714285715,1.0,1,0.0,0.625,0.6428571428571429,0.5357142857142857,0.625,0.6428571428571429,0.5357142857142857,0.5,0.5714285714285714,0.7142857142857143,0.625,0.6428571428571429,0.5357142857142857,-10.0,40.0,4.0,170,3.0,4.0,39.0,40.0,-200,0.0,0.0,0.0,0.0,1.0,1.0,0.5,14.0,1.9,0.4928571428571429,22.0,0.0,2.0,10.0,0.1,30.7,6.0,-7.2,0.7214285714285714,13.0,10.4,6.1,4.0,23.8,4.0,2010,0.5,0.4782608695652174,0.2,0.35714285714285715,0.5,0.4782608695652174,0.2,0.35714285714285715,0.3333333333333333,0.3043478260869565,0.4,0.35714285714285715,0.5,0.4673913043478261,0.2,0.35714285714285715,0.53125,0.6078431372549019,0.6,0.5357142857142857,0.515625,0.6078431372549019,0.6,0.5357142857142857,0.625,0.6470588235294118,0.8,0.7142857142857143,0.53125,0.6078431372549019,0.6,0.5357142857142857,6.0,13.0,13.0,0.0,1.0,0.0,16.0,13.0,7.0,0,3.7076221039501935,3.7076221039501935,3.7076221039501935,0.0,0.0,13.0,7.0,5.544067420053612,13.0,0,5.544067420053612,5.544067420053612,5.544067420053612,0.0,0.0,73.0,1,1,26.0,13.0,18.0,16,-14.193908
201210070sfo,training,1,1,42,0.0,1,1.0,1.0,0.75,1.0,1.0,0.75,1.0,1.0,0.75,1.0,1.0,0.75,1.0,1,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,42.0,45.5,-10.0,-505,-10.0,-10.0,44.0,45.0,400,0.5,0.5,1.0,0.5,0.0,0.0,20.4,4.0,-19.3,0.95,5.0,16.5,-1.3,21.0,34.6,-7.1,26.0,13.6,0.325,18.0,-3.1,3.1,11.0,-13.6,10.0,2012,0.7045454545454546,0.5921052631578947,0.6,0.75,0.7045454545454546,0.5921052631578947,0.6,0.75,0.7727272727272727,0.6052631578947368,0.6,0.75,0.7045454545454546,0.5921052631578947,0.6,0.75,0.425,0.4722222222222222,0.4,0.5,0.425,0.4305555555555556,0.4,0.5,0.4,0.3333333333333333,0.4,0.5,0.425,0.4722222222222222,0.4,0.5,6.0,16.0,13.0,0.0,1.0,0.0,5.0,16.0,7.0,0,48.41109979173916,48.41109979173916,48.41109979173916,-3.0,-3.0,16.0,7.0,43.891798091946534,16.0,0,43.891798091946534,43.891798091946534,43.891798091946534,-3.0,-3.0,70.0,1,1,62.0,62.0,8.0,5,6.8767967
201410260jax,training,-1,-1,-14,0.0,2,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.2857142857142857,1.0,2,0.0,0.5,0.5,0.4,0.5,0.5,0.6,0.5,0.5,0.4,0.5,0.5,0.4,-14.0,42.0,7.0,265,4.0,7.0,43.5,42.5,-320,0.5,0.0,0.0,0.5,1.0,0.0,-27.9,13.0,-1.4,0.24285714285714285,31.0,-28.7,-2.4,24.0,-29.8,4.8,3.0,-11.1,0.7000000000000001,11.0,5.6,-9.9,32.0,6.8,7.0,2014,0.32608695652173914,0.35897435897435903,0.4,0.2857142857142857,0.3478260869565217,0.38461538461538464,0.4,0.2857142857142857,0.21739130434782608,0.1794871794871795,0.2,0.14285714285714285,0.32608695652173914,0.3717948717948718,0.4,0.2857142857142857,0.5227272727272727,0.5263157894736842,0.4,0.5,0.5454545454545454,0.5394736842105263,0.6,0.6666666666666666,0.5,0.4736842105263158,0.4,0.5,0.5227272727272727,0.5263157894736842,0.4,0.5,6.0,13.0,13.0,0.0,1.0,0.0,8.0,13.0,7.0,1,0.0,0.0,0.0,0.0,0.0,12.0,7.0,4.58438453022868,13.0,0,12.995604563393725,12.995604563393725,12.995604563393725,1.0,1.0,45.0,1,1,76.0,76.0,6.0,8,-13.663943
201311280det,training,1,1,30,0.0,2,0.25,0.4,0.4545454545454545,0.25,0.4,0.3636363636363637,0.5,0.6,0.5454545454545454,0.25,0.4,0.4545454545454545,1.0,1,0.0,0.375,0.3,0.4090909090909091,0.25,0.2,0.3636363636363637,0.5,0.4,0.5,0.375,0.3,0.4090909090909091,30.0,49.5,-6.5,-275,-4.0,-6.0,49.5,48.5,235,0.0,0.0,0.0,0.0,1.0,1.0,-1.3,20.0,3.6,0.490909090909091,13.0,5.2,-2.5,26.0,-0.9,1.3,29.0,13.6,0.5,5.0,18.2,-1.9,23.0,2.7,6.5,2013,0.4074074074074074,0.4204545454545455,0.2,0.4545454545454545,0.3703703703703704,0.4090909090909091,0.0,0.3636363636363637,0.3703703703703704,0.4545454545454545,0.4,0.5454545454545454,0.4074074074074074,0.4204545454545455,0.2,0.4545454545454545,0.5344827586206896,0.5760869565217391,0.2,0.4090909090909091,0.4827586206896552,0.5434782608695652,0.2,0.3636363636363637,0.603448275862069,0.7065217391304348,0.3,0.5,0.5,0.5543478260869565,0.2,0.4090909090909091,3.0,25.0,25.0,0.0,0.0,0.0,13.0,25.0,4.0,1,0.0,0.0,0.0,0.0,0.0,24.0,4.0,5.462461376311965,24.0,0,5.462461376311965,5.462461376311965,5.462461376311965,1.0,1.0,0.0,1,0,68.0,68.0,0.0,13,9.743562
200911220rai,training,1,1,3,0.0,2,0.25,0.4,0.4444444444444444,0.25,0.4,0.4444444444444444,0.25,0.2,0.2222222222222222,0.25,0.4,0.4444444444444444,1.0,2,0.0,0.75,0.75,0.6666666666666666,0.75,0.75,0.6666666666666666,1.0,1.0,0.7777777777777778,0.75,0.75,0.6666666666666666,3.0,36.0,8.5,350,9.5,8.5,35.0,36.0,-450,0.5,0.5,0.5,0.5,1.0,0.0,-50.8,24.0,9.5,0.14444444444444446,32.0,-39.1,-0.5,20.0,-49.1,19.5,13.0,-2.3,0.6666666666666666,7.0,17.9,-1.7,23.0,18.6,8.5,2009,0.44,0.4146341463414634,0.4,0.4444444444444444,0.44,0.4146341463414634,0.4,0.4444444444444444,0.28,0.2682926829268293,0.2,0.2222222222222222,0.44,0.4146341463414634,0.4,0.4444444444444444,0.52,0.475609756097561,0.8,0.6666666666666666,0.52,0.5,0.8,0.6666666666666666,0.46,0.451219512195122,0.8,0.7777777777777778,0.52,0.475609756097561,0.8,0.6666666666666666,6.0,16.0,13.0,0.0,1.0,0.0,11.0,13.0,7.0,1,0.0,0.0,0.0,0.0,0.0,16.0,7.0,37.708495036032666,16.0,0,42.27072829006971,42.27072829006971,42.27072829006971,-3.0,-3.0,84.0,1,1,54.0,54.0,8.0,11,-15.396217
200912060cle,training,1,-1,-7,0.0,1,0.25,0.25,0.4545454545454545,0.25,0.25,0.4545454545454545,0.0,0.0,0.09090909090909093,0.25,0.25,0.4545454545454545,1.0,1,0.0,0.75,0.6,0.5454545454545454,0.75,0.6,0.5454545454545454,0.75,0.8,0.7272727272727273,0.75,0.6,0.5454545454545454,-7.0,42.5,14.0,625,11.5,13.5,43.0,42.5,-875,0.5,0.5,0.5,0.5,1.0,0.0,-39.4,30.0,19.1,0.21818181818181814,31.0,-25.9,7.2,2.0,-37.8,14.9,19.0,7.1,0.6,7.0,18.7,-0.1,20.0,11.6,14.0,2009,0.4444444444444444,0.5581395348837209,0.4,0.4545454545454545,0.4444444444444444,0.5232558139534884,0.4,0.4545454545454545,0.1851851851851852,0.3488372093023256,0.0,0.09090909090909093,0.4259259259259259,0.5465116279069767,0.4,0.4545454545454545,0.5,0.59375,0.8,0.5454545454545454,0.4827586206896552,0.5833333333333334,0.8,0.5454545454545454,0.5862068965517241,0.625,1.0,0.7272727272727273,0.5,0.59375,0.8,0.5454545454545454,6.0,16.0,16.0,0.0,1.0,0.0,13.0,16.0,7.0,0,3.7076221039501935,3.7076221039501935,3.7076221039501935,0.0,0.0,13.0,7.0,36.47832234769714,13.0,0,36.47832234769714,36.47832234769714,36.47832234769714,3.0,3.0,44.0,1,1,34.0,27.0,8.0,13,-6.8917136
200912060clt,training,1,1,10,0.0,1,0.25,0.2,0.6363636363636364,0.25,0.2,0.6363636363636364,1.0,1.0,1.0,0.25,0.2,0.6363636363636364,1.0,1,0.0,0.5,0.5,0.4545454545454545,0.5,0.5,0.5454545454545454,0.5,0.3333333333333333,0.4545454545454545,0.5,0.5,0.5454545454545454,10.0,47.0,-6.0,-270,-7.5,-6.0,47.0,47.0,220,0.6666666666666666,0.6,0.6,1.0,1.0,1.0,31.0,9.0,-4.8,0.7909090909090909,3.0,26.8,0.2,18.0,31.8,-8.6,27.0,14.3,0.4363636363636363,18.0,6.9,-3.1,28.0,-10.5,6.0,2009,0.5,0.5111111111111111,0.4,0.6363636363636364,0.5,0.5222222222222223,0.4,0.6363636363636364,0.8214285714285714,0.8,1.0,1.0,0.5178571428571429,0.5222222222222223,0.4,0.6363636363636364,0.625,0.5777777777777777,0.8,0.4545454545454545,0.625,0.5777777777777777,1.0,0.5454545454545454,0.6428571428571429,0.6222222222222222,1.0,0.4545454545454545,0.6428571428571429,0.5777777777777777,1.0,0.5454545454545454,6.0,13.0,13.0,0.0,1.0,0.0,13.0,12.0,7.0,0,13.675520040183914,13.675520040183914,13.675520040183914,1.0,1.0,12.0,7.0,3.644666464384907,12.0,0,3.644666464384907,3.644666464384907,3.644666464384907,1.0,1.0,0.0,1,0,68.0,68.0,0.0,13,15.26353
