,accuracy
1,0.7777777777777778
3,0.7777777777777778
5,0.7777777777777778
7,0.7936507936507936
9,0.7777777777777778
11,0.7676767676767676
13,0.7692307692307693
15,0.7481481481481481
17,0.738562091503268
19,0.7309941520467836
21,0.746031746031746
23,0.7584541062801933
25,0.7555555555555555
27,0.7654320987654321
29,0.7662835249042146
31,0.7706093189964157
33,0.7676767676767676
35,0.7523809523809524
37,0.7477477477477478
39,0.7521367521367521
41,0.7560975609756098
43,0.7467700258397932
45,0.7481481481481481
47,0.7470449172576832
49,0.7482993197278912
51,0.7472766884531591
53,0.7421383647798742
55,0.7353535353535353
57,0.7426900584795322
59,0.7457627118644068
61,0.7522768670309654
63,0.7442680776014109
65,0.7418803418803419
67,0.746268656716418
69,0.7439613526570048
71,0.7417840375586855
73,0.7366818873668188
75,0.7333333333333333
77,0.733044733044733
79,0.7355836849507735
81,0.7338820301783264
83,0.7376171352074966
85,0.7333333333333333
87,0.7305236270753512
89,0.7265917602996255
91,0.724053724053724
93,0.7204301075268817
95,0.7204678362573099
97,0.715922107674685
99,0.7160493827160493
101,0.7117711771177118
103,0.7108953613807982
105,0.707936507936508
107,0.7050882658359294
109,0.7054026503567788
111,0.6996996996996997
113,0.6991150442477876
115,0.6966183574879227
117,0.6970560303893637
119,0.6946778711484594
121,0.6923783287419651
123,0.6874435411020777
125,0.6853333333333333
127,0.6806649168853893
129,0.6787252368647717
131,0.6743002544529262
133,0.6733500417710944
135,0.6724279835390946
137,0.6690997566909975
139,0.6674660271782574
141,0.6658786446020488
143,0.6651126651126651
145,0.6636015325670498
147,0.6636432350718064
149,0.6599552572706935
151,0.6600441501103753
153,0.6557734204793029
155,0.6566308243727599
157,0.6553432413305025
159,0.6512928022361985
161,0.6487232574189096
163,0.6468984321745058
165,0.6444444444444445
167,0.6453759148369926
169,0.6449704142011834
171,0.6439246263807668
173,0.6422607578676943
175,0.6412698412698413
177,0.6377903327055869
179,0.6362507759155804
181,0.6359729895641498
183,0.6338797814207651
185,0.63003003003003
187,0.6286393345216874
189,0.6278659611992945
191,0.6253635834787667
193,0.6223373632700058
195,0.6199430199430199
197,0.6181613085166384
199,0.6169737576772752
201,0.6169154228855721
203,0.6146688560481663
205,0.6113821138211382
207,0.6103059581320451
209,0.6092503987240829
211,0.608214849921011
213,0.6056338028169014
215,0.6036175710594315
217,0.601126472094214
219,0.5971588026382547
221,0.5942684766214178
223,0.5909317389138017
225,0.5876543209876544
227,0.5863925599608419
229,0.5861232411450752
231,0.5834535834535834
233,0.5813066285169289
235,0.577304964539007
237,0.5747773089545242
239,0.5727568572756857
241,0.5712309820193637
243,0.5697302240512117
245,0.567211625794732
247,0.5668473351400181
249,0.5654520917678812
251,0.5646900269541779
253,0.5650807899461401
