,accuracy
1,0.7777777777777778
3,0.8888888888888888
5,0.8888888888888888
7,0.8571428571428571
9,0.8271604938271605
11,0.8484848484848485
13,0.8547008547008547
15,0.8444444444444444
17,0.8431372549019608
19,0.847953216374269
21,0.8359788359788359
23,0.8357487922705314
25,0.8311111111111111
27,0.823045267489712
29,0.8160919540229885
31,0.8064516129032258
33,0.797979797979798
35,0.7904761904761904
37,0.7987987987987988
39,0.7834757834757835
41,0.7913279132791328
43,0.7958656330749354
45,0.7901234567901234
47,0.7825059101654847
49,0.7755102040816326
51,0.7777777777777778
53,0.7777777777777778
55,0.7737373737373737
57,0.7660818713450293
59,0.7589453860640302
61,0.7595628415300546
63,0.7583774250440917
65,0.7606837606837606
67,0.7595356550580431
69,0.7600644122383253
71,0.7543035993740219
73,0.7488584474885844
75,0.7466666666666667
77,0.7474747474747475
79,0.7468354430379747
81,0.7448559670781894
83,0.7416331994645248
85,0.738562091503268
87,0.7343550446998723
89,0.7290886392009988
91,0.7277167277167277
93,0.7204301075268817
95,0.7239766081871345
97,0.720504009163803
99,0.7171717171717171
101,0.7117711771177118
103,0.7108953613807982
105,0.707936507936508
107,0.7061266874350987
109,0.7043832823649337
111,0.7007007007007007
113,0.6981317600786627
115,0.6975845410628019
117,0.6942070275403609
119,0.6937441643323996
121,0.696969696969697
123,0.6955736224028907
125,0.6942222222222222
127,0.6911636045494314
129,0.6907838070628768
131,0.6861747243426632
133,0.6858813700918964
135,0.6823045267489712
137,0.6788321167883211
139,0.6778577138289369
141,0.6784869976359338
143,0.6767676767676768
145,0.6735632183908046
147,0.6674225245653818
149,0.6651752423564504
151,0.6629874908020603
153,0.6623093681917211
155,0.6594982078853047
157,0.6581740976645435
159,0.6554856743535988
161,0.6549344375431332
163,0.6550783912747103
165,0.6531986531986532
167,0.6513639387890885
169,0.6489151873767258
171,0.6465237166991553
173,0.6448298008991651
175,0.6438095238095238
177,0.6421845574387948
179,0.6424581005586593
181,0.6402701043585022
183,0.6381299332119005
185,0.6342342342342342
187,0.6322043969102793
189,0.6313932980599647
191,0.6300174520069808
193,0.6298215313759356
195,0.6267806267806267
197,0.6277495769881557
199,0.6231155778894473
201,0.619126589275843
203,0.6168582375478927
205,0.6151761517615176
207,0.6135265700483091
209,0.6087187666135034
211,0.6076882569773565
213,0.6056338028169014
215,0.6051679586563308
217,0.6021505376344086
219,0.5996955859969558
221,0.596279537456008
223,0.5939212755356253
225,0.591604938271605
227,0.5893294175232501
229,0.589034449296458
231,0.5882635882635883
233,0.586552217453505
235,0.5825059101654846
237,0.5813408345053914
239,0.5792654579265458
241,0.5763024435223605
243,0.5738454503886603
245,0.5716878402903811
247,0.5699458483754513
249,0.5686009896536213
251,0.5677737881508079
