,Season,Week #,RMSE
0,2007,1,15.038833295401524
1,2007,2,10.33036557597747
2,2007,3,16.78603838105768
3,2007,4,15.387919266672275
4,2007,5,15.868146643926503
5,2007,6,12.017282558663165
6,2007,7,9.9326028087669
7,2007,8,13.969331847607789
8,2007,9,16.938821401031305
9,2007,10,13.609230898401343
10,2007,11,14.031512028459447
11,2007,12,15.994947471695435
12,2007,13,13.392277800525532
13,2007,14,14.342348952243778
14,2007,15,14.450599482648538
15,2007,16,15.627074109347914
16,2007,17,9.478244923256566
17,2007,18,13.903945481528966
18,2007,19,10.331736928570942
19,2007,20,11.182231901696236
20,2008,1,16.00560771804861
21,2008,2,10.941040860429801
22,2008,3,11.474831085463672
23,2008,4,11.860185173075442
24,2008,5,16.20700995834919
25,2008,6,15.324195494305858
26,2008,7,14.771117709703876
27,2008,8,13.818512110976416
28,2008,9,10.582823468087572
29,2008,10,15.484461806476673
30,2008,11,10.645314150715418
31,2008,12,17.753415617338465
32,2008,13,17.54638495197568
33,2008,14,12.82454816709732
34,2008,15,12.008476169805215
35,2008,16,16.543795613163454
36,2008,17,17.523234955564593
37,2008,18,9.381736567006062
38,2008,19,18.694027410816133
39,2008,20,6.172932167196333
40,2009,1,10.639323376494827
41,2009,2,14.110028328135874
42,2009,3,10.042127027443334
43,2009,4,15.195240498933257
44,2009,5,18.70824296880209
45,2009,6,20.668536728969862
46,2009,7,21.284682487665453
47,2009,8,13.534600764493357
48,2009,9,12.88362586661293
49,2009,10,9.231228201001766
50,2009,11,11.74332679206541
51,2009,12,12.793655342092222
52,2009,13,10.978441553763767
53,2009,14,16.022450629474676
54,2009,15,14.298704606306599
55,2009,16,18.41934783351916
56,2009,17,19.31561929857196
57,2009,18,15.927707325547527
58,2009,19,25.401370678934633
59,2009,20,5.474694168516754
60,2010,1,11.208864402592198
61,2010,2,15.453594922576299
62,2010,3,15.286203064557006
63,2010,4,14.512392545942213
64,2010,5,15.635487231371185
65,2010,6,10.36666955934088
66,2010,7,18.08430037635738
67,2010,8,13.89828517585523
68,2010,9,11.969218302176346
69,2010,10,15.121435085476142
70,2010,11,14.59168114143216
71,2010,12,14.057999309849102
72,2010,13,14.560761146519921
73,2010,14,15.446124404935103
74,2010,15,11.009197500816658
75,2010,16,14.633194476878785
76,2010,17,17.329213710585673
77,2010,18,8.74115084803022
78,2010,19,21.257037474382916
79,2010,20,3.2898702903856423
80,2011,1,17.491356292970266
81,2011,2,14.414811293395259
82,2011,3,10.401231884252367
83,2011,4,8.672404594222128
84,2011,5,18.259356301238018
85,2011,6,14.2572632133904
86,2011,7,21.84504872582404
87,2011,8,17.75465851213309
88,2011,9,12.846366768867643
89,2011,10,17.737114271413013
90,2011,11,15.122516355783771
91,2011,12,10.261857295808651
92,2011,13,15.252030821792436
93,2011,14,12.219540796044653
94,2011,15,18.044803410348354
95,2011,16,15.920204897982297
96,2011,17,11.717051193553033
97,2011,18,18.141545312108025
98,2011,19,17.732373531584585
99,2011,20,11.590453881924427
100,2012,1,12.906821688611197
101,2012,2,14.903644215211068
102,2012,3,15.482650864063077
103,2012,4,14.686824674768978
104,2012,5,14.409447555952662
105,2012,6,14.708455280891126
106,2012,7,9.506301343733602
107,2012,8,11.2600950203729
108,2012,9,10.069630110995545
109,2012,10,18.497799068878564
110,2012,11,14.13614927789996
111,2012,12,14.968698570614263
112,2012,13,7.800693003485313
113,2012,14,17.558374481059612
114,2012,15,21.328889701282748
115,2012,16,17.948013699572563
116,2012,17,12.21430518931499
117,2012,18,4.857625543560335
118,2012,19,9.26572866275513
119,2012,20,27.004636
120,2013,1,11.224893222418352
121,2013,2,9.053084883342889
122,2013,3,17.501763219458127
123,2013,4,18.20516306568695
124,2013,5,15.848419170284158
125,2013,6,12.925549060563842
126,2013,7,10.45977293086477
127,2013,8,12.33156998131142
128,2013,9,13.674315664099927
129,2013,10,16.470472102827753
130,2013,11,10.796114544424416
131,2013,12,11.844722241074011
132,2013,13,11.597101140382987
133,2013,14,12.577955780725338
134,2013,15,13.786365620151786
135,2013,16,19.531867839934208
136,2013,17,9.097363181902729
137,2013,18,10.11221439674607
138,2013,19,11.862498357991896
139,2013,20,2.0510681156808275
140,2014,1,14.751613853137084
141,2014,2,16.266969048708503
142,2014,3,15.40083524495943
143,2014,4,20.281174774986827
144,2014,5,12.186128021661093
145,2014,6,16.651584160423184
146,2014,7,13.178612503840943
147,2014,8,15.311952667148653
148,2014,9,17.93214700582763
149,2014,10,18.352328241135083
150,2014,11,16.685476954455403
151,2014,12,8.139979417503223
152,2014,13,18.718348764078545
153,2014,14,17.720000655844135
154,2014,15,11.849535429868975
155,2014,16,15.060148280184759
156,2014,17,17.37504333885355
157,2014,18,13.296561727653327
158,2014,19,18.02715043892244
159,2014,20,21.350875273334115
160,2015,1,13.06494198247616
161,2015,2,15.585829942413673
162,2015,3,14.008762302554672
163,2015,4,11.394509120731973
164,2015,5,11.70946469087756
165,2015,6,12.784147057691959
166,2015,7,10.034977701383939
167,2015,8,11.570066710837809
168,2015,9,8.607812589508466
169,2015,10,18.091102258876045
170,2015,11,16.482983710927876
171,2015,12,13.073190373558349
172,2015,13,16.05983355478393
173,2015,14,13.622090253341957
174,2015,15,9.538093097091146
175,2015,16,14.338906488090776
176,2015,17,12.49836309621669
177,2015,18,17.60621237856294
178,2015,19,9.410120095644999
179,2015,20,23.874533172329024
