Model Score Threshold,Accuracy
0.0,0.5675190668461193
0.01,0.5737999102736653
0.02,0.5773889636608345
0.03,0.5800807537012113
0.04,0.5841184387617766
0.05,0.5877074921489457
0.06,0.5939883355764917
0.07,0.5971287572902647
0.08,0.6025123373710184
0.09,0.6016150740242261
0.1,0.6069986541049798
0.11,0.6056527590847914
0.12,0.6110363391655451
0.13,0.6146253925527142
0.14,0.6177658142664872
0.15,0.6177658142664872
0.16,0.6186630776132795
0.17,0.6213548676536563
0.18,0.6253925527142217
0.19,0.6262898160610139
0.2,0.6289816061013908
0.21,0.6321220278151638
0.22,0.6276357110812023
0.23,0.6312247644683715
0.24,0.6285329744279946
0.25,0.6325706594885598
0.26,0.6343651861821444
0.27,0.636159712875729
0.28,0.6375056078959175
0.29,0.6339165545087483
0.3,0.6348138178555406
0.31,0.6384028712427098
0.32,0.6370569762225213
0.33,0.6379542395693136
0.34,0.6370569762225213
0.35000000000000003,0.6366083445491252
0.36,0.633019291161956
0.37,0.633019291161956
0.38,0.6307761327949754
0.39,0.629878869448183
0.4,0.6325706594885598
0.41000000000000003,0.6334679228353521
0.42,0.6339165545087483
0.43,0.633019291161956
0.44,0.633019291161956
0.45,0.6316733961417677
0.46,0.6289816061013908
0.47000000000000003,0.6253925527142217
0.48,0.6218034993270525
0.49,0.6213548676536563
0.5,0.6213548676536563
0.51,0.6240466576940332
0.52,0.6209062359802602
0.53,0.6182144459398834
0.54,0.6155226558995065
0.55,0.6164199192462988
0.56,0.6123822341857336
0.5700000000000001,0.6114849708389413
0.58,0.6096904441453567
0.59,0.6047554957379991
0.6,0.6020637056976222
0.61,0.6029609690444145
0.62,0.6002691790040376
0.63,0.6016150740242261
0.64,0.5989232839838493
0.65,0.6007178106774338
0.66,0.594885598923284
0.67,0.5984746523104532
0.68,0.5921938088829072
0.6900000000000001,0.5863615971287572
0.7000000000000001,0.5845670704351728
0.71,0.5818752803947959
0.72,0.5782862270076268
0.73,0.5715567519066846
0.74,0.5670704351727232
0.75,0.5679676985195155
0.76,0.5621354867653656
0.77,0.5558546433378196
0.78,0.550471063257066
0.79,0.5468820098698968
0.8,0.5419470614625392
0.81,0.5356662180349933
0.8200000000000001,0.5302826379542396
0.8300000000000001,0.5298340062808434
0.84,0.525347689546882
0.85,0.525347689546882
0.86,0.5199641094661283
0.87,0.5150291610587707
0.88,0.5105428443248093
0.89,0.5051592642440557
0.9,0.4984297891431135
0.91,0.4930462090623598
0.92,0.4867653656348138
0.93,0.4831763122476447
0.9400000000000001,0.47644683714670255
0.9500000000000001,0.46837146702557203
0.96,0.4638851502916106
0.97,0.45715567519066846
0.98,0.4490803050695379
0.99,0.44100493494840737
1.0,0.4329295648272768
