Model Score Threshold,F1
0.0,
0.01,0.7263824884792627
0.02,0.7269565217391304
0.03,0.7269544924154026
0.04,0.7277533039647576
0.05,0.7283476204552173
0.06,0.7307349003272835
0.07,0.7309766327142002
0.08,0.732810615199035
0.09,0.7304189435336975
0.1,0.7322738386308068
0.11,0.7294552169898431
0.12,0.7313294081189959
0.13,0.73198127925117
0.14,0.7322438717787555
0.15,0.7303797468354429
0.16,0.7291268323773104
0.17,0.7291399229781772
0.18,0.7300355641771743
0.19,0.7287528492347769
0.2,0.7287635290259101
0.21,0.7290152015862525
0.22,0.7237017310252997
0.23,0.7243460764587525
0.24,0.7202702702702704
0.25,0.7211440245148111
0.26,0.7204116638078902
0.27,0.7196681645350848
0.28,0.7184668989547038
0.29,0.7134831460674157
0.3,0.7119603680113235
0.31,0.7125534950071325
0.32,0.7090974469615247
0.33,0.7075027183762231
0.34,0.7044208987943003
0.35000000000000003,0.7015475313190863
0.36,0.6961367013372958
0.37,0.6936329588014981
0.38,0.6890819795995465
0.39,0.6857142857142857
0.4,0.6853630426431041
0.41000000000000003,0.6834560247965905
0.42,0.6810007818608287
0.43,0.6774447949526814
0.44,0.6746221161495625
0.45,0.6704134885588117
0.46,0.6650465775617659
0.47000000000000003,0.6587658357172047
0.48,0.6523711340206185
0.49,0.6486261448792673
0.5,0.6453781512605042
0.51,0.6446140797285835
0.52,0.6381156316916489
0.53,0.6320795503674881
0.54,0.625927542557835
0.55,0.623182018510357
0.56,0.6153161175422974
0.5700000000000001,0.610611510791367
0.58,0.6049046321525884
0.59,0.5956860945387793
0.6,0.5887807139545664
0.61,0.585480093676815
0.62,0.5783246568859441
0.63,0.5751196172248805
0.64,0.5676982591876208
0.65,0.5650048875855328
0.66,0.5536332179930796
0.67,0.5527236381809095
0.68,0.5406771096513391
0.6900000000000001,0.5286298568507157
0.7000000000000001,0.5211995863495346
0.71,0.5125523012552301
0.72,0.5026455026455027
0.73,0.48848419925013387
0.74,0.4769647696476964
0.75,0.4717498628634119
0.76,0.45777777777777784
0.77,0.44319460067491556
0.78,0.4293849658314351
0.79,0.4175317185697809
0.8,0.4032729398012858
0.81,0.38721136767317943
0.8200000000000001,0.3719256148770246
0.8300000000000001,0.36253041362530414
0.84,0.3477188655980271
0.85,0.33874999999999994
0.86,0.32192648922686945
0.87,0.3048231511254019
0.88,0.2883235485975212
0.89,0.2700198544010589
0.9,0.2486559139784946
0.91,0.22919508867667124
0.92,0.20775623268698062
0.93,0.18987341772151897
0.9400000000000001,0.1658327376697641
0.9500000000000001,0.1394335511982571
0.96,0.11808118081180811
0.97,0.0915915915915916
0.98,0.06259541984732825
0.99,0.03260869565217392
1.0,0.001579778830963665
