,Actual,Predicted
-46,0.00044863167339614175,0.0
-45,0.00044863167339614175,0.0
-38,0.0013458950201884253,0.0
-37,0.00044863167339614175,0.0
-36,0.00044863167339614175,0.0
-35,0.001794526693584567,0.0
-34,0.003589053387169134,0.0
-33,0.0008972633467922835,0.0
-32,0.0008972633467922835,0.0
-31,0.005383580080753701,0.0
-30,0.003589053387169134,0.0
-29,0.0031404217137729925,0.0
-28,0.006729475100942127,0.0
-27,0.00493494840735756,0.0
-26,0.001794526693584567,0.0
-25,0.004486316733961417,0.0
-24,0.012113055181695828,0.0
-23,0.005383580080753701,0.00044863167339614175
-22,0.00493494840735756,0.0
-21,0.013458950201884253,0.00044863167339614175
-20,0.00762673844773441,0.00044863167339614175
-19,0.004037685060565276,0.00044863167339614175
-18,0.009421265141318977,0.00044863167339614175
-17,0.013458950201884253,0.0013458950201884253
-16,0.010767160161507403,0.0022431583669807087
-15,0.006280843427545985,0.003589053387169134
-14,0.018393898609241812,0.006280843427545985
-13,0.01570210856886496,0.005832211754149843
-12,0.00493494840735756,0.006729475100942127
-11,0.012113055181695828,0.014356213548676536
-10,0.020188425302826378,0.014356213548676536
-9,0.005832211754149843,0.026469268730372364
-8,0.017496635262449527,0.02736653207716465
-7,0.04755495737999103,0.023777478689995513
-6,0.02602063705697622,0.02602063705697622
-5,0.013458950201884253,0.02826379542395693
-4,0.02826379542395693,0.03768506056527591
-3,0.06056527590847914,0.05024674742036788
-2,0.01794526693584567,0.0462090623598026
-1,0.016150740242261104,0.047106325706594884
0,0.0,0.04665769403319874
1,0.019291161956034097,0.049349484073575596
2,0.02063705697622252,0.04755495737999103
3,0.06908927770300584,0.04979811574697174
4,0.029161058770749215,0.04665769403319874
5,0.016150740242261104,0.04486316733961418
6,0.0354419021982952,0.036787797218483624
7,0.04441453566621804,0.042171377299237325
8,0.01525347689546882,0.04486316733961418
9,0.00986989681471512,0.03140421713772992
10,0.03947958725886048,0.034993270524899055
11,0.011664423508299685,0.02826379542395693
12,0.008972633467922835,0.02736653207716465
13,0.01525347689546882,0.01973979362943024
14,0.02826379542395693,0.01973979362943024
15,0.007178106774338268,0.014804845222072678
16,0.008972633467922835,0.01031852848811126
17,0.018842530282637954,0.00762673844773441
18,0.01525347689546882,0.008075370121130552
19,0.00762673844773441,0.004037685060565276
20,0.014804845222072678,0.006280843427545985
21,0.02288021534320323,0.0031404217137729925
22,0.005832211754149843,0.0008972633467922835
23,0.006280843427545985,0.001794526693584567
24,0.01525347689546882,0.0
25,0.006280843427545985,0.00044863167339614175
26,0.005383580080753701,0.0
27,0.008972633467922835,0.00044863167339614175
28,0.011664423508299685,0.0008972633467922835
29,0.00493494840735756,0.0
30,0.0026917900403768506,0.00044863167339614175
31,0.010767160161507403,0.0
32,0.003589053387169134,0.0
33,0.0013458950201884253,0.0
34,0.004486316733961417,0.0
35,0.005383580080753701,0.0
36,0.0,0.00044863167339614175
37,0.0026917900403768506,0.0
38,0.004037685060565276,0.0
40,0.001794526693584567,0.0
41,0.0013458950201884253,0.0
42,0.0013458950201884253,0.0
43,0.00044863167339614175,0.0
44,0.00044863167339614175,0.0
45,0.001794526693584567,0.0
48,0.00044863167339614175,0.0
52,0.00044863167339614175,0.0
55,0.00044863167339614175,0.0
58,0.00044863167339614175,0.0
59,0.00044863167339614175,0.0
