home_field___h_home__close_wr_ytd,travel___v_dist_from_home,weather___humidity_pct,team_history___v_close_wr_past_5_games,team_history___h_ovr_wr_past_3_seasons,weather___is_grass,travel___v_home_body_time,rankings___h__s_t_rank,home_field___h_consecutive_home,travel___v_tz_change_last_game,travel___v_travel_from_last_game_decay,travel___h_body_clock_from_last_wk,travel___h_tz_change_last_10_days,team_history___v_close_wr_past_3_seasons,home_field___v_is_home,home_field___v_consecutive_visitor,line___close_ou,line___h_pfr_line,matchup___h_wr_past_3_seasons,home_field___h_home__pfr_wr_last_8_games,team_history___h_close_wr_past_2_seasons,rankings___h__dave_or_wtddvoa,team_history___h_open_wr_past_5_games,team_history___h_pfr_wr_past_5_games,home_field___v_visitor__open_wr_ytd,team_history___v_close_wr_ytd,travel___v_travel_from_last_10_days,time_date___day_of_week,time_date___is_superbowl,rankings___v__off_rank,team_history___v_ovr_wr_ytd,team_history___h_open_wr_past_3_seasons,home_field___v_visitor__close_wr_ytd,time_date___is_sunday,rankings___v__s_t_rank,team_history___h_close_wr_ytd,team_history___v_open_wr_ytd,rankings___v__offensedvoa,weather___temperature,line___v_ml,team_history___v_pfr_wr_past_2_seasons,line___pfr_ou,time_date___game_time_eastern,rankings___v__defensedvoa,travel___h_travel_from_last_10_days,matchup___is_same_conf,rankings___h__def_rank,rankings___v__def_rank,team_history___h_close_wr_past_5_games,team_history___v_pfr_wr_ytd,line___open_ou,team_history___v_pfr_wr_past_3_seasons,team_history___v_open_wr_past_5_games,rankings___h__totaldvoa,weather___is_dome,travel___h_same_stadium_last_game,travel___v_travel_from_last_game,home_field___h_home__ovr_wr_last_4_games,home_field___v_visitor__close_wr_last_8_games,weather___wind_chill,travel___h_days_since_last_game,home_field___h_is_home,travel___v_body_clock_from_last_wk,home_field___h_home__open_wr_last_8_games,team_history___v_close_wr_past_2_seasons,line___h_open_line,home_field___h_home__close_wr_last_8_games,team_history___h_ovr_wr_past_5_games,team_history___h_open_wr_ytd,rankings___h__defensedvoa,team_history___v_ovr_wr_past_2_seasons,team_history___v_ovr_wr_past_5_games,team_history___v_open_wr_past_2_seasons,home_field___v_visitor__ovr_wr_last_8_games,matchup___h_wr_past_5_games,weather___wind_mph,time_date___week_id,rankings___v__s_t_dvoa,time_date___is_playoffs,time_date___game_time_local,rankings___v__dave_or_wtddvoa,team_history___v_pfr_wr_past_5_games,home_field___h_home__close_wr_last_4_games,team_history___v_open_wr_past_3_seasons,team_history___h_ovr_wr_ytd,home_field___v_visitor__close_wr_last_4_games,travel___v_same_stadium_last_game,home_field___h_home__open_wr_last_4_games,matchup___h_wr_ytd,rankings___v__estim_winrate,game_id,home_field___h_home__ovr_wr_ytd,home_field___h_home__pfr_wr_last_4_games,travel___h_travel_from_last_game_decay,travel___h_tz_change_last_game,team_history___h_open_wr_past_2_seasons,travel___h_travel_from_last_game,travel___v_tz_change_last_10_days,rankings___h__s_t_dvoa,travel___v_days_since_last_game,matchup___h_wr_past_2_seasons,team_history___v_ovr_wr_past_3_seasons,home_field___v_visitor__ovr_wr_ytd,home_field___v_visitor__pfr_wr_ytd,home_field___v_visitor__open_wr_last_4_games,home_field___v_visitor__open_wr_last_8_games,line___h_ml,team_history___h_close_wr_past_3_seasons,home_field___h_home__pfr_wr_ytd,rankings___v__totaldvoa,rankings___h__off_rank,home_field___h_home__open_wr_ytd,home_field___h_home__ovr_wr_last_8_games,home_field___v_visitor__pfr_wr_last_8_games,rankings___h__estim_winrate,home_field___v_visitor__pfr_wr_last_4_games,rankings___h__offensedvoa,team_history___h_pfr_wr_past_2_seasons,team_history___h_ovr_wr_past_2_seasons,matchup___is_same_division,team_history___h_pfr_wr_ytd,team_history___h_pfr_wr_past_3_seasons,line___h_close_line,home_field___v_visitor__ovr_wr_last_4_games,did_cover_sbr,did_win,week_id,season,final_margin,sbr_spread,label,dataset,fold
1.0,8.87394091937173,58.0,0.0,1.0,0,12.0,11.0,1,-1.0,15.20661384456776,12.0,0.0,0.0,0.0,2,47.0,-13.0,0.5,1.0,1.0,21.6,1.0,1.0,0.0,0.0,15.20661384456776,6.0,0.0,27.0,0.0,1.0,0.0,1.0,24.0,1.0,0.0,-20.7,85.0,600,0.0,47.0,13.0,14.1,12.953220054488385,1.0,9.0,22.0,1.0,0.0,45.0,0.0,0.0,60.1,1,0,15.20661384456776,1.0,0.0,85.0,7.0,1.0,13.0,1.0,0.0,-11.0,1.0,1.0,1.0,-9.3,0.0,0.0,0.0,0.0,0.5,0.0,4.0,-6.5,0.0,12.0,-32.3,0.0,1.0,0.0,1.0,0.0,0,1.0,0.5,0.5294328528952108,200709300dal,1.0,1.0,12.953220054488385,0.0,1.0,12.953220054488385,-1.0,4.1,7.0,0.5,0.0,0.0,0.0,0.0,0.0,-800,1.0,1.0,-41.4,2.0,1.0,1.0,0.0,0.5190258251586375,0.0,46.7,1.0,1.0,0.0,1.0,1.0,-13.0,0.0,1,1,4,2007,28,13.0,28,training,1
1.0,19.341748889927192,0.0,0.9,0.5277777777777778,0,13.0,20.0,2,-1.0,19.341748889927192,12.0,0.0,0.7261904761904762,0.0,1,47.5,-3.0,0.5,1.0,0.725,32.7,1.0,0.8,0.9,0.9,19.341748889927192,6.0,0.0,8.0,1.0,0.5972222222222222,0.9,1.0,23.0,1.0,0.9,21.7,68.0,160,0.75,47.5,13.0,-26.9,0.0,1.0,2.0,3.0,0.8,0.9,49.0,0.7261904761904762,0.9,59.3,1,1,19.341748889927192,1.0,1.0,68.0,14.0,1.0,13.0,1.0,0.75,-3.5,1.0,0.8,1.0,-28.8,0.7727272727272727,1.0,0.7045454545454546,1.0,0.5,0.0,6.0,-3.2,0.0,12.0,37.2,0.9,1.0,0.7023809523809523,1.0,1.0,0,1.0,0.5,0.78,200910180nor,1.0,1.0,0.0,0.0,0.775,0.0,-1.0,-2.5,7.0,0.5,0.7380952380952381,1.0,0.9,1.0,1.0,-180,0.5694444444444444,1.0,45.3,2.0,1.0,1.0,1.0,1.25,1.0,33.0,0.725,0.6,0.0,1.0,0.5694444444444444,-3.0,1.0,1,1,6,2009,21,3.0,21,training,1
0.5,25.20868315184273,67.0,0.4,0.375,1,11.0,16.484069514844315,1,0.0,0.0,13.0,0.0,0.421875,0.0,1,41.5,-3.0,1.0,0.5,0.3125,0.5583272990586526,0.4,0.2,0.5,0.5,0.0,6.0,0.0,16.07313540912382,0.5,0.34375,0.5,1.0,16.32440260680666,0.5,0.5,1.7395365677045609,90.0,155,0.5625,41.5,13.0,0.32541636495293264,0.0,1.0,16.55503258508327,16.03874004344678,0.2,0.5,41.5,0.421875,0.4,0.07465604634322998,1,0,0.0,0.5,0.5,90.0,300.0,1.0,13.0,0.5,0.5625,-1.5,0.5,0.2,0.5,1.1731354091238233,0.5,0.2,0.5625,0.5,1.0,10.0,1.0,0.08030412744388128,0.0,13.0,1.3540188269370024,0.4,0.5,0.453125,0.5,0.5,0,0.5,0.5,0.5294328528952108,201009120jax,0.5,0.5,0.0,0.0,0.375,0.0,0.0,-0.05716871832005794,300.0,0.5,0.5,0.5,0.5,0.5,0.5,-175,0.28125,0.5,1.493229543808834,16.30955829109341,0.5,0.5,0.5,0.5190258251586375,0.5,1.3056480811006512,0.3125,0.4375,0.0,0.5,0.28125,-3.0,0.5,1,1,1,2010,7,3.0,7,training,1
0.5714285714285714,8.233557098848593,77.0,0.4,0.32608695652173914,1,12.0,23.0,1,0.0,8.233557098848593,12.0,0.0,0.5425531914893617,0.0,1,42.5,-4.0,0.0,0.6666666666666666,0.5,-5.1,0.6,0.6,0.4642857142857143,0.5,8.233557098848593,6.0,0.0,20.0,0.42857142857142855,0.4782608695652174,0.5,1.0,7.0,0.5714285714285714,0.4642857142857143,0.9,19.0,170,0.4666666666666667,42.5,13.0,-6.6,4.315388488942803,1.0,18.0,7.0,0.6,0.5,41.5,0.5531914893617021,0.3,3.9,1,0,8.233557098848593,1.0,0.5,10.0,7.0,1.0,12.0,0.6666666666666666,0.43333333333333335,-5.0,0.6666666666666666,0.8,0.5,5.1,0.4666666666666667,0.2,0.4666666666666667,0.5,0.0,7.0,16.0,4.9,0.0,12.0,8.2,0.4,0.5,0.5425531914893617,0.6428571428571429,0.25,0,0.5,0.5,0.5785714285714285,201012260kan,0.6428571428571429,0.5,4.315388488942803,0.0,0.4666666666666667,4.315388488942803,0.0,-2.0,7.0,0.5,0.5744680851063829,0.42857142857142855,0.5,0.25,0.5,-200,0.5,0.5714285714285714,12.4,11.0,0.5,1.0,0.5,0.5357142857142857,0.25,11.0,0.5,0.43333333333333335,0.0,0.5714285714285714,0.5,-4.0,0.25,1,1,16,2010,20,4.0,20,training,3
0.6666666666666666,21.14548034818789,53.0,0.4,0.425531914893617,1,20.0,25.0,1,1.0,21.14548034818789,21.0,0.0,0.3723404255319149,0.0,1,49.0,-3.0,0.4,0.5714285714285714,0.5483870967741935,13.1,1.0,1.0,0.4,0.4,21.14548034818789,6.0,0.0,11.0,0.5333333333333333,0.5744680851063829,0.4,1.0,19.0,0.6666666666666666,0.4,7.1,37.0,155,0.3709677419354839,49.0,21.0,6.1,1.9661519946586024,1.0,21.0,23.0,1.0,0.4,50.0,0.39361702127659576,0.4,7.5,1,0,21.14548034818789,0.75,0.7142857142857143,30.0,7.0,1.0,20.0,0.5714285714285714,0.3709677419354839,-3.5,0.5714285714285714,1.0,0.6666666666666666,3.9,0.5161290322580645,0.6,0.3709677419354839,0.5714285714285714,0.4,9.0,17.0,-0.7,0.0,21.0,1.1,0.4,0.75,0.3723404255319149,0.6,0.75,0,0.75,1.0,0.5133333333333333,201212300was,0.6,0.75,1.9661519946586024,0.0,0.5483870967741935,1.9661519946586024,1.0,-2.9,7.0,0.33333333333333337,0.4680851063829787,0.5333333333333333,0.4,0.75,0.7142857142857143,-175,0.5638297872340425,0.6666666666666666,0.3,6.0,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.5933333333333334,0.75,14.3,0.5483870967741935,0.4516129032258064,1.0,0.6666666666666666,0.5744680851063829,-3.0,0.75,1,1,17,2012,10,3.0,10,training,0
0.4,9.938059674373047,42.0,0.4,0.40540540540540543,1,12.0,22.0,1,1.0,15.576929088706795,12.0,1.0,0.4342105263157895,0.0,2,42.5,-7.0,0.5,0.5,0.5238095238095238,16.6,0.4,0.4,0.4166666666666667,0.3333333333333333,15.576929088706795,6.0,0.0,23.0,0.5,0.5405405405405406,0.3333333333333333,1.0,7.0,0.4,0.4166666666666667,-10.5,68.0,265,0.5909090909090909,42.0,13.0,8.4,15.777060741532305,1.0,3.0,22.0,0.4,0.3333333333333333,41.5,0.4342105263157895,0.5,16.4,1,0,15.576929088706795,0.5,0.3333333333333333,68.0,7.0,1.0,12.0,0.5,0.5909090909090909,-6.5,0.5,0.4,0.4,-13.8,0.4772727272727273,0.4,0.5909090909090909,0.3333333333333333,0.5,4.0,7.0,3.9,0.0,13.0,-15.6,0.4,0.5,0.42105263157894735,0.4,0.3333333333333333,0,0.5,0.5,0.3333333333333333,201310200car,0.4,0.5,15.777060741532305,1.0,0.5238095238095238,15.777060741532305,1.0,-1.0,7.0,0.5,0.32894736842105265,0.5,0.3333333333333333,0.5,0.5,-325,0.5405405405405406,0.4,-15.1,13.0,0.4,0.5,0.3333333333333333,0.62,0.3333333333333333,3.6,0.5238095238095238,0.42857142857142855,0.0,0.4,0.5540540540540541,-7.5,0.3333333333333333,1,1,7,2013,15,7.5,15,training,1
1.0,16.87850178942728,56.0,0.6,0.3939393939393939,0,13.0,1.0,1,0.0,16.87850178942728,12.0,1.0,0.5454545454545454,0.0,1,43.0,-1.5,0.75,0.5,0.5294117647058824,0.9,0.6,0.6,1.0,1.0,16.87850178942728,6.0,0.0,14.0,1.0,0.4696969696969697,1.0,1.0,17.0,1.0,1.0,5.3,58.0,105,0.5588235294117647,42.5,13.0,-16.1,8.876643452341657,1.0,17.0,9.0,0.6,1.0,44.5,0.5454545454545454,0.6,27.2,1,0,16.87850178942728,0.5,0.5,58.0,7.0,1.0,13.0,0.5,0.5588235294117647,-1.0,0.5,0.6,1.0,3.5,0.5294117647058824,0.6,0.5294117647058824,0.5,0.6,4.0,2.0,-0.8,0.0,13.0,-3.1,0.6,0.5,0.5303030303030303,1.0,0.5,0,0.5,0.5,0.5294328528952108,201409140buf,1.0,0.5,8.876643452341657,1.0,0.5,8.876643452341657,0.0,12.9,7.0,1.0,0.4848484848484849,1.0,1.0,0.5,0.5,-125,0.4848484848484849,1.0,20.6,10.0,1.0,0.5,0.5,0.5190258251586375,0.5,17.8,0.5294117647058824,0.4117647058823529,1.0,1.0,0.4848484848484849,-1.5,0.5,1,1,2,2014,19,1.5,19,training,4
0.5625,3.7076221039501935,86.0,0.5,0.6309523809523809,0,20.0,8.0,3,0.0,3.7076221039501935,20.0,0.0,0.475,0.0,1,46.5,-6.5,0.5,0.7,0.6,4.4,0.1,0.3,0.625,0.5625,3.7076221039501935,3.0,0.0,16.0,0.625,0.5833333333333334,0.5625,0.0,14.0,0.5625,0.625,-1.9,42.0,215,0.4791666666666667,46.0,20.0,4.5,0.0,1.0,14.0,21.0,0.3,0.6875,44.0,0.5,0.6,6.1,1,1,3.7076221039501935,0.875,0.5,42.0,4.0,1.0,20.0,0.5,0.4375,-6.0,0.7,0.5,0.4375,1.1,0.375,0.8,0.4583333333333333,0.3333333333333333,0.6,17.0,10.0,1.8,0.0,20.0,-5.1,0.6,0.625,0.4875,0.6875,0.5,0,0.375,0.5,0.55,201411060cin,0.6875,0.625,0.0,0.0,0.6,0.0,0.0,3.5,4.0,0.5,0.35,0.625,0.6875,0.6666666666666666,0.6666666666666666,-260,0.5833333333333334,0.5625,-4.6,15.0,0.4375,0.9,0.6666666666666666,0.6375,0.6666666666666666,3.6,0.6,0.66,1.0,0.5625,0.5833333333333334,-6.0,0.3333333333333333,-1,-1,10,2014,-21,6.0,-21,training,4
1.0,33.20880736186109,47.0,0.4,0.6428571428571429,0,10.0,22.0,1,3.0,33.20880736186109,10.0,3.0,0.5571428571428572,0.0,1,48.0,-3.0,0.5,0.5,0.5277777777777778,11.3,0.6,0.6,1.0,1.0,33.20880736186109,6.0,0.0,11.0,1.0,0.5714285714285714,1.0,1.0,25.0,1.0,1.0,17.6,69.0,160,0.4705882352941176,47.0,13.0,-16.1,37.708495036032666,1.0,7.0,9.0,0.6,1.0,45.5,0.5571428571428572,0.4,58.3,1,0,33.20880736186109,0.5,0.5,69.0,7.0,1.0,10.0,0.5,0.4705882352941176,-3.5,0.5,0.6,1.0,-24.3,0.5882352941176471,0.4,0.4705882352941176,0.5,0.6,6.0,2.0,-10.3,0.0,13.0,7.2,0.4,0.5,0.5571428571428572,1.0,0.5,0,0.5,0.5,0.5294328528952108,201509200cin,1.0,0.5,37.708495036032666,3.0,0.4722222222222222,37.708495036032666,3.0,-4.6,7.0,0.5,0.5714285714285714,1.0,1.0,0.5,0.5,-180,0.5714285714285714,1.0,23.4,6.0,1.0,0.5,0.5,0.5190258251586375,0.5,38.6,0.5277777777777778,0.6388888888888888,0.0,1.0,0.5714285714285714,-3.0,0.5,1,1,2,2015,5,3.0,5,training,3
0.16666666666666666,14.53542393919076,57.0,0.9,0.5384615384615384,1,13.0,5.0,1,-1.0,14.53542393919076,12.0,0.0,0.5897435897435898,0.0,1,41.5,-3.0,0.0,0.0,0.5227272727272727,-2.5,0.0,0.0,0.6666666666666666,0.8333333333333334,14.53542393919076,6.0,0.0,5.0,0.6666666666666666,0.5641025641025641,0.8333333333333334,1.0,16.0,0.16666666666666666,0.6666666666666666,19.8,58.0,170,0.5869565217391305,43.0,13.0,-0.4,6.059326446413008,1.0,24.0,14.0,0.0,0.75,44.0,0.5769230769230769,0.8,-4.3,1,0,14.53542393919076,0.0,0.8333333333333334,58.0,7.0,1.0,13.0,0.0,0.6086956521739131,-2.5,0.0,0.0,0.16666666666666666,7.3,0.6521739130434783,0.8,0.5652173913043478,0.6666666666666666,0.25,7.0,7.0,0.7,0.0,12.0,17.4,0.8,0.0,0.5641025641025641,0.16666666666666666,0.8333333333333334,0,0.0,0.5,0.6666666666666666,201510250kan,0.16666666666666666,0.0,6.059326446413008,0.0,0.5227272727272727,6.059326446413008,-1.0,3.6,7.0,0.0,0.5897435897435898,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666,-195,0.5256410256410257,0.16666666666666666,20.9,13.0,0.16666666666666666,0.0,0.8333333333333334,0.3666666666666667,0.8333333333333334,-0.6,0.5227272727272727,0.4545454545454545,0.0,0.16666666666666666,0.5256410256410257,-3.5,0.6666666666666666,1,1,7,2015,10,3.5,10,training,3
