,Season,Week #,RMSE
0,2007,1,16.48838782889495
1,2007,2,13.944309054899684
2,2007,3,16.531534525941563
3,2007,4,15.334304218556305
4,2007,5,16.223055379000776
5,2007,6,13.652291380475335
6,2007,7,8.399724122254783
7,2007,8,13.903787865041327
8,2007,9,15.975758731945659
9,2007,10,13.210853546156578
10,2007,11,14.52036879016461
11,2007,12,14.203556924590401
12,2007,13,13.028227165707664
13,2007,14,14.019781291797976
14,2007,15,12.36715610744303
15,2007,16,14.995607748982572
16,2007,17,9.329817513634863
17,2007,18,10.945468011366524
18,2007,19,9.546485659433067
19,2007,20,10.856651883493898
20,2008,1,16.093376244355493
21,2008,2,12.316616530072487
22,2008,3,15.91943182344785
23,2008,4,12.480495574305307
24,2008,5,16.173628698173147
25,2008,6,15.795403326629916
26,2008,7,16.108402692337528
27,2008,8,13.98093209336717
28,2008,9,12.600739242780095
29,2008,10,16.110174913062576
30,2008,11,10.977205222551337
31,2008,12,17.784562625792933
32,2008,13,16.65532819930134
33,2008,14,10.110781098097117
34,2008,15,11.80084839929396
35,2008,16,16.74424080207293
36,2008,17,14.808290875588598
37,2008,18,5.862899227551625
38,2008,19,18.97280206949139
39,2008,20,6.094588779949915
40,2009,1,13.399548809092828
41,2009,2,14.990884959731067
42,2009,3,11.76287915217913
43,2009,4,15.347325733925977
44,2009,5,17.10140370235657
45,2009,6,18.223391935371335
46,2009,7,20.631305378627204
47,2009,8,15.95722525913747
48,2009,9,10.974023338608319
49,2009,10,10.317435715031062
50,2009,11,10.876063113134911
51,2009,12,14.959704923241583
52,2009,13,11.542187478256547
53,2009,14,16.957225361173187
54,2009,15,16.278494550150654
55,2009,16,19.623019719851648
56,2009,17,17.30520681764943
57,2009,18,18.977335504652274
58,2009,19,20.699362342895608
59,2009,20,8.931304396859922
60,2010,1,10.7704041483651
61,2010,2,15.238828850203015
62,2010,3,14.655722742636106
63,2010,4,14.424377471520073
64,2010,5,14.26782784806875
65,2010,6,8.12461223828275
66,2010,7,16.41145004196671
67,2010,8,9.185276150658458
68,2010,9,16.6365700163654
69,2010,10,16.367545087136474
70,2010,11,16.35965179015265
71,2010,12,12.776220015583029
72,2010,13,13.93469791532186
73,2010,14,14.483973595768393
74,2010,15,11.129620953875708
75,2010,16,13.442642938521407
76,2010,17,17.9468868153925
77,2010,18,11.725174440540556
78,2010,19,15.45762426954194
79,2010,20,1.9492813122782002
80,2011,1,16.858171345977297
81,2011,2,12.917872946345366
82,2011,3,10.576340561643391
83,2011,4,8.965475361110446
84,2011,5,17.46528181140444
85,2011,6,12.936621098141083
86,2011,7,22.415423406708253
87,2011,8,16.942083914286332
88,2011,9,12.69530256732068
89,2011,10,17.336801961345778
90,2011,11,13.334217779197578
91,2011,12,9.328832467063869
92,2011,13,15.239688944678846
93,2011,14,13.600265660167825
94,2011,15,19.891406300729948
95,2011,16,18.06569825173996
96,2011,17,8.718199827025167
97,2011,18,13.940293256338427
98,2011,19,15.55028447968434
99,2011,20,9.632653474903295
100,2012,1,13.022046895955956
101,2012,2,15.178058402803876
102,2012,3,15.326614611514108
103,2012,4,14.325387791567683
104,2012,5,13.35738803758141
105,2012,6,18.275152444795644
106,2012,7,7.826130741939022
107,2012,8,12.581479814283034
108,2012,9,9.228766421360417
109,2012,10,18.88157672549179
110,2012,11,13.395851998229915
111,2012,12,13.47289855071178
112,2012,13,9.424582471764433
113,2012,14,16.118453115850674
114,2012,15,20.45999883525036
115,2012,16,15.618781483467755
116,2012,17,12.903732385820753
117,2012,18,4.714520627976941
118,2012,19,10.754953769929807
119,2012,20,35.3128215
120,2013,1,8.369046915421286
121,2013,2,10.76793148348808
122,2013,3,19.61717507071687
123,2013,4,17.38692869589047
124,2013,5,14.269818257981104
125,2013,6,12.413325956775846
126,2013,7,9.09431403533072
127,2013,8,13.92863399300631
128,2013,9,16.556657903889032
129,2013,10,16.789745345921247
130,2013,11,10.58814344466759
131,2013,12,14.459512236984915
132,2013,13,10.80468064104403
133,2013,14,14.316782112248463
134,2013,15,15.528814360982555
135,2013,16,20.251426668473986
136,2013,17,7.233219155404787
137,2013,18,16.868501471363487
138,2013,19,7.673899741061131
139,2013,20,5.935382628262101
140,2014,1,14.061314654844551
141,2014,2,16.14676121395524
142,2014,3,15.322145274084743
143,2014,4,20.388259251399603
144,2014,5,13.273810572291069
145,2014,6,15.13961578683359
146,2014,7,13.212444834568652
147,2014,8,13.571451122698988
148,2014,9,16.460368680788054
149,2014,10,15.804118545059849
150,2014,11,19.165849525379137
151,2014,12,8.806884792037673
152,2014,13,15.371583790155166
153,2014,14,16.5766877605785
154,2014,15,12.530951574479307
155,2014,16,14.036805311492046
156,2014,17,14.47172998718375
157,2014,18,9.725883633601756
158,2014,19,15.62514697317635
159,2014,20,20.1729196820322
160,2015,1,12.210922413784365
161,2015,2,12.942973936155326
162,2015,3,15.36436502528984
163,2015,4,11.115329377309013
164,2015,5,10.506537420026358
165,2015,6,13.017593406920943
166,2015,7,9.30325568352299
167,2015,8,13.386322895644946
168,2015,9,8.57227338306451
169,2015,10,16.965281381065857
170,2015,11,18.057804996297914
171,2015,12,13.55954776975966
172,2015,13,15.16039948973719
173,2015,14,15.627873093096962
174,2015,15,10.589597284313454
175,2015,16,14.221840882882443
176,2015,17,14.496422299044843
177,2015,18,14.322214877553483
178,2015,19,7.449021180892123
179,2015,20,20.920068598883713
