Model Score Threshold,Accuracy
0.0,0.5657245401525348
0.01,0.566621803499327
0.02,0.566621803499327
0.03,0.5675190668461193
0.04,0.5679676985195155
0.05,0.5675190668461193
0.06,0.5688649618663078
0.07,0.5715567519066846
0.08,0.5720053835800808
0.09,0.5724540152534769
0.1,0.5724540152534769
0.11,0.5742485419470614
0.12,0.5742485419470614
0.13,0.5746971736204576
0.14,0.5769403319874383
0.15,0.5791834903544191
0.16,0.5800807537012113
0.17,0.5805293853746074
0.18,0.5827725437415882
0.19,0.5836698070883805
0.2,0.5841184387617766
0.21,0.5881561238223418
0.22,0.5921938088829072
0.23,0.5939883355764917
0.24,0.5971287572902647
0.25,0.5971287572902647
0.26,0.5989232839838493
0.27,0.6034096007178107
0.28,0.604306864064603
0.29,0.6056527590847914
0.3,0.610587707492149
0.31,0.6159712875729026
0.32,0.616868550919695
0.33,0.6173171825930911
0.34,0.616868550919695
0.35000000000000003,0.6240466576940332
0.36,0.6244952893674294
0.37,0.629878869448183
0.38,0.6307761327949754
0.39,0.6321220278151638
0.4,0.6325706594885598
0.41000000000000003,0.6334679228353521
0.42,0.6343651861821444
0.43,0.6366083445491252
0.44,0.6325706594885598
0.45,0.633019291161956
0.46,0.6348138178555406
0.47000000000000003,0.633019291161956
0.48,0.6325706594885598
0.49,0.6303275011215792
0.5,0.6289816061013908
0.51,0.6303275011215792
0.52,0.6276357110812023
0.53,0.6240466576940332
0.54,0.6209062359802602
0.55,0.6222521310004486
0.56,0.6195603409600717
0.5700000000000001,0.6191117092866757
0.58,0.6182144459398834
0.59,0.6191117092866757
0.6,0.620457604306864
0.61,0.6150740242261103
0.62,0.6092418124719605
0.63,0.6069986541049798
0.64,0.6029609690444145
0.65,0.5989232839838493
0.66,0.5930910722296994
0.67,0.5912965455361149
0.68,0.588604755495738
0.6900000000000001,0.5845670704351728
0.7000000000000001,0.5800807537012113
0.71,0.5742485419470614
0.72,0.5720053835800808
0.73,0.5639300134589502
0.74,0.5621354867653656
0.75,0.5594436967249888
0.76,0.5518169582772544
0.77,0.5446388515029161
0.78,0.5383580080753702
0.79,0.5271422162404665
0.8,0.5172723194257515
0.81,0.5100942126514132
0.8200000000000001,0.506056527590848
0.8300000000000001,0.4984297891431135
0.84,0.4970838941229251
0.85,0.4961866307761328
0.86,0.4908030506953791
0.87,0.4858681022880215
0.88,0.4791386271870794
0.89,0.47240915208613726
0.9,0.471511888739345
0.91,0.46747420367877973
0.92,0.46343651861821444
0.93,0.4616419919246299
0.9400000000000001,0.45939883355764916
0.9500000000000001,0.45536114849708387
0.96,0.4517720951099148
0.97,0.4499775684163302
0.98,0.4477344100493495
0.99,0.44504262000897266
1.0,0.44235082996859576
