Model Score Threshold,Accuracy
0.0,0.4925106990014265
0.01,0.492867332382311
0.02,0.4921540656205421
0.03,0.49108416547788875
0.04,0.49072753209700426
0.05,0.49037089871611983
0.06,0.4925106990014265
0.07,0.492867332382311
0.08,0.4914407988587732
0.09,0.4925106990014265
0.1,0.492867332382311
0.11,0.49322396576319544
0.12,0.4964336661911555
0.13,0.49607703281027105
0.14,0.4975035663338088
0.15,0.4975035663338088
0.16,0.49893009985734665
0.17,0.4946504992867332
0.18,0.49679029957203996
0.19,0.4942938659058488
0.2,0.49322396576319544
0.21,0.49072753209700426
0.22,0.4896576319543509
0.23,0.4871611982881598
0.24,0.4868045649072753
0.25,0.4843081312410842
0.26,0.4893009985734665
0.27,0.49108416547788875
0.28,0.4914407988587732
0.29,0.49072753209700426
0.3,0.492867332382311
0.31,0.49037089871611983
0.32,0.4921540656205421
0.33,0.49322396576319544
0.34,0.4946504992867332
0.35,0.49607703281027105
0.36,0.49607703281027105
0.37,0.4957203994293866
0.38,0.4917974322396576
0.39,0.4893009985734665
0.4,0.4864479315263909
0.41,0.48823109843081314
0.42,0.49322396576319544
0.43,0.4917974322396576
0.44,0.4900142653352354
0.45,0.4914407988587732
0.46,0.49072753209700426
0.47,0.48894436519258205
0.48,0.4893009985734665
0.49,0.4896576319543509
0.5,0.49108416547788875
0.51,0.492867332382311
0.52,0.49393723252496435
0.53,0.49322396576319544
0.54,0.49358059914407987
0.55,0.48823109843081314
0.56,0.49108416547788875
0.57,0.49358059914407987
0.58,0.4950071326676177
0.59,0.4942938659058488
0.6,0.49393723252496435
0.61,0.49358059914407987
0.62,0.49821683309557774
0.63,0.4978601997146933
0.64,0.49393723252496435
0.65,0.492867332382311
0.66,0.49037089871611983
0.67,0.4925106990014265
0.68,0.4914407988587732
0.69,0.4975035663338088
0.7,0.5
0.71,0.5024964336661911
0.72,0.5032097004279601
0.73,0.5028530670470756
0.74,0.5028530670470756
0.75,0.5035663338088445
0.76,0.5
0.77,0.49893009985734665
0.78,0.5003566333808844
0.79,0.4978601997146933
0.8,0.5003566333808844
0.81,0.5
0.82,0.5
0.83,0.5010699001426534
0.84,0.503922967189729
0.85,0.5046362339514978
0.86,0.5053495007132668
0.87,0.5064194008559201
0.88,0.5082025677603423
0.89,0.5074893009985735
0.9,0.5078459343794579
0.91,0.5096291012838802
0.92,0.5092724679029957
0.93,0.5078459343794579
0.94,0.5053495007132668
0.95,0.5057061340941512
0.96,0.5057061340941512
0.97,0.5064194008559201
0.98,0.5074893009985735
0.99,0.5074893009985735
1.0,0.5074893009985735
