,game_id,did_cover_sbr,did_win,week_id,season,final_margin,sbr_spread,0_score,1_score,2_score,3_score,4_score,label,score
2380,201511010rai,1,1,8,2015,14,3.0,,,,0.36303043,,1,0.36303043
2381,201511220htx,1,1,11,2015,7,4.0,,0.20324409,0.26214862,0.05002585,0.45678806,1,0.232696355
2382,200709090cle,-1,-1,1,2007,-27,5.0,,,0.14482951,,,0,0.14482951
2383,200711180nyj,1,1,11,2007,3,9.0,,0.37307268,0.10825068,,0.30408984,1,0.30408984
2384,200712200ram,-1,-1,16,2007,-17,8.0,,,,0.4778483,0.11217141,0,0.295009855
2385,200710280cin,-1,-1,8,2007,-11,4.0,,0.48440096,0.13358924,0.3360184,0.49054387,0,0.41020968
2386,200709300crd,1,1,4,2007,7,5.5,0.43288547,,,0.24772182,0.40897649999999997,1,0.40897649999999997
2387,200712090nwe,1,1,14,2007,21,11.0,0.93177384,,,0.5844304,,1,0.75810212
2388,200710210den,1,1,7,2007,3,4.0,0.43833163,,,0.27491382,,1,0.35662272500000003
2389,200712300rav,1,1,17,2007,6,3.0,,0.48252657,,0.5186947000000001,0.24007150000000002,1,0.48252657
2390,200711040cle,1,1,9,2007,3,1.5,,0.7253281,0.28205952,0.36485657,0.51761484,1,0.441235705
2391,200801120gnb,1,1,19,2007,22,7.5,0.7775147,,,,,1,0.7775147
2392,200711250ram,-1,-1,12,2007,-5,3.0,-0.0039868355,,,,,0,-0.0039868355
2393,200709300sfo,-1,-1,4,2007,-20,1.5,,0.39247382,,,,0,0.39247382
2394,200712160car,1,1,15,2007,3,7.0,0.48434144,0.31183618,0.2921233,,,1,0.31183618
2395,200709160crd,1,1,2,2007,3,2.5,0.2514839,,,,0.56269866,1,0.40709128
2396,200710070pit,1,1,5,2007,21,5.0,,,,0.5680134,,1,0.5680134
2397,200712020phi,-1,-1,13,2007,-4,3.0,0.555628,,0.83277315,0.78732765,,0,0.78732765
2398,200712300atl,1,1,17,2007,3,2.0,0.11101279,,,0.40055013,,1,0.25578146
2399,200712160cle,1,1,15,2007,8,4.0,,0.5024675000000001,0.8455709000000001,,0.50642294,1,0.50642294
2400,200711250jax,1,1,12,2007,22,8.5,,,0.9210285,0.34469062,,1,0.63285956
2401,200710280nyj,-1,-1,8,2007,-10,3.0,0.36696009999999996,,,,0.118692696,0,0.24282639799999997
2402,200712020was,-1,-1,13,2007,-1,6.5,,,0.5773475,,,0,0.5773475
2403,200709230nwe,1,1,3,2007,31,16.5,,,0.77916086,,,1,0.77916086
2404,200711110mia,-1,-1,10,2007,-3,2.5,0.30355328,0.26217526,,0.18378568,,0,0.26217526
2405,200709160pit,1,1,2,2007,23,10.0,,0.54121226,0.5400282,,,1,0.54062023
2406,200712300phi,-1,1,17,2007,8,9.0,0.90430534,0.66051865,,0.76638114,,1,0.76638114
2407,200712300cle,1,1,17,2007,13,11.5,,1.0394710999999999,,0.53588927,0.9884871,1,0.9884871
2408,200710210nyg,1,1,7,2007,18,9.5,0.89105403,0.75545466,0.700491,,,1,0.75545466
2409,200709160ram,-1,-1,2,2007,-1,3.0,0.30228525,,0.5802357,,0.68177783,0,0.5802357
2410,200711120sea,1,1,10,2007,24,8.5,0.46276656,0.81509376,0.76240176,,,1,0.76240176
2411,200712020car,1,1,13,2007,17,3.0,0.2906744,,0.52116627,,0.3893895,1,0.3893895
