Model Score Threshold,Accuracy
0.0,0.5715567519066846
0.01,0.5715567519066846
0.02,0.5715567519066846
0.03,0.5715567519066846
0.04,0.5715567519066846
0.05,0.5724540152534769
0.06,0.5724540152534769
0.07,0.5733512786002691
0.08,0.5737999102736653
0.09,0.5746971736204576
0.1,0.5755944369672499
0.11,0.576043068640646
0.12,0.5773889636608345
0.13,0.5782862270076268
0.14,0.5787348586810229
0.15,0.5809780170480036
0.16,0.5836698070883805
0.17,0.5859129654553612
0.18,0.5868102288021534
0.19,0.5881561238223418
0.2,0.588604755495738
0.21,0.5912965455361149
0.22,0.5912965455361149
0.23,0.5921938088829072
0.24,0.5939883355764917
0.25,0.5962314939434724
0.26,0.598026020637057
0.27,0.6020637056976222
0.28,0.6074472857783759
0.29,0.6087931807985644
0.3,0.6164199192462988
0.31,0.6200089726334679
0.32,0.6195603409600717
0.33,0.6200089726334679
0.34,0.6213548676536563
0.35000000000000003,0.6227007626738448
0.36,0.6231493943472409
0.37,0.6271870794078062
0.38,0.6280843427545985
0.39,0.6285329744279946
0.4,0.6285329744279946
0.41000000000000003,0.6294302377747869
0.42,0.6312247644683715
0.43,0.6343651861821444
0.44,0.6325706594885598
0.45,0.6352624495289367
0.46,0.6352624495289367
0.47000000000000003,0.6352624495289367
0.48,0.6343651861821444
0.49,0.639300134589502
0.5,0.6343651861821444
0.51,0.6325706594885598
0.52,0.6316733961417677
0.53,0.629878869448183
0.54,0.6271870794078062
0.55,0.6218034993270525
0.56,0.6191117092866757
0.5700000000000001,0.6231493943472409
0.58,0.6155226558995065
0.59,0.6083445491251682
0.6,0.6061013907581875
0.61,0.6029609690444145
0.62,0.5966801256168686
0.63,0.5962314939434724
0.64,0.591745177209511
0.65,0.5921938088829072
0.66,0.588604755495738
0.67,0.5859129654553612
0.68,0.585464333781965
0.6900000000000001,0.5818752803947959
0.7000000000000001,0.5755944369672499
0.71,0.5715567519066846
0.72,0.5688649618663078
0.73,0.5648272768057425
0.74,0.5563032750112158
0.75,0.5491251682368775
0.76,0.5477792732166891
0.77,0.54419021982952
0.78,0.5410497981157469
0.79,0.5356662180349933
0.8,0.5289367429340511
0.81,0.5226558995065052
0.8200000000000001,0.5150291610587707
0.8300000000000001,0.5091969493046209
0.84,0.5033647375504711
0.85,0.49573799910273664
0.86,0.48855989232839836
0.87,0.484073575594437
0.88,0.4768954688200987
0.89,0.471511888739345
0.9,0.46747420367877973
0.91,0.46253925527142215
0.92,0.4585015702108569
0.93,0.4540152534768955
0.9400000000000001,0.45132346343651863
0.9500000000000001,0.4477344100493495
0.96,0.44549125168236875
0.97,0.44324809331538806
0.98,0.4414535666218035
0.99,0.43921040825482277
1.0,0.4383131449080305
